| Economy | Costa Rica |
| --- | --- |
| Economy - overview: | Prior to the global economic crisis, Costa Rica enjoyed stable economic growth. The economy contracted 1.3% in 2009 but resumed growth at about 4.5% per year in 2010-12. While the traditional agricultural exports of bananas, coffee, sugar, and beef are still the backbone of commodity export trade, a variety of industrial and specialized agricultural products have broadened export trade in recent years. High value-added goods and services, including microchips, have further bolstered exports. Tourism continues to bring in foreign exchange, as Costa Rica's impressive biodiversity makes it a key destination for ecotourism. Foreign investors remain attracted by the country's political stability and relatively high education levels, as well as the incentives offered in the free-trade zones; and Costa Rica has attracted one of the highest levels of foreign direct investment per capita in Latin America. However, many business impediments remain, such as high levels of bureaucracy, legal uncertainty due to overlapping and at times conflicting responsibilities between agencies, difficulty of enforcing contracts, and weak investor protection. Poverty has remained around 20-25% for nearly 20 years, and the strong social safety net that had been put into place by the government has eroded due to increased financial constraints on government expenditures. Unlike the rest of Central America, Costa Rica is not highly dependent on remittances as they only represent about 2% of GDP. Immigration from Nicaragua has increasingly become a concern for the government. The estimated 300,000-500,000 Nicaraguans in Costa Rica legally and illegally are an important source of mostly unskilled labor but also place heavy demands on the social welfare system. The US-Central American-Dominican Republic Free Trade Agreement (CAFTA-DR) entered into force on 1 January 2009 after significant delays within the Costa Rican legislature. CAFTA-DR has increased foreign direct investment in key sectors of the economy, including the insurance and telecommunications sectors recently opened to private investors. President CHINCHILLA was not able to gain legislative approval for fiscal reform, her top priority, though she continued to pursue fiscal reform in 2012. President CHINCHILLA and the PLN were successful in passing a tax on corporations to fund an increase for security services. |
| GDP (purchasing power parity): | $61.43 billion (2013 est.) |
| GDP (purchasing power parity): | $59.35 billion (2012 est.) |
| GDP (purchasing power parity): | $56.45 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $48.51 billion (2013 est.) |
| GDP - real growth rate: | 3.5% (2013 est.) |
| GDP - real growth rate: | 5.1% (2012 est.) |
| GDP - real growth rate: | 4.4% (2011 est.) |
| GDP - per capita (PPP): | $12,900 (2013 est.) |
| GDP - per capita (PPP): | $12,700 (2012 est.) |
| GDP - per capita (PPP): | $12,200 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 16.3% of GDP (2013 est.) |
| Gross national saving: | 15.9% of GDP (2012 est.) |
| Gross national saving: | 16.2% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 64.7% |
| GDP - composition, by end use: | government consumption: 17.9% |
| GDP - composition, by end use: | investment in fixed capital: 20.9% |
| GDP - composition, by end use: | investment in inventories: 0.8% |
| GDP - composition, by end use: | exports of goods and services: 35.2% |
| GDP - composition, by end use: | imports of goods and services: -39.5% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.2% |
| GDP - composition, by sector of origin: | industry: 21.3% |
| GDP - composition, by sector of origin: | services: 72.5% (2013 est.) |
| Agriculture - products: | bananas, pineapples, coffee, melons, ornamental plants, sugar, corn, rice, beans, potatoes; beef, poultry, dairy; timber |
| Industries: | microprocessors, food processing, medical equipment, textiles and clothing, construction materials, fertilizer, plastic products |
| Industrial production growth rate: | 4.3% (2013 est.) |
| Labor force: | 2.222 million |
| Labor force: | note: this official estimate excludes Nicaraguans living in Costa Rica (2013 est.) |
| Labor force - by occupation: | agriculture: 14% |
| Labor force - by occupation: | industry: 22% |
| Labor force - by occupation: | services: 64% (2006 est.) |
| Unemployment rate: | 7.9% (2013 est.) |
| Unemployment rate: | 7.8% (2012 est.) |
| Population below poverty line: | 24.8% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.2% |
| Household income or consumption by percentage share: | highest 10%: 39.5% (2009 est.) |
| Distribution of family income - Gini index: | 50.3 (2009) |
| Distribution of family income - Gini index: | 45.9 (1997) |
| Budget: | revenues: $7.197 billion |
| Budget: | expenditures: $9.621 billion (2013 est.) |
