| Economy | COSTA RICA |
| --- | --- |
| Economy - overview: | Prior to the global economic crisis, Costa Rica enjoyed stable economic growth. The economy contracted 1.3% in 2009 but resumed growth at about 4% per year in 2010-14. While the traditional agricultural exports of bananas, coffee, sugar, and beef are still the backbone of commodity export trade, a variety of industrial and specialized agricultural products have broadened export trade in recent years. High value-added goods and services, including medical devices, have further bolstered exports. Tourism continues to bring in foreign exchange, as Costa Rica's impressive biodiversity makes it a key destination for ecotourism. Foreign investors remain attracted by the country's political stability and relatively high education levels, as well as the incentives offered in the free-trade zones; and Costa Rica has attracted one of the highest levels of foreign direct investment per capita in Latin America. However, poor infrastructure, high energy costs, bureaucracy, weak investor protection, and legal uncertainty due to difficulty of enforcing contracts and overlapping and at times conflicting responsibilities between agencies, remain impediments to greater competitiveness. Costa Rica&rsquo;s economy also faces challenges due to a rising fiscal deficit, rising public debt, and relatively low levels of domestic revenue. Poverty has remained around 20-25% for nearly 20 years, and the strong social safety net that had been put into place by the government has eroded due to increased financial constraints on government expenditures. Unlike the rest of Central America, Costa Rica is not highly dependent on remittances, which in 2013 represented 1.1% of GDP. Immigration from Nicaragua has increasingly become a concern for the government. |
| Economy - overview: | The estimated 300,000-500,000 Nicaraguans in Costa Rica, legally and illegally, are an important source of mostly unskilled labor, but also place heavy demands on the social welfare system. The US-Central American-Dominican Republic Free Trade Agreement (CAFTA-DR) entered into force on 1 January 2009 after significant delays within the Costa Rican legislature. CAFTA-DR has increased foreign direct investment in key sectors of the economy, including the insurance and telecommunications sectors recently opened to private investors. |
| GDP (purchasing power parity): | $70.97 billion (2014 est.) |
| GDP (purchasing power parity): | $68.57 billion (2013 est.) |
| GDP (purchasing power parity): | $66.29 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $48.14 billion (2014 est.) |
| GDP - real growth rate: | 3.5% (2014 est.) |
| GDP - real growth rate: | 3.4% (2013 est.) |
| GDP - real growth rate: | 5.2% (2012 est.) |
| GDP - per capita (PPP): | $14,900 (2014 est.) |
| GDP - per capita (PPP): | $14,400 (2013 est.) |
| GDP - per capita (PPP): | $13,900 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 14.3% of GDP (2014 est.) |
| Gross national saving: | 15.5% of GDP (2013 est.) |
| Gross national saving: | 16.6% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 64.9% |
| GDP - composition, by end use: | government consumption: 18.1% |
| GDP - composition, by end use: | investment in fixed capital: 22% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 36.2% |
| GDP - composition, by end use: | imports of goods and services: -41.8% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 6% |
| GDP - composition, by sector of origin: | industry: 20.5% |
| GDP - composition, by sector of origin: | services: 73.4% (2014 est.) |
| Agriculture - products: | bananas, pineapples, coffee, melons, ornamental plants, sugar, corn, rice, beans, potatoes; beef, poultry, dairy; timber |
| Industries: | medical equipment, food processing, textiles and clothing, construction materials, fertilizer, plastic products |
| Industrial production growth rate: | 4.7% (2014 est.) |
| Labor force: | 2.257 million |
| Labor force: | note: this official estimate excludes Nicaraguans living in Costa Rica (2014 est.) |
| Labor force - by occupation: | agriculture: 14% |
| Labor force - by occupation: | industry: 22% |
| Labor force - by occupation: | services: 64% (2006 est.) |
| Unemployment rate: | 8.2% (2014 est.) |
| Unemployment rate: | 8.5% (2013 est.) |
| Population below poverty line: | 24.8% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.2% |
| Household income or consumption by percentage share: | highest 10%: 39.5% (2009 est.) |
| Distribution of family income - Gini index: | 50.3 (2009) |
| Distribution of family income - Gini index: | 45.9 (1997) |
| Budget: | revenues: $6.931 billion |
| Budget: | expenditures: $9.728 billion (2014 est.) |
| Taxes and other revenues: | 13.7% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -5.5% of GDP (2014 est.) |
| Public debt: | 59.4% of GDP (2014 est.) |
| Public debt: | 54.7% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.2% (2014 est.) |
| Inflation rate (consumer prices): | 5.2% (2013 est.) |
| Central bank discount rate: | 21.5% (31 December 2010) |
| Central bank discount rate: | 23% (31 December 2009) |
