| Economy | Costa Rica |
| --- | --- |
| Economic overview: | Since 2010, Costa Rica has enjoyed strong and stable economic growth - 3.8% in 2017. Exports of bananas, coffee, sugar, and beef are the backbone of its commodity exports. Various industrial and processed agricultural products have broadened exports in recent years, as have high value-added goods, including medical devices. Costa Rica's impressive biodiversity also makes it a key destination for ecotourism. |
| Economic overview: | Foreign investors remain attracted by the country's political stability and relatively high education levels, as well as the incentives offered in the free-trade zones; Costa Rica has attracted one of the highest levels of foreign direct investment per capita in Latin America. The US-Central American-Dominican Republic Free Trade Agreement (CAFTA-DR), which became effective for Costa Rica in 2009, helped increase foreign direct investment in key sectors of the economy, including insurance and telecommunication. However, poor infrastructure, high energy costs, a complex bureaucracy, weak investor protection, and uncertainty of contract enforcement impede greater investment. |
| Economic overview: | Costa Ricaâ€™s economy also faces challenges due to a rising fiscal deficit, rising public debt, and relatively low levels of domestic revenue. Poverty has remained around 20-25% for nearly 20 years, and the governmentâ€™s strong social safety net has eroded due to increased constraints on its expenditures. Costa Ricaâ€™s credit rating was downgraded from stable to negative in 2015 and again in 2017, upping pressure on lending rates - which could hurt small business, on the budget deficit - which could hurt infrastructure development, and on the rate of return on investment - which could soften foreign direct investment (FDI). Unlike the rest of Central America, Costa Rica is not highly dependent on remittances - which represented just 1 % of GDP in 2016, but instead relies on FDI - which accounted for 5.1% of GDP. |
| GDP real growth rate: | 3.3% (2017 est.) |
| GDP real growth rate: | 4.2% (2016 est.) |
| GDP real growth rate: | 3.6% (2015 est.) |
| Inflation rate (consumer prices): | 2% (2019 est.) |
| Inflation rate (consumer prices): | 2.2% (2018 est.) |
| Inflation rate (consumer prices): | 1.6% (2017 est.) |
| Credit ratings: | Fitch rating: B (2020) |
| Credit ratings: | Moody's rating: B2 (2020) |
| Credit ratings: | Standard & Poors rating: B (2020) |
| GDP (purchasing power parity) - real: | $83.94 billion (2017 est.) |
| GDP (purchasing power parity) - real: | $81.27 billion (2016 est.) |
| GDP (purchasing power parity) - real: | $77.96 billion (2015 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2017 dollars |
| GDP (official exchange rate): | $61.855 billion (2019 est.) |
| GDP - per capita (PPP): | $16,900 (2017 est.) |
| GDP - per capita (PPP): | $16,600 (2016 est.) |
| GDP - per capita (PPP): | $16,100 (2015 est.) |
