| Economy | GUATEMALA |
| --- | --- |
| Economy - overview: | Guatemala is the most populous country in Central America with a GDP per capita roughly half the average for Latin America and the Caribbean. The agricultural sector accounts for 13.5% of GDP and 31% of the labor force; key agricultural exports include sugar, coffee, bananas, and vegetables. Guatemala is the top remittance recipient in Central America as a result of Guatemala's large expatriate community in the US. These inflows are a primary source of foreign income, equivalent to over one-half of the country's exports and one-tenth of its GDP. |
| Economy - overview: | The 1996 peace accords, which ended 36 years of civil war, removed a major obstacle to foreign investment, and Guatemala has since pursued important reforms and macroeconomic stabilization. The Dominican Republic-Central America Free Trade Agreement (CAFTA-DR) entered into force in July 2006, spurring increased investment and diversification of exports, with the largest increases in ethanol and non-traditional agricultural exports. While CAFTA-DR has helped improve the investment climate, concerns over security, the lack of skilled workers, and poor infrastructure continue to hamper foreign direct investment. |
| Economy - overview: | The distribution of income remains highly unequal with the richest 20% of the population accounting for more than 51% of Guatemala's overall consumption. More than half of the population is below the national poverty line, and 23% of the population lives in extreme poverty. Poverty among indigenous groups, which make up more than 40% of the population, averages 79%, with 40% of the indigenous population living in extreme poverty. Nearly one-half of Guatemala's children under age five are chronically malnourished, one of the highest malnutrition rates in the world. |
| Economy - overview: | Guatemala is facing growing fiscal pressures, exacerbated by multiple corruption scandals that led to the resignation of the president, vice president, and numerous high-level economic officials in 2015. |
| GDP (purchasing power parity): | $131.7 billion (2016 est.) |
| GDP (purchasing power parity): | $126.2 billion (2015 est.) |
| GDP (purchasing power parity): | $119.9 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $67.5 billion (2016 est.) |
| GDP - real growth rate: | 3.1% (2016 est.) |
| GDP - real growth rate: | 4.1% (2015 est.) |
| GDP - real growth rate: | 4.2% (2014 est.) |
| GDP - per capita (PPP): | $7,900 (2016 est.) |
| GDP - per capita (PPP): | $7,900 (2015 est.) |
| GDP - per capita (PPP): | $7,700 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 13.9% of GDP (2016 est.) |
| Gross national saving: | 13.3% of GDP (2015 est.) |
| Gross national saving: | 11.6% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 85.1% |
| GDP - composition, by end use: | government consumption: 9.8% |
| GDP - composition, by end use: | investment in fixed capital: 12.5% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 19.5% |
| GDP - composition, by end use: | imports of goods and services: -27.3% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.2% |
| GDP - composition, by sector of origin: | industry: 23.6% |
| GDP - composition, by sector of origin: | services: 62.8% (2016 est.) |
| Agriculture - products: | sugarcane, corn, bananas, coffee, beans, cardamom; cattle, sheep, pigs, chickens |
| Industries: | sugar, textiles and clothing, furniture, chemicals, petroleum, metals, rubber, tourism |
| Industrial production growth rate: | 3% (2016 est.) |
| Labor force: | 6.53 million (2016 est.) |
| Labor force - by occupation: | agriculture: 30.5% |
| Labor force - by occupation: | industry: 13.7% |
| Labor force - by occupation: | services: 55.8% (2016 est.) |
| Unemployment rate: | 2.4% (2016 est.) |
| Unemployment rate: | 2.7% (2015 est.) |
| Population below poverty line: | 59.3% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.6% |
| Household income or consumption by percentage share: | highest 10%: 38.4% (2014) |
| Distribution of family income - Gini index: | 53 (2014 est.) |
| Distribution of family income - Gini index: | 56 (2011) |
| Budget: | revenues: $7.567 billion |
| Budget: | expenditures: $8.3 billion (2016 est.) |
| Taxes and other revenues: | 11.1% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -1.1% of GDP (2016 est.) |
| Public debt: | 29.2% of GDP (2016 est.) |
| Public debt: | 29.6% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.4% (2016 est.) |
| Inflation rate (consumer prices): | 2.4% (2015 est.) |
| Central bank discount rate: | 7.53% (31 December 2015 est.) |
| Central bank discount rate: | 6.5% (31 December 2010) |
| Commercial bank prime lending rate: | 13.1% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 13.23% (31 December 2015 est.) |
| Stock of narrow money: | $10.81 billion (31 December 2016 est.) |
| Stock of narrow money: | $10.05 billion (31 December 2015 est.) |
| Stock of broad money: | $25.35 billion (31 December 2016 est.) |
| Stock of broad money: | $23.25 billion (31 December 2015 est.) |
| Stock of domestic credit: | $30.44 billion (31 December 2016 est.) |
| Stock of domestic credit: | $28.7 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $644 million (2016 est.) |
| Current account balance: | $-96.5 million (2015 est.) |
| Exports: | $10.58 billion (2016 est.) |
| Exports: | $10.82 billion (2015 est.) |
| Exports - commodities: | sugar, coffee, petroleum, apparel, bananas, fruits and vegetables, cardamom, manufacturing products, precious stones and metals, electricity |
| Exports - partners: | US 34%, El Salvador 11.5%, Honduras 7.1%, Nicaragua 6%, Costa Rica 4.5%, Mexico 4.3% (2016) |
| Imports: | $16.76 billion (2016 est.) |
| Imports: | $17.64 billion (2015 est.) |
