| Economy | Guatemala |
| --- | --- |
| Economy - overview: | Guatemala is the most populous country in Central America with a GDP per capita roughly half the average for Latin America and the Caribbean. The agricultural sector accounts for 13.5% of GDP and 31% of the labor force; key agricultural exports include sugar, coffee, bananas, and vegetables. Guatemala is the top remittance recipient in Central America as a result of Guatemala's large expatriate community in the US. These inflows are a primary source of foreign income, equivalent to two-thirds of the country's exports and about a tenth of its GDP. |
| Economy - overview: | The 1996 peace accords, which ended 36 years of civil war, removed a major obstacle to foreign investment, and Guatemala has since pursued important reforms and macroeconomic stabilization. The Dominican Republic-Central America Free Trade Agreement (CAFTA-DR) entered into force in July 2006, spurring increased investment and diversification of exports, with the largest increases in ethanol and non-traditional agricultural exports. While CAFTA-DR has helped improve the investment climate, concerns over security, the lack of skilled workers, and poor infrastructure continue to hamper foreign direct investment. |
| Economy - overview: | The distribution of income remains highly unequal with the richest 20% of the population accounting for more than 51% of Guatemala's overall consumption. More than half of the population is below the national poverty line, and 23% of the population lives in extreme poverty. Poverty among indigenous groups, which make up more than 40% of the population, averages 79%, with 40% of the indigenous population living in extreme poverty. Nearly one-half of Guatemala's children under age five are chronically malnourished, one of the highest malnutrition rates in the world. |
| GDP (purchasing power parity): | $138.1 billion (2017 est.) |
| GDP (purchasing power parity): | $134.4 billion (2016 est.) |
| GDP (purchasing power parity): | $130.4 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $75.62 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 2.8% (2017 est.) |
| GDP - real growth rate: | 3.1% (2016 est.) |
| GDP - real growth rate: | 4.1% (2015 est.) |
| GDP - per capita (PPP): | $8,200 (2017 est.) |
| GDP - per capita (PPP): | $8,100 (2016 est.) |
| GDP - per capita (PPP): | $8,000 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 13.6% of GDP (2017 est.) |
| Gross national saving: | 14.4% of GDP (2016 est.) |
| Gross national saving: | 13.5% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 86.3% (2017 est.) |
| GDP - composition, by end use: | government consumption: 9.7% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 12.3% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 18.8% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -26.9% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.3% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 23.4% (2017 est.) |
| GDP - composition, by sector of origin: | services: 63.2% (2017 est.) |
| Agriculture - products: | sugarcane, corn, bananas, coffee, beans, cardamom; cattle, sheep, pigs, chickens |
| Industries: | sugar, textiles and clothing, furniture, chemicals, petroleum, metals, rubber, tourism |
| Industrial production growth rate: | 1.8% (2017 est.) |
| Labor force: | 6.664 million (2017 est.) |
| Labor force - by occupation: | agriculture: 31.4% |
| Labor force - by occupation: | industry: 12.8% |
| Labor force - by occupation: | services: 55.8% (2017 est.) |
| Unemployment rate: | 2.3% (2017 est.) |
| Unemployment rate: | 2.4% (2016 est.) |
| Population below poverty line: | 59.3% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 38.4% (2014) |
| Household income or consumption by percentage share: | highest 10%: 38.4% (2014) |
| Distribution of family income - Gini index: | 53 (2014 est.) |
| Distribution of family income - Gini index: | 56 (2011) |
| Budget: | revenues: 8.164 billion (2017 est.) |
| Budget: | expenditures: 9.156 billion (2017 est.) |
| Taxes and other revenues: | 10.8% (of GDP) (2017 est.) |
