| Economy | Suriname |
| --- | --- |
| Economy - overview: | Surinameâ€™s economy is dominated by the mining industry, with exports of oil and gold accounting for approximately 85% of exports and 27% of government revenues. This makes the economy highly vulnerable to mineral price volatility. The worldwide drop in international commodity prices and the cessation of alumina mining in Suriname significantly reduced government revenue and national income during the past few years. In November 2015, a major US aluminum company discontinued its mining activities in Suriname after 99 years of operation. Public sector revenues fell, together with exports, international reserves, employment, and private sector investment. |
| Economy - overview: | Economic growth declined annually from just under 5% in 2012 to -10.4% in 2016. In January 2011, the government devalued the currency by 20% and raised taxes to reduce the budget deficit. Suriname began instituting macro adjustments between September 2015 and 2016; these included another 20% currency devaluation in November 2015 and foreign currency interventions by the Central Bank until March 2016, after which time the Bank allowed the Surinamese dollar (SRD) to float. By December 2016, the SRD had lost 46% of its value against the dollar. Depreciation of the Surinamese dollar and increases in tariffs on electricity caused domestic prices in Suriname to rise 22.0% year-over-year by December 2017. |
| Economy - overview: | Suriname's economic prospects for the medium-term will depend on its commitment to responsible monetary and fiscal policies and on the introduction of structural reforms to liberalize markets and promote competition. The government's over-reliance on revenue from the extractive sector colors Suriname's economic outlook. Following two years of recession, the Fitch Credit Bureau reported a positive growth of 1.2% in 2017 and the World Bank predicted 2.2% growth in 2018. Inflation declined to 9%, down from 55% in 2016 , and increased gold production helped lift exports. Yet continued budget imbalances and a heavy debt and interest burden resulted in a debt-to-GDP ratio of 83% in September 2017. Purchasing power has fallen rapidly due to the devalued local currency. The government has announced its intention to pass legislation to introduce a new value-added tax in 2018. Without this and other measures to strengthen the countryâ€™s fiscal position, the government may face liquidity pressures. |
| GDP (purchasing power parity): | $8.688 billion (2017 est.) |
| GDP (purchasing power parity): | $8.526 billion (2016 est.) |
| GDP (purchasing power parity): | $8.988 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $3.419 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 1.9% (2017 est.) |
| GDP - real growth rate: | -5.1% (2016 est.) |
| GDP - real growth rate: | -2.6% (2015 est.) |
| GDP - per capita (PPP): | $14,900 (2017 est.) |
| GDP - per capita (PPP): | $14,800 (2016 est.) |
| GDP - per capita (PPP): | $15,900 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 46.6% of GDP (2017 est.) |
| Gross national saving: | 55.6% of GDP (2016 est.) |
| Gross national saving: | 53.6% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 27.6% (2017 est.) |
| GDP - composition, by end use: | government consumption: 11.7% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 52.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 26.5% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 68.9% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -60.6% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 11.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 31.1% (2017 est.) |
| GDP - composition, by sector of origin: | services: 57.4% (2017 est.) |
| Agriculture - products: | rice, bananas, seabob shrimp, yellow-fin tuna, vegetables |
| Industries: | gold mining, oil, lumber, food processing, fishing |
| Industrial production growth rate: | 1% (2017 est.) |
| Labor force: | 144,000 (2014 est.) |
| Labor force - by occupation: | agriculture: 11.2% |
| Labor force - by occupation: | industry: 19.5% |
| Labor force - by occupation: | services: 69.3% (2010) |
| Unemployment rate: | 8.9% (2017 est.) |
| Unemployment rate: | 9.7% (2016 est.) |
| Population below poverty line: | 70% (2002 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA |
| Household income or consumption by percentage share: | highest 10%: NA |
| Budget: | revenues: 560.7 million (2017 est.) |
| Budget: | expenditures: 827.8 million (2017 est.) |
| Taxes and other revenues: | 16.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -7.8% (of GDP) (2017 est.) |
| Public debt: | 69.3% of GDP (2017 est.) |
| Public debt: | 75.8% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 22% (2017 est.) |
| Inflation rate (consumer prices): | 55.5% (2016 est.) |
| Central bank discount rate: | 10% (2013) |
| Central bank discount rate: | 9% (2012) |
| Commercial bank prime lending rate: | 14.43% (31 December 2017 est.) |
