| Economy | KENYA |
| --- | --- |
| Economy - overview: | Kenya is the economic and transport hub of East Africa. Kenya&rsquo;s real GDP growth has averaged around 5% for the past several years. According to recently rebased national statistics, Kenya&rsquo;s GDP for 2013 was $55.3 billion, placing Kenya among the low middle income countries with per capita income of $1,300. Agriculture remains the backbone of the Kenyan economy, contributing 25% of GDP. About 80% of Kenya&rsquo;s population of roughly 42 million work at least part-time in the agricultural sector, including livestock and pastoral activities. Over 75% of agricultural output is from small-scale, rain-fed farming or livestock production. While Kenya has a growing entrepreneurial middle class, faster growth and poverty reduction is hampered by corruption and by reliance upon several primary goods whose prices have remained low. Inadequate infrastructure threatens Kenya's long-term position as the largest East African economy, although the KENYATTA administration has prioritized infrastructure development. International financial lenders and donors remain important to Kenya's economic growth and development, but Kenya has also successfully raised capital in the global bond market. Kenya issued its first sovereign bond offering in mid-2014, generating $2 billion at 6% interest; the funds are slated to be used for infrastructure projects. Nairobi has contracted with a Chinese company to begin construction of a new standard gauge railway, but the project allegedly has been beset by corruption and fraud. Unemployment is high at around 40%. The country has chronic budget deficits and is in the process of devolving some state revenues and responsibilities to the counties. Inflationary pressures and sharp currency depreciation peaked in early 2012 but have since abated following low global food and fuel prices and monetary interventions by the Central Bank. Recent terrorism in Kenya and the surrounding region threatens Kenya's important tourism industry. |
| GDP (purchasing power parity): | $132.4 billion (2014 est.) |
| GDP (purchasing power parity): | $125.8 billion (2013 est.) |
| GDP (purchasing power parity): | $118.9 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $60.77 billion (2014 est.) |
| GDP - real growth rate: | 5.3% (2014 est.) |
| GDP - real growth rate: | 5.7% (2013 est.) |
| GDP - real growth rate: | 4.5% (2012 est.) |
| GDP - per capita (PPP): | $3,100 (2014 est.) |
| GDP - per capita (PPP): | $2,900 (2013 est.) |
| GDP - per capita (PPP): | $2,800 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 13.3% of GDP (2014 est.) |
| Gross national saving: | 11.3% of GDP (2013 est.) |
