| Economy | Kenya |
| --- | --- |
| Economic overview: | Kenya is the economic, financial, and transport hub of East Africa. Kenyaâ€™s real GDP growth has averaged over 5% for the last decade. Since 2014, Kenya has been ranked as a lower middle income country because its per capita GDP crossed a World Bank threshold. While Kenya has a growing entrepreneurial middle class and steady growth, its economic development has been impaired by weak governance and corruption. Although reliable numbers are hard to find, unemployment and under-employment are extremely high, and could be near 40% of the population. In 2013, the country adopted a devolved system of government with the creation of 47 counties, and is in the process of devolving state revenues and responsibilities to the counties. |
| Economic overview: | Agriculture remains the backbone of the Kenyan economy, contributing one-third of GDP. About 75% of Kenyaâ€™s population of roughly 48.5 million work at least part-time in the agricultural sector, including livestock and pastoral activities. Over 75% of agricultural output is from small-scale, rain-fed farming or livestock production. Tourism also holds a significant place in Kenyaâ€™s economy. In spite of political turmoil throughout the second half of 2017, tourism was up 20%, showcasing the strength of this sector. Kenya has long been a target of terrorist activity and has struggled with instability along its northeastern borders. Some high visibility terrorist attacks during 2013-2015 (e.g., at Nairobiâ€™s Westgate Mall and Garissa University) affected the tourism industry severely, but the sector rebounded strongly in 2016-2017 and appears poised to continue growing. |
| Economic overview: | Inadequate infrastructure continues to hamper Kenyaâ€™s efforts to improve its annual growth so that it can meaningfully address poverty and unemployment. The KENYATTA administration has been successful in courting external investment for infrastructure development. International financial institutions and donors remain important to Kenya's growth and development, but Kenya has also successfully raised capital in the global bond market issuing its first sovereign bond offering in mid-2014, with a second occurring in February 2018. The first phase of a Chinese-financed and constructed standard gauge railway connecting Mombasa and Nairobi opened in May 2017. |
| Economic overview: | In 2016 the government was forced to take over three small and undercapitalized banks when underlying weaknesses were exposed. The government also enacted legislation that limits interest rates banks can charge on loans and set a rate that banks must pay their depositors. This measure led to a sharp shrinkage of credit in the economy. A prolonged election cycle in 2017 hurt the economy, drained government resources, and slowed GDP growth. Drought-like conditions in parts of the country pushed 2017 inflation above 8%, but the rate had fallen to 4.5% in February 2018. |
| Economic overview: | The economy, however, is well placed to resume its decade-long 5%-6% growth rate. While fiscal deficits continue to pose risks in the medium term, other economic indicators, including foreign exchange reserves, interest rates, current account deficits, remittances and FDI are positive. The credit and drought-related impediments were temporary. Now In his second term, President KENYATTA has pledged to make economic growth and development a centerpiece of his second administration, focusing on his "Big Four" initiatives of universal healthcare, food security, affordable housing, and expansion of manufacturing. |
| GDP real growth rate: | 5.39% (2019 est.) |
| GDP real growth rate: | 6.32% (2018 est.) |
| GDP real growth rate: | 4.79% (2017 est.) |
| Inflation rate (consumer prices): | 5.1% (2019 est.) |
| Inflation rate (consumer prices): | 4.6% (2018 est.) |
| Inflation rate (consumer prices): | 8% (2017 est.) |
| Credit ratings: | Fitch rating: B+ (2007) |
| Credit ratings: | Moody's rating: B2 (2018) |
| Credit ratings: | Standard & Poors rating: B+ (2010) |
| GDP (purchasing power parity) - real: | $172.923 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $164.087 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $154.332 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $95.52 billion (2019 est.) |
| GDP - per capita (PPP): | $1,354 (2019 est.) |
| GDP - per capita (PPP): | $1,314 (2018 est.) |
| GDP - per capita (PPP): | $1,265 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 10.4% of GDP (2017 est.) |
| Gross national saving: | 11% of GDP (2016 est.) |
| Gross national saving: | 11.4% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 34.5% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 17.8% (2017 est.) |
| GDP - composition, by sector of origin: | services: 47.5% (2017 est.) |
| GDP - composition, by end use: | household consumption: 79.5% (2017 est.) |
| GDP - composition, by end use: | government consumption: 14.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 18.9% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 13.9% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -25.5% (2017 est.) |
| Ease of Doing Business Index scores: | 82.7 (2020) |
| Agriculture - products: | tea, coffee, corn, wheat, sugarcane, fruit, vegetables; dairy products, beef, fish, pork, poultry, eggs |
| Industries: | small-scale consumer goods (plastic, furniture, batteries, textiles, clothing, soap, cigarettes, flour), agricultural products, horticulture, oil refining; aluminum, steel, lead; cement, commercial ship repair, tourism, information technology |
| Industrial production growth rate: | 3.6% (2017 est.) |
| Labor force: | 19.6 million (2017 est.) |
| Labor force - by occupation: | agriculture: 61.1% |
| Labor force - by occupation: | industry: 6.7% |
| Labor force - by occupation: | services: 32.2% (2005 est.) |
| Unemployment rate: | 40% (2013 est.) |
| Unemployment rate: | 40% (2001 est.) |
| Population below poverty line: | 36.1% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.8% |
| Household income or consumption by percentage share: | highest 10%: 37.8% (2005) |
| Budget: | revenues: 13.95 billion (2017 est.) |
| Budget: | expenditures: 19.24 billion (2017 est.) |
| Taxes and other revenues: | 17.6% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -6.7% (of GDP) (2017 est.) |
| Public debt: | 54.2% of GDP (2017 est.) |
| Public debt: | 53.2% of GDP (2016 est.) |
| Fiscal year: | 1 July - 30 June |
