| Economy | LEBANON |
| --- | --- |
| Economy - overview: | Lebanon has a free-market economy and a strong laissez-faire commercial tradition. The government does not restrict foreign investment; however, the investment climate suffers from red tape, corruption, arbitrary licensing decisions, complex customs procedures, high taxes, tariffs, and fees, archaic legislation, and weak intellectual property rights. The Lebanese economy is service-oriented; main growth sectors include banking and tourism. The 1975-90 civil war seriously damaged Lebanon's economic infrastructure, cut national output by half, and derailed Lebanon's position as a Middle Eastern entrepot and banking hub. Following the civil war, Lebanon rebuilt much of its war-torn physical and financial infrastructure by borrowing heavily, mostly from domestic banks, which saddled the government with a huge debt burden. Pledges of economic and financial reforms made at separate international donor conferences during the 2000s have mostly gone unfulfilled, including those made during the Paris III Donor Conference in 2007, following the July 2006 war. Spillover from the Syrian conflict, including the influx of more than 1 million Syrian refugees, has increased internal tension and slowed economic growth to the 1-2% range in 2011-13, after four years of averaging 8% growth. Syrian refugees have increased the labor supply, but pushed more Lebanese into unemployment. Chronic fiscal deficits have made Lebanon&rsquo;s debt-to-GDP ratio the third highest in the world; most of the debt is held internally by Lebanese banks. Weak economic growth limits tax revenues, while the largest government expenditures remain debt servicing and transfers to the electricity sector. These limitations constrain other government spending and limit the government&rsquo;s ability to invest in necessary infrastructure improvements, such as water, electricity, and transportation. |
| GDP (purchasing power parity): | $81.42 billion (2014 est.) |
| GDP (purchasing power parity): | $79.82 billion (2013 est.) |
| GDP (purchasing power parity): | $77.88 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $50.03 billion (2014 est.) |
| GDP - real growth rate: | 2% (2014 est.) |
| GDP - real growth rate: | 2.5% (2013 est.) |
| GDP - real growth rate: | 2.8% (2012 est.) |
| GDP - per capita (PPP): | $18,100 (2014 est.) |
| GDP - per capita (PPP): | $17,700 (2013 est.) |
| GDP - per capita (PPP): | $17,300 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | -2% of GDP (2014 est.) |
| Gross national saving: | -2.6% of GDP (2013 est.) |
| Gross national saving: | -0.2% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 89.5% |
| GDP - composition, by end use: | government consumption: 12.5% |
| GDP - composition, by end use: | investment in fixed capital: 27.2% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 22.9% |
| GDP - composition, by end use: | imports of goods and services: -52.7% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.5% |
| GDP - composition, by sector of origin: | industry: 24.8% |
| GDP - composition, by sector of origin: | services: 69.7% (2014 est.) |
| Agriculture - products: | citrus, grapes, tomatoes, apples, vegetables, potatoes, olives, tobacco; sheep, goats |
| Industries: | banking, tourism, food processing, wine, jewelry, cement, textiles, mineral and chemical products, wood and furniture products, oil refining, metal fabricating |
| Industrial production growth rate: | 2% (2014 est.) |
| Labor force: | 1.628 million |
| Labor force: | note: does not include as many as 1 million foreign workers (2013 est.) |
| Labor force - by occupation: | agriculture: NA% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% |
| Unemployment rate: | NA% |
| Population below poverty line: | 28.6% (2004 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $10.88 billion |
| Budget: | expenditures: $13.95 billion (2014 est.) |
| Taxes and other revenues: | 21.7% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -6.1% of GDP (2014 est.) |
| Public debt: | 134.8% of GDP (2014 est.) |
| Public debt: | 132.9% of GDP (2013 est.) |
| Public debt: | note: data cover central government debt, and exclude debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.9% (2014 est.) |
| Inflation rate (consumer prices): | 4.8% (2013 est.) |
| Central bank discount rate: | 3.5% (31 December 2010) |
| Central bank discount rate: | 10% (31 December 2009) |
| Commercial bank prime lending rate: | 7.27% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 7.35% (31 December 2013 est.) |
| Stock of narrow money: | $5.12 billion (11 December 2014 est.) |
| Stock of narrow money: | $5.007 billion (11 December 2013 est.) |
| Stock of broad money: | $48.69 billion (31 December 2014 est.) |
| Stock of broad money: | $45.6 billion (31 December 2013 est.) |
| Stock of domestic credit: | $89.13 billion (31 December 2014 est.) |
| Stock of domestic credit: | $83.21 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $11.22 billion (30 December 2014 est.) |
| Market value of publicly traded shares: | $10.55 billion (30 December 2013) |
| Market value of publicly traded shares: | $10.42 billion (28 December 2012 est.) |
| Current account balance: | -$12.45 billion (2014 est.) |
| Current account balance: | -$12.73 billion (2013 est.) |
| Exports: | $3.787 billion (2014 est.) |
| Exports: | $4.499 billion (2013 est.) |
| Exports - commodities: | jewelry, base metals, chemicals, consumer goods, fruit and vegetables, tobacco, construction minerals, electric power machinery and switchgear, textile fibers, paper |
| Exports - partners: | Saudi Arabia 10.8%, UAE 9.7%, Syria 8.7%, Iraq 7.6%, South Africa 7%, Switzerland 4% (2014) |
| Imports: | $18.99 billion (2014 est.) |
| Imports: | $19.67 billion (2013 est.) |
| Imports - commodities: | petroleum products, cars, medicinal products, clothing, meat and live animals, consumer goods, paper, textile fabrics, tobacco, electrical machinery and equipment, chemicals |
| Imports - partners: | China 11.8%, Italy 7.7%, US 6.8%, France 6.2%, Germany 5.4%, Russia 4.5%, Greece 4.1% (2014) |
| Reserves of foreign exchange and gold: | $49.61 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $50.5 billion (31 December 2014 est.) |
| Debt - external: | $31.59 billion (31 December 2014 est.) |
| Debt - external: | $32.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Lebanese pounds (LBP) per US dollar - |
| Exchange rates: | 1,507.5 (2014 est.) |
| Exchange rates: | 1,507.5 (2013 est.) |
| Exchange rates: | 1,507.5 (2012 est.) |
