| Economy | LEBANON |
| --- | --- |
| Economy - overview: | Lebanon has a free-market economy and a strong laissez-faire commercial tradition. The government does not restrict foreign investment; however, the investment climate suffers from red tape, corruption, arbitrary licensing decisions, complex customs procedures, high taxes, tariffs, and fees, archaic legislation, and weak intellectual property rights. The Lebanese economy is service-oriented; main growth sectors include banking and tourism. |
| Economy - overview: | The 1975-90 civil war seriously damaged Lebanon's economic infrastructure, cut national output by half, and derailed Lebanon's position as a Middle Eastern entrepot and banking hub. Following the civil war, Lebanon rebuilt much of its war-torn physical and financial infrastructure by borrowing heavily, mostly from domestic banks, which saddled the government with a huge debt burden. Pledges of economic and financial reforms made at separate international donor conferences during the 2000s have mostly gone unfulfilled, including those made during the Paris III Donor Conference in 2007, following the July 2006 war. |
| Economy - overview: | Spillover from the Syrian conflict, including the influx of more than 1.1 million registered Syrian refugees, has increased internal tension and slowed economic growth to the 1-2% range in 2011-16, after four years of averaging 8% growth. Syrian refugees have increased the labor supply, but are blamed for pushing more Lebanese into unemployment. Chronic fiscal deficits have increased Lebanon’s debt-to-GDP ratio, the third highest in the world; most of the debt is held internally by Lebanese banks. Weak economic growth limits tax revenues, while the largest government expenditures remain debt servicing, salaries for government workers, and transfers to the electricity sector. These limitations constrain other government spending, limiting its ability to invest in necessary infrastructure improvements, such as water, electricity, and transportation. |
| GDP (purchasing power parity): | $85.11 billion (2016 est.) |
| GDP (purchasing power parity): | $83.2 billion (2015 est.) |
| GDP (purchasing power parity): | $81.64 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $50.46 billion (2016 est.) |
| GDP - real growth rate: | 1% (2016 est.) |
| GDP - real growth rate: | 0.8% (2015 est.) |
| GDP - real growth rate: | 2% (2014 est.) |
| GDP - per capita (PPP): | $19,100 (2016 est.) |
| GDP - per capita (PPP): | $19,000 (2015 est.) |
| GDP - per capita (PPP): | $18,900 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 4.7% of GDP (2016 est.) |
| Gross national saving: | 2.5% of GDP (2015 est.) |
| Gross national saving: | -1.8% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 85.9% |
| GDP - composition, by end use: | government consumption: 13.2% |
| GDP - composition, by end use: | investment in fixed capital: 20.3% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 26.5% |
| GDP - composition, by end use: | imports of goods and services: -46.5% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.7% |
| GDP - composition, by sector of origin: | industry: 21% |
| GDP - composition, by sector of origin: | services: 73.3% (2016 est.) |
| Agriculture - products: | citrus, grapes, tomatoes, apples, vegetables, potatoes, olives, tobacco; sheep, goats |
| Industries: | banking, tourism, food processing, wine, jewelry, cement, textiles, mineral and chemical products, wood and furniture products, oil refining, metal fabricating |
| Industrial production growth rate: | 1.4% (2016 est.) |
| Labor force: | 2.166 million |
| Labor force: | note: excludes as many as 1 million foreign workers and refugees (2016 est.) |
| Labor force - by occupation: | agriculture: NA% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% |
| Unemployment rate: | NA% |
| Population below poverty line: | 28.6% (2004 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $9.923 billion |
| Budget: | expenditures: $14.87 billion (2016 est.) |
| Taxes and other revenues: | 19.1% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -9.5% of GDP (2016 est.) |
| Public debt: | 146.6% of GDP (2016 est.) |
| Public debt: | 140.4% of GDP (2015 est.) |
| Public debt: | note: data cover central government debt, and exclude debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.8% (2016 est.) |
| Inflation rate (consumer prices): | -3.8% (2015 est.) |
| Central bank discount rate: | 3.5% (31 December 2010) |
| Central bank discount rate: | 10% (31 December 2009) |
| Commercial bank prime lending rate: | 8.35% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 7.09% (31 December 2015 est.) |
| Stock of narrow money: | $6.739 billion (31 December 2016 est.) |
| Stock of narrow money: | $5.998 billion (31 December 2015 est.) |
| Stock of broad money: | $54.68 billion (31 December 2016 est.) |
| Stock of broad money: | $52.15 billion (31 December 2015 est.) |
| Stock of domestic credit: | $104 billion (31 December 2016 est.) |
| Stock of domestic credit: | $97.05 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $11.22 billion (30 December 2014 est.) |
| Market value of publicly traded shares: | $10.54 billion (30 December 2013 est.) |
| Market value of publicly traded shares: | $10.42 billion (28 December 2012 est.) |
| Current account balance: | $-9.382 billion (2016 est.) |
| Current account balance: | $-8.051 billion (2015 est.) |
| Exports: | $3.689 billion (2016 est.) |
