| Economy | LEBANON |
| --- | --- |
| Economy - overview: | Lebanon has a free-market economy and a strong laissez-faire commercial tradition. The government does not restrict foreign investment; however, the investment climate suffers from red tape, corruption, arbitrary licensing decisions, complex customs procedures, high taxes, tariffs, and fees, archaic legislation, and weak intellectual property rights. The Lebanese economy is service-oriented; main growth sectors include banking and tourism. |
| Economy - overview: | The 1975-90 civil war seriously damaged Lebanon's economic infrastructure, cut national output by half, and derailed Lebanon's position as a Middle Eastern entrepot and banking hub. Following the civil war, Lebanon rebuilt much of its war-torn physical and financial infrastructure by borrowing heavily, mostly from domestic banks, which saddled the government with a huge debt burden. Pledges of economic and financial reforms made at separate international donor conferences during the 2000s have mostly gone unfulfilled, including those made during the Paris III Donor Conference in 2007, following the July 2006 war. |
| Economy - overview: | Spillover from the Syrian conflict, including the influx of more than 1.1 million registered Syrian refugees, has increased internal tension and slowed economic growth to the 1-2% range in 2011-15, after four years of averaging 8% growth. Syrian refugees have increased the labor supply, but pushed more Lebanese into unemployment. Chronic fiscal deficits have increased Lebanon’s debt-to-GDP ratio, the fourth highest in the world; most of the debt is held internally by Lebanese banks. Weak economic growth limits tax revenues, while the largest government expenditures remain debt servicing, salaries for government workers, and transfers to the electricity sector. These limitations constrain other government spending and limit the government’s ability to invest in necessary infrastructure improvements, such as water, electricity, and transportation. |
| GDP (purchasing power parity): | $83.06 billion (2015 est.) |
| GDP (purchasing power parity): | $82.23 billion (2014 est.) |
| GDP (purchasing power parity): | $80.62 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $51.17 billion (2015 est.) |
| GDP - real growth rate: | 1% (2015 est.) |
| GDP - real growth rate: | 2% (2014 est.) |
| GDP - real growth rate: | 2.5% (2013 est.) |
| GDP - per capita (PPP): | $18,200 (2015 est.) |
| GDP - per capita (PPP): | $18,200 (2014 est.) |
| GDP - per capita (PPP): | $18,000 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 10.2% of GDP (2015 est.) |
| Gross national saving: | 3.8% of GDP (2014 est.) |
| Gross national saving: | 3.5% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 89.1% |
| GDP - composition, by end use: | government consumption: 12.6% |
| GDP - composition, by end use: | investment in fixed capital: 26.6% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 22.5% |
| GDP - composition, by end use: | imports of goods and services: -51.3% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.6% |
| GDP - composition, by sector of origin: | industry: 24.9% |
| GDP - composition, by sector of origin: | services: 69.5% (2015 est.) |
| Agriculture - products: | citrus, grapes, tomatoes, apples, vegetables, potatoes, olives, tobacco; sheep, goats |
| Industries: | banking, tourism, food processing, wine, jewelry, cement, textiles, mineral and chemical products, wood and furniture products, oil refining, metal fabricating |
| Industrial production growth rate: | 1.7% (2015 est.) |
| Labor force: | 1.628 million |
| Labor force: | note: does not include as many as 1 million foreign workers, nor refugees (2013 est.) |
| Labor force - by occupation: | agriculture: NA% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% |
| Unemployment rate: | NA% |
| Population below poverty line: | 28.6% (2004 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $9.576 billion |
| Budget: | expenditures: $13.53 billion (2015 est.) |
| Taxes and other revenues: | 18.7% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -7.7% of GDP (2015 est.) |
| Public debt: | 147.6% of GDP (2015 est.) |
| Public debt: | 134.2% of GDP (2014 est.) |
| Public debt: | note: data cover central government debt, and exclude debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -3.8% (2015 est.) |
| Inflation rate (consumer prices): | 1.1% (2014 est.) |
| Central bank discount rate: | 3.5% (31 December 2010) |
| Central bank discount rate: | 10% (31 December 2009) |
| Commercial bank prime lending rate: | 7.09% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 7.27% (31 December 2014 est.) |
| Stock of narrow money: | $5.998 billion (31 December 2015 est.) |
| Stock of narrow money: | $5.506 billion (31 December 2014 est.) |
| Stock of broad money: | $52.94 billion (31 December 2015 est.) |
| Stock of broad money: | $48.69 billion (31 December 2014 est.) |
| Stock of domestic credit: | $97.05 billion (31 December 2015 est.) |
| Stock of domestic credit: | $89.13 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $11.22 billion (30 December 2014 est.) |
| Market value of publicly traded shares: | $10.54 billion (30 December 2013 est.) |
| Market value of publicly traded shares: | $10.42 billion (28 December 2012 est.) |
| Current account balance: | -$12.78 billion (2015 est.) |
| Current account balance: | -$13.42 billion (2014 est.) |
| Exports: | $3.551 billion (2015 est.) |
