| Economy | Lebanon |
| --- | --- |
| Economy - overview: | Lebanon has a free-market economy and a strong laissez-faire commercial tradition. The government does not restrict foreign investment; however, the investment climate suffers from red tape, corruption, arbitrary licensing decisions, complex customs procedures, high taxes, tariffs, and fees, archaic legislation, and weak intellectual property rights. The Lebanese economy is service-oriented; main growth sectors include banking and tourism. The 1975-90 civil war seriously damaged Lebanon's economic infrastructure, cut national output by half, and derailed Lebanon's position as a Middle Eastern entrepot and banking hub. Following the civil war, Lebanon rebuilt much of its war-torn physical and financial infrastructure by borrowing heavily - mostly from domestic banks - saddling the government with a huge debt burden. Pledges of economic and financial reforms made at separate international donor conferences during the 2000s have mostly gone unfulfilled, including those made during the Paris III Donor Conference in 2007 following the July 2006 war. The collapse of the government in early 2011 over its backing of the Special Tribunal for Lebanon and unrest in neighboring Syria slowed economic growth to the 1-2% range in 2011-12, after four years of 8% average growth. In September 2011 the Cabinet endorsed a bill that would provide $1.2 billion in funding to improve Lebanon''s downtrodden electricity sector, but fiscal limitations will test the government''s ability to invest in other areas, such as water. |
| GDP (purchasing power parity): | $62.5 billion (2012 est.) |
| GDP (purchasing power parity): | $61.58 billion (2011 est.) |
| GDP (purchasing power parity): | $60.67 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $40.78 billion (2012 est.) |
| GDP - real growth rate: | 1.5% (2012 est.) |
| GDP - real growth rate: | 1.5% (2011 est.) |
| GDP - real growth rate: | 7% (2010 est.) |
| GDP - per capita (PPP): | $15,600 (2012 est.) |
| GDP - per capita (PPP): | $15,600 (2011 est.) |
| GDP - per capita (PPP): | $15,500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 29.2% of GDP (2012 est.) |
| Gross national saving: | 22.3% of GDP (2011 est.) |
| Gross national saving: | 13.6% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 81.5% |
| GDP - composition, by end use: | government consumption: 15.2% |
| GDP - composition, by end use: | investment in fixed capital: 32.9% |
| GDP - composition, by end use: | exports of goods and services: 19.2% |
| GDP - composition, by end use: | imports of goods and services: -48.8% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.6% |
| GDP - composition, by sector of origin: | industry: 19.6% |
| GDP - composition, by sector of origin: | services: 75.8% (2012 est.) |
| Agriculture - products: | citrus, grapes, tomatoes, apples, vegetables, potatoes, olives, tobacco; sheep, goats |
| Industries: | banking, tourism, food processing, wine, jewelry, cement, textiles, mineral and chemical products, wood and furniture products, oil refining, metal fabricating |
| Industrial production growth rate: | 1.5% (2012 est.) |
| Labor force: | 1.481 million |
| Labor force: | note: in addition, there are as many as 1 million foreign workers (2007 est.) |
| Labor force - by occupation: | agriculture: NA% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% |
| Unemployment rate: | NA% |
| Population below poverty line: | 28% (1999 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $9.396 billion |
| Budget: | expenditures: $13.32 billion (2012 est.) |
| Taxes and other revenues: | 23% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -9.6% of GDP (2012 est.) |
| Public debt: | 119.6% of GDP (2012 est.) |
| Public debt: | 133.2% of GDP (2011 est.) |
| Public debt: | note: data cover central government debt, and exclude debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.4% (2012 est.) |
| Inflation rate (consumer prices): | 5.1% (2011 est.) |
| Central bank discount rate: | 3.5% (31 December 2010 est.) |
| Central bank discount rate: | 10% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 7.25% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 7.53% (31 December 2011 est.) |
| Stock of narrow money: | $4.712 billion (31 December 2012 est.) |
| Stock of narrow money: | $4.072 billion (31 December 2011 est.) |
| Stock of broad money: | $97.04 billion (31 December 2011 est.) |
| Stock of broad money: | $92 billion (31 December 2010 est.) |
| Stock of domestic credit: | $75.76 billion (31 December 2012 est.) |
| Stock of domestic credit: | $69.65 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $10.16 billion (31 December 2011) |
| Market value of publicly traded shares: | $12.59 billion (31 December 2010) |
| Market value of publicly traded shares: | $12.89 billion (31 December 2009) |
| Current account balance: | $-1.663 billion (2012 est.) |
