| Economy | PAKISTAN |
| --- | --- |
| Economy - overview: | Decades of internal political disputes and low levels of foreign investment have led to slow growth and underdevelopment in Pakistan. Pakistan has a large English-speaking population. Nevertheless, a challenging security environment, electricity shortages, and a burdensome investment climate have deterred investors. Agriculture accounts for more than one-fourth of output and two-fifths of employment. Textiles and apparel account for most of Pakistan's export earnings, and Pakistan's failure to diversify its exports has left the country vulnerable to shifts in world demand. Pakistan’s GDP growth has gradually increased since 2012. Official unemployment was 6.5% in 2015, but this fails to capture the true picture, because much of the economy is informal and underemployment remains high. Human development continues to lag behind most of the region. |
| Economy - overview: | In coordination with the International Monetary Fund (IMF), Pakistan embarked on an economic reform program in 2013. While the reform process has been mixed, and issues like privatization of state-owned enterprises remain unresolved, Pakistan has restored macroeconomic stability, improved its credit rating, and boosted growth. The Pakistani rupee, after heavy depreciation, remained relatively stable against the US dollar in 2014-15. Remittances from overseas workers, averaging more than $1.5 billion a month, are a key revenue source for Pakistan, partly compensating for a lack of foreign investment and a slowdown in portfolio investment. Falling global oil prices in 2015 contributed to a narrowing current account deficit and lower inflation, despite weak export performance. Pakistan’s program with the IMF – a three-year, $6.7 billion Extended Fund Facility focusing on reducing energy shortages, stabilizing public finances, expanding revenue, and improving the external balance – is slated to conclude in September 2016. While passing most quantitative targets, Pakistan has missed targets on structural reforms and performance criteria throughout the program. |
| Economy - overview: | Pakistan remains stuck in a low-income, low-growth trap, with growth averaging about 3.5% per year from 2008 to 2013. Pakistan must address long-standing issues related to government revenues, with the tax base being narrow at 11% of GDP. Given demographic challenges, Pakistan’s leadership will be pressed to implement economic reforms, promote further development of the energy sector, and attract foreign investment to support sufficient economic growth necessary to employ its growing and rapidly urbanizing population, much of which is under the age of 25. Other long-term challenges include expanding investment in education and healthcare, adapting to the effects of climate change and natural disasters, improving the country’s business climate, and reducing dependence on foreign donors. Pakistan and China are implementing the “China-Pakistan Economic Corridor”, a $46 billion investment program targeted towards the energy sector and other infrastructure project that Islamabad and Beijing had agreed on in early 2014. |
| GDP (purchasing power parity): | $931 billion (2015 est.) |
| GDP (purchasing power parity): | $893.1 billion (2014 est.) |
| GDP (purchasing power parity): | $858.5 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $270 billion (2015 est.) |
| GDP - real growth rate: | 4.2% (2015 est.) |
| GDP - real growth rate: | 4% (2014 est.) |
| GDP - real growth rate: | 3.7% (2013 est.) |
| GDP - per capita (PPP): | $5,000 (2015 est.) |
| GDP - per capita (PPP): | $4,900 (2014 est.) |
| GDP - per capita (PPP): | $4,800 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 14.7% of GDP (2015 est.) |
| Gross national saving: | 13.4% of GDP (2014 est.) |
| Gross national saving: | 12.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 80% |
| GDP - composition, by end use: | government consumption: 11% |
| GDP - composition, by end use: | investment in fixed capital: 13.9% |
