| Economy | Korea, North |
| --- | --- |
| Economy - overview: | North Korea, one of the world's most centrally directed and least open economies, faces chronic economic problems. Industrial capital stock is nearly beyond repair as a result of years of underinvestment, shortages of spare parts, and poor maintenance. Large-scale military spending and development of its ballistic missile and nuclear program severely draws off resources needed for investment and civilian consumption. Industrial and power outputs have stagnated for years at a fraction of pre-1990 levels. Frequent weather-related crop failures aggravated chronic food shortages caused by on-going systemic problems, including a lack of arable land, collective farming practices, poor soil quality, insufficient fertilization, and persistent shortages of tractors and fuel. |
| Economy - overview: | The mid 1990s through mid-2000s were marked by severe famine and widespread starvation. Significant food aid was provided by the international community through 2009. Since that time, food assistance has declined significantly. In the last few years, domestic corn and rice production has improved, although domestic production does not fully satisfy demand. A large portion of the population continues to suffer from prolonged malnutrition and poor living conditions. Since 2002, the government has allowed semi-private markets to begin selling a wider range of goods, allowing North Koreans to partially make up for diminished public distribution system rations. It also implemented changes in the management process of communal farms in an effort to boost agricultural output. |
| Economy - overview: | In December 2009, North Korea carried out a redenomination of its currency, capping the amount of North Korean won that could be exchanged for the new notes, and limiting the exchange to a one-week window. A concurrent crackdown on markets and foreign currency use yielded severe shortages and inflation, forcing Pyongyang to ease the restrictions by February 2010. In response to the sinking of the South Korean warship Cheonan and the shelling of Yeonpyeong Island in 2010, South Koreaâ€™s government cut off most aid, trade, and bilateral cooperation activities. In February 2016, South Korea ceased its remaining bilateral economic activity by closing the Kaesong Industrial Complex in response to North Koreaâ€™s fourth nuclear test a month earlier. This nuclear test and another in September 2016 resulted in two United Nations Security Council Resolutions that targeted North Koreaâ€™s foreign currency earnings, particularly coal and other mineral exports. Throughout 2017, North Koreaâ€™s continued nuclear and missile tests led to a tightening of UN sanctions, resulting in full sectoral bans on DPRK exports and drastically limited key imports. Over the last decade, China has been North Koreaâ€™s primary trading partner. |
| Economy - overview: | The North Korean Government continues to stress its goal of improving the overall standard of living, but has taken few steps to make that goal a reality for its populace. In 2016, the regime used two mass mobilizations â€” one totaling 70 days and another 200 days â€” to spur the population to increase production and complete construction projects quickly. The regime released a five-year economic development strategy in May 2016 that outlined plans for promoting growth across sectors. Firm political control remains the governmentâ€™s overriding concern, which likely will inhibit formal changes to North Koreaâ€™s current economic system. |
| GDP (purchasing power parity): | $40 billion (2015 est.) |
| GDP (purchasing power parity): | $40 billion (2014 est.) |
| GDP (purchasing power parity): | $40 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (purchasing power parity): | North Korea does not publish reliable National Income Accounts data; the data shown are derived from purchasing power parity (PPP) GDP estimates that were made by Angus MADDISON in a study conducted for the OECD; his figure for 1999 was extrapolated to 2015 using estimated real growth rates for North Korea's GDP and an inflation factor based on the US GDP deflator; the results were rounded to the nearest $10 billion. |
| GDP (official exchange rate): | $28 billion (2013 est.) (2013 est.) |
| GDP - real growth rate: | -1.1% (2015 est.) |
| GDP - real growth rate: | 1% (2014 est.) |
| GDP - real growth rate: | 1.1% (2013 est.) |
| GDP - per capita (PPP): | $1,700 (2015 est.) |
| GDP - per capita (PPP): | $1,800 (2014 est.) |
