| Economy | Malta |
| --- | --- |
| Economic overview: | Maltaâ€™s free market economy â€“ the smallest economy in the euro-zone â€“ relies heavily on trade in both goods and services, principally with Europe. Malta produces less than a quarter of its food needs, has limited fresh water supplies, and has few domestic energy sources. Malta's economy is dependent on foreign trade, manufacturing, and tourism. Malta joined the EU in 2004 and adopted the euro on 1 January 2008. |
| Economic overview: | Malta has weathered the euro-zone crisis better than most EU member states due to a low debt-to-GDP ratio and financially sound banking sector. It maintains one of the lowest unemployment rates in Europe, and growth has fully recovered since the 2009 recession. In 2014 through 2016, Malta led the euro zone in growth, expanding more than 4.5% per year. |
| Economic overview: | Maltaâ€™s services sector continues to grow, with sustained growth in the financial services and online gaming sectors. Advantageous tax schemes remained attractive to foreign investors, though EU discussions of anti-tax avoidance measures have raised concerns among Maltaâ€™s financial services and insurance providers, as the measures could have a significant impact on those sectors. The tourism sector also continued to grow, with 2016 showing record-breaking numbers of both air and cruise passenger arrivals. |
| Economic overview: | Maltaâ€™s GDP growth remains strong and is supported by a strong labor market. The government has implemented new programs, including free childcare, to encourage increased labor participation. The high cost of borrowing and small labor market remain potential constraints to future economic growth. Increasingly, other EU and European migrants are relocating to Malta for employment, though wages have remained low compared to other European countries. Inflation remains low. |
| GDP real growth rate: | 4.94% (2019 est.) |
| GDP real growth rate: | 5.17% (2018 est.) |
| GDP real growth rate: | 8.03% (2017 est.) |
| Inflation rate (consumer prices): | 1.6% (2019 est.) |
| Inflation rate (consumer prices): | 1.1% (2018 est.) |
| Inflation rate (consumer prices): | 1.3% (2017 est.) |
| Credit ratings: | Fitch rating: A+ (2017) |
| Credit ratings: | Moody's rating: A2 (2019) |
| Credit ratings: | Standard & Poors rating: A- (2016) |
| GDP (purchasing power parity) - real: | $21.639 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $20.624 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $19.609 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $14.986 billion (2019 est.) |
| GDP - per capita (PPP): | $37,300 (2019 est.) |
| GDP - per capita (PPP): | $35,642 (2018 est.) |
| GDP - per capita (PPP): | $33,989 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 33.5% of GDP (2017 est.) |
| Gross national saving: | 31.8% of GDP (2016 est.) |
| Gross national saving: | 31.2% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.1% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 10.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 88.7% (2017 est.) |
| GDP - composition, by end use: | household consumption: 45.2% (2017 est.) |
