| Economy | MALTA |
| --- | --- |
| Economy - overview: | Malta - the smallest economy in the euro zone - produces only about 20% of its food needs, has limited fresh water supplies, and has few domestic energy sources. Malta's geographic position between Europe and North Africa makes it a target for irregular migration, which has strained Malta's political and economic resources. Malta's fertility rate is below the EU average, and population growth in recent years has largely been from immigration, putting increasing pressure on the pension system. Malta adopted the euro on 1 January 2008. Malta's economy is dependent on foreign trade, manufacturing, and tourism. Malta has weathered the Eurozone crisis better than most EU member states due to a low debt-to-GDP ratio and financially sound banking sector. It has low unemployment relative to other European countries, and growth has recovered since the 2009 recession. In 2014, Malta led the Eurozone in growth, expanding by nearly 3.5%. Also in 2014, the government began promoting public-private partnerships in the healthcare sector to establish Malta as a Mediterranean health hub for medical tourism, reduced residential and commercial energy tariffs by 25%, and implemented a citizenship purchase program to increase government revenue and attract foreign investors. The government has implemented new programs, including free child care, to encourage increased labor participation. The high cost of borrowing and small labor market present potential constraints to future economic growth. |
| GDP (purchasing power parity): | $14.12 billion (2014 est.) |
| GDP (purchasing power parity): | $13.64 billion (2013 est.) |
| GDP (purchasing power parity): | $13.28 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $10.58 billion (2014 est.) |
| GDP - real growth rate: | 3.5% (2014 est.) |
| GDP - real growth rate: | 2.7% (2013 est.) |
| GDP - real growth rate: | 2.5% (2012 est.) |
| GDP - per capita (PPP): | $33,200 (2014 est.) |
| GDP - per capita (PPP): | $32,100 (2013 est.) |
| GDP - per capita (PPP): | $31,200 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 21.3% of GDP (2014 est.) |
| Gross national saving: | 22% of GDP (2013 est.) |
| Gross national saving: | 21.2% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 53.8% |
| GDP - composition, by end use: | government consumption: 20.2% |
| GDP - composition, by end use: | investment in fixed capital: 18.8% |
| GDP - composition, by end use: | investment in inventories: -0.4% |
| GDP - composition, by end use: | exports of goods and services: 147% |
