| Economy | France |
| --- | --- |
| Economy - overview: | The French economy is diversified across all sectors. The government has partially or fully privatized many large companies, including Air France, France Telecom, Renault, and Thales. However, the government maintains a strong presence in some sectors, particularly power, public transport, and defense industries. With at least 79 million foreign tourists per year, France is the most visited country in the world and maintains the third largest income in the world from tourism. France's leaders remain committed to a capitalism in which they maintain social equity by means of laws, tax policies, and social spending that reduce income disparity and the impact of free markets on public health and welfare. France's real GDP contracted 2.6% in 2009, but recovered somewhat in 2010 and 2011, before stagnating in 2012. The unemployment rate increased from 7.4% in 2008 and has remained above 9% per year since then. Lower-than-expected growth and increased unemployment have strained France's public finances. The budget deficit rose sharply from 3.4% of GDP in 2008 to 7.5% of GDP in 2009 before improving to 4.5% of GDP in 2012, while France's public debt rose from 68% of GDP to 89% over the same period. Under President SARKOZY, Paris implemented some austerity measures to bring the budget deficit under the 3% euro-zone ceiling by 2013 and to highlight France's commitment to fiscal discipline at a time of intense financial market scrutiny of euro-zone debt. Socialist Party candidate Francois HOLLANDE won the May 2012 presidential election, after advocating pro-growth economic policies, the separation of banks' traditional deposit taking and lending activities from more speculative businesses, increasing the top corporate and personal tax rates, and hiring an additional 60,000 teachers during his five-year term. France ratified the EU fiscal stability treaty in October 2012 and HOLLANDE's government has maintained France's commitment to meeting the budget deficit target of 3% of GDP during 2013 even amid signs that economic growth will be lower than the government's forecast of 0.8%. Despite stagnant growth and fiscal challenges, France's borrowing costs declined during the second half of 2012 to euro-era lows. |
| GDP (purchasing power parity): | $2.253 trillion (2012 est.) |
| GDP (purchasing power parity): | $2.25 trillion (2011 est.) |
| GDP (purchasing power parity): | $2.212 trillion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $2.58 trillion (2012 est.) |
| GDP - real growth rate: | 0.1% (2012 est.) |
| GDP - real growth rate: | 1.7% (2011 est.) |
| GDP - real growth rate: | 1.7% (2010 est.) |
| GDP - per capita (PPP): | $35,500 (2012 est.) |
| GDP - per capita (PPP): | $35,600 (2011 est.) |
| GDP - per capita (PPP): | $35,200 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition by sector: | agriculture: 1.9% |
| GDP - composition by sector: | industry: 18.3% |
| GDP - composition by sector: | services: 79.8% (2012 est.) |
| Labor force: | 29.62 million (2012 est.) |
| Labor force - by occupation: | agriculture: 3.8% |
| Labor force - by occupation: | industry: 24.3% |
| Labor force - by occupation: | services: 71.8% (2005) |
| Unemployment rate: | 9.8% (2012 est.) |
| Unemployment rate: | 9.2% (2011 est.) |
