| Economy | FRANCE |
| --- | --- |
| Economy - overview: | The French economy is diversified across all sectors. The government has partially or fully privatized many large companies, including Air France, France Telecom, Renault, and Thales. However, the government maintains a strong presence in some sectors, particularly power, public transport, and defense industries. Despite terrorist attacks, labor strikes, and bad weather, France is still the most visited country in the world with 83 million foreign tourists in 2016, including 530,000 who came for the 2016 Euro Cup. France's leaders remain committed to a capitalism in which they maintain social equity by means of laws, tax policies, and social spending that mitigate economic inequality. |
| Economy - overview: | France's real GDP grew by 1.1% in 2016, down from 1.3% the year before. The unemployment rate (including overseas territories) increased from 7.8% in 2008 to 10.2% in 2015, before slightly falling to 10% in 2016. Youth unemployment in metropolitan France decreased from 24.6% in the fourth quarter of 2014 to 24% in the fourth quarter of 2016. |
| Economy - overview: | Lower-than-expected growth and high spending have strained France's public finances. Despite measures to restore public finances since President Francois HOLLANDE took office in 2012, the budget deficit rose from 3.3% of GDP in 2008 to 7.5% of GDP in 2009 before improving to 3.4% of GDP in 2016. Meanwhile, France's public debt rose from 89.5% of GDP in 2012 to 96% in 2016. |
| Economy - overview: | President HOLLANDE’s policies aimed to enhance French industry’s competitiveness and to lower high jobless figures. The Competitiveness and Employment Tax Credit of 2012, the Responsibility and Solidarity Pact of 2014, the Investment Stimulus Plan, and the Emergency Jobs Plan represent more than $42.6 billion in support for businesses in 2017 by lowering French labor costs, but so far the results of these policies have been marginal on France’s competitiveness and job creation. In an effort to bolster social justice, the 2017 budget bill contained provisions to reduce income taxes for households and for small and medium sized enterprises. |
| Economy - overview: | During his mandate, President HOLLANDE oversaw two highly unpopular economic reforms that led to widespread protests. The “Macron Law” of 2015, enacted to boost economic growth, authorized businesses to open some Sundays of each month and allowed flexibility to negotiate pay and working hours. The “El Khomri law,” imposed by decree in 2016, aimed to make it easier for businesses to employ people and gave employers more leeway to negotiate hours, wages, and time off. |
| GDP (purchasing power parity): | $2.735 trillion (2016 est.) |
| GDP (purchasing power parity): | $2.669 trillion (2015 est.) |
| GDP (purchasing power parity): | $2.612 trillion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $2.466 trillion (2016 est.) |
| GDP - real growth rate: | 1.2% (2016 est.) |
| GDP - real growth rate: | 1.1% (2015 est.) |
| GDP - real growth rate: | 0.9% (2014 est.) |
| GDP - per capita (PPP): | $42,300 (2016 est.) |
| GDP - per capita (PPP): | $42,000 (2015 est.) |
| GDP - per capita (PPP): | $41,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 22% of GDP (2016 est.) |
| Gross national saving: | 22.3% of GDP (2015 est.) |
| Gross national saving: | 21.5% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 55.3% |
| GDP - composition, by end use: | government consumption: 23.6% |
| GDP - composition, by end use: | investment in fixed capital: 21.9% |
| GDP - composition, by end use: | investment in inventories: 1.1% |
| GDP - composition, by end use: | exports of goods and services: 29.3% |
| GDP - composition, by end use: | imports of goods and services: -31.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.6% |
| GDP - composition, by sector of origin: | industry: 19.6% |
| GDP - composition, by sector of origin: | services: 78.8% (2016 est.) |
| Agriculture - products: | wheat, cereals, sugar beets, potatoes, wine grapes; beef, dairy products; fish |
| Industries: | machinery, chemicals, automobiles, metallurgy, aircraft, electronics; textiles, food processing; tourism |
| Industrial production growth rate: | 1% (2016 est.) |
| Labor force: | 30.43 million (2016 est.) |
| Labor force - by occupation: | agriculture: 2.4% |
| Labor force - by occupation: | industry: 18.3% |
| Labor force - by occupation: | services: 79.3% (2015 est.) |
| Unemployment rate: | 10% (2016 est.) |
| Unemployment rate: | 10% (2015 est.) |
| Unemployment rate: | note: includes overseas territories |
| Population below poverty line: | 14% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.6% |
| Household income or consumption by percentage share: | highest 10%: 25.4% (2013) |
| Distribution of family income - Gini index: | 29.2 (2015) |
| Distribution of family income - Gini index: | 30.5 (2012) |
| Budget: | revenues: $1.307 trillion |
| Budget: | expenditures: $1.391 trillion (2016 est.) |
| Taxes and other revenues: | 53.1% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -3.4% of GDP (2016 est.) |
| Public debt: | 96.4% of GDP (2016 est.) |
| Public debt: | 95.6% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.3% (2016 est.) |
| Inflation rate (consumer prices): | 0.1% (2015 est.) |
| Central bank discount rate: | 0% (31 December 2016) |
| Central bank discount rate: | 0.05% (31 December 2015) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 1.6% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 1.93% (31 December 2015 est.) |
| Stock of narrow money: | $1.139 trillion (31 December 2016 est.) |
| Stock of narrow money: | $1.079 trillion (31 December 2015 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $1.982 trillion (31 December 2016 est.) |
| Stock of broad money: | $1.945 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $3.646 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $3.528 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.591 trillion (31 March 2017 est.) |
| Market value of publicly traded shares: | $2.088 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $2.086 trillion (31 December 2014 est.) |
| Current account balance: | $-24.66 billion (2016 est.) |
| Current account balance: | $-10.8 billion (2015 est.) |
| Exports: | $507 billion (2016 est.) |
| Exports: | $510.6 billion (2015 est.) |
| Exports - commodities: | machinery and transportation equipment, aircraft, plastics, chemicals, pharmaceutical products, iron and steel, beverages |
| Exports - partners: | Germany 16%, Spain 7.6%, US 7.3%, Italy 7.2%, UK 7%, Belgium 6.8% (2016) |
| Imports: | $536.7 billion (2016 est.) |
| Imports: | $538.4 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, vehicles, crude oil, aircraft, plastics, chemicals |
| Imports - partners: | Germany 19.3%, Belgium 10.6%, Netherlands 7.9%, Italy 7.8%, Spain 7%, US 5.8%, China 5.1%, UK 4.2% (2016) |
| Reserves of foreign exchange and gold: | $146.8 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $138.2 billion (31 December 2015 est.) |
| Debt - external: | $5.36 trillion (31 March 2016 est.) |
| Debt - external: | $5.25 trillion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $807.4 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $772 billion (31 December 2015 est.) |
