| Economy | JAPAN |
| --- | --- |
| Economy - overview: | Over the past 70 years, government-industry cooperation, a strong work ethic, mastery of high technology, and a comparatively small defense allocation (1% of GDP) have helped Japan develop an advanced economy. Two notable characteristics of the post-World War II economy were the close interlocking structures of manufacturers, suppliers, and distributors, known as keiretsu, and the guarantee of lifetime employment for a substantial portion of the urban labor force. Both features are now eroding under the dual pressures of global competition and domestic demographic change. |
| Economy - overview: | Scarce in many natural resources, Japan has long been dependent on imported raw materials. Since the complete shutdown of Japan’s nuclear reactors after the earthquake and tsunami disaster in 2011, Japan's industrial sector has become even more dependent than before on imported fossil fuels. A small agricultural sector is highly subsidized and protected, with crop yields among the highest in the world. While self-sufficient in rice production, Japan imports about 60% of its food on a caloric basis. |
| Economy - overview: | For three decades, overall real economic growth had been impressive - a 10% average in the 1960s, 5% in the 1970s, and 4% in the 1980s. Growth slowed markedly in the 1990s, averaging just 1.7%, largely because of the aftereffects of inefficient investment and an asset price bubble in the late 1980s, after which it took a considerable time for firms to reduce excess debt, capital, and labor. Modest economic growth continued after 2000, but the economy has fallen into recession four times since 2008. Government stimulus spending helped the economy recover in late 2009 and 2010, but the economy contracted again in 2011 as the massive 9.0 magnitude earthquake and the ensuing tsunami in March of that year disrupted economic activity. The economy has largely recovered in the five years since the disaster, although output in the affected areas continues to lag behind the national average. |
| Economy - overview: | Japan enjoyed a sharp uptick in growth in 2013 on the basis of Prime Minister Shinzo ABE’s “Three Arrows” economic revitalization agenda - dubbed “Abenomics” - of monetary easing, “flexible” fiscal policy, and structural reform. In 2015, ABE revised his “Three Arrows” to raise nominal GDP by 20% to 600 trillion yen by 2020, stem population decline by raising the fertility rate, and provide more support for workers with children and aging relatives. ABE’s government has replaced the preceding administration’s plan to phase out nuclear power with a new policy of seeking to restart nuclear power plants that meet strict new safety standards, and emphasizing nuclear energy’s importance as a base-load electricity source. Japan successfully restarted two nuclear reactors at the Sendai Nuclear Power Plant in Kagoshima prefecture. In October 2015, Japan and 11 trading partners reached agreement on the Trans-Pacific Partnership, a pact that promises to open Japan's economy to increased foreign competition and create new export opportunities for Japanese businesses. |
| Economy - overview: | Measured on a purchasing power parity (PPP) basis that adjusts for price differences, Japan in 2015 stood as the fourth-largest economy in the world after first-place China, which surpassed Japan in 2001, and third-place India, which edged out Japan in 2012. While seeking to stimulate and reform the economy, the government must also devise a strategy for reining in Japan's huge government debt, which amounts to more than 230% of GDP. To help raise government revenue, Japan adopted legislation in 2012 to gradually raise the consumption tax rate to 10% by 2015, beginning with a hike from 5% to 8%, implemented in April 2014. That increase had a contractionary effect on GDP, however, so PM ABE in late 2014 decided to postpone the final phase of the increase until April 2017 to give the economy more time to recover. Led by the Bank of Japan’s aggressive monetary easing, Japan is making progress in ending deflation, but demographic decline – a low birthrate and an aging, shrinking population – poses a major long-term challenge for the economy. |
| GDP (purchasing power parity): | $4.83 trillion (2015 est.) |
| GDP (purchasing power parity): | $4.807 trillion (2014 est.) |
| GDP (purchasing power parity): | $4.809 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $4.123 trillion (2015 est.) |
| GDP - real growth rate: | 0.5% (2015 est.) |
| GDP - real growth rate: | 0% (2014 est.) |
| GDP - real growth rate: | 1.4% (2013 est.) |
| GDP - per capita (PPP): | $38,100 (2015 est.) |
| GDP - per capita (PPP): | $37,800 (2014 est.) |
| GDP - per capita (PPP): | $37,800 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 25.3% of GDP (2015 est.) |
| Gross national saving: | 22.6% of GDP (2014 est.) |
| Gross national saving: | 22.2% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 58.6% |
| GDP - composition, by end use: | government consumption: 20.4% |
| GDP - composition, by end use: | investment in fixed capital: 21.7% |
| GDP - composition, by end use: | investment in inventories: 0.3% |
| GDP - composition, by end use: | exports of goods and services: 17.9% |
| GDP - composition, by end use: | imports of goods and services: -18.9% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.2% |
| GDP - composition, by sector of origin: | industry: 27.5% |
