| Economy | BELGIUM |
| --- | --- |
| Economy - overview: | This modern, open, and private-enterprise-based economy has capitalized on its central geographic location, highly developed transport network, and diversified industrial and commercial base. Industry is concentrated mainly in the more heavily-populated region of Flanders in the north. With few natural resources, Belgium imports substantial quantities of raw materials and exports a large volume of manufactures, making its economy vulnerable to shifts in foreign demand, particularly with Belgium’s EU trade partners. Roughly three-quarters of Belgium's trade is with other EU countries. |
| Economy - overview: | In 2015, Belgian GDP grew by 1.4%, the unemployment rate stabilized at 8.6%, and the budget deficit was 2.7% of GDP. Prime Minister Charles MICHEL's center-right government has pledged to further reduce the deficit in response to EU pressure to reduce Belgium's high public debt, which remains above 100% of GDP, but such efforts could also dampen economic growth. In addition to restrained public spending, low wage growth and high unemployment promise to curtail a more robust recovery in private consumption. |
| Economy - overview: | The government has pledged to pursue a reform program to improve Belgium’s competitiveness, including changes to tax policy, labor market rules, and welfare benefits. These changes risk worsening tensions with trade unions and triggering extended strikes. |
| GDP (purchasing power parity): | $494.1 billion (2015 est.) |
| GDP (purchasing power parity): | $487.4 billion (2014 est.) |
| GDP (purchasing power parity): | $481 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $454.7 billion (2015 est.) |
| GDP - real growth rate: | 1.4% (2015 est.) |
| GDP - real growth rate: | 1.3% (2014 est.) |
| GDP - real growth rate: | 0% (2013 est.) |
| GDP - per capita (PPP): | $43,600 (2015 est.) |
| GDP - per capita (PPP): | $43,500 (2014 est.) |
| GDP - per capita (PPP): | $43,100 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 22.6% of GDP (2015 est.) |
| Gross national saving: | 22.8% of GDP (2014 est.) |
| Gross national saving: | 21.9% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 51.5% |
| GDP - composition, by end use: | government consumption: 24.2% |
| GDP - composition, by end use: | investment in fixed capital: 23.3% |
| GDP - composition, by end use: | investment in inventories: -0.7% |
| GDP - composition, by end use: | exports of goods and services: 84.4% |
| GDP - composition, by end use: | imports of goods and services: -82.7% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.6% |
| GDP - composition, by sector of origin: | industry: 21.9% |
| GDP - composition, by sector of origin: | services: 77.4% (2015 est.) |
| Agriculture - products: | sugar beets, fresh vegetables, fruits, grain, tobacco; beef, veal, pork, milk |
| Industries: | engineering and metal products, motor vehicle assembly, transportation equipment, scientific instruments, processed food and beverages, chemicals, base metals, textiles, glass, petroleum |
| Industrial production growth rate: | 0.9% (2015 est.) |
| Labor force: | 5.247 million (2015 est.) |
| Labor force - by occupation: | agriculture: 1.3% |
| Labor force - by occupation: | industry: 18.6% |
| Labor force - by occupation: | services: 80.1% (2013 est.) |
| Unemployment rate: | 8.5% (2015 est.) |
| Unemployment rate: | 8.6% (2014 est.) |
| Population below poverty line: | 15.1% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 28.4% (2006) |
| Distribution of family income - Gini index: | 25.9 (2013 est.) |
| Distribution of family income - Gini index: | 28.7 (1996) |
| Budget: | revenues: $233.4 billion |
| Budget: | expenditures: $245.2 billion (2015 est.) |
| Taxes and other revenues: | 51.3% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.6% of GDP (2015 est.) |
| Public debt: | 106.1% of GDP (2015 est.) |
| Public debt: | 106.6% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions; general government debt is defined by the Maastricht definition and calculated by the National Bank of Belgium as consolidated gross debt; the debt is defined in European Regulation EC479/2009 concerning the implementation of the protocol on the excessive deficit procedure annexed to the Treaty on European Union (Treaty of Maastricht) of 7 February 1992; the sub-sectors of consolidated gross debt are: federal government, communities and regions, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.6% (2015 est.) |
| Inflation rate (consumer prices): | 0.5% (2014 est.) |
| Central bank discount rate: | 0.05% (31 December 2013) |
| Central bank discount rate: | 0.3% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 2.46% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 3.23% (31 December 2014 est.) |
| Stock of narrow money: | $181.5 billion (31 December 2015 est.) |
| Stock of narrow money: | $182.5 billion (31 December 2014 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $606.9 billion (31 December 2014 est.) |
| Stock of broad money: | $630.9 billion (31 December 2013 est.) |
| Stock of domestic credit: | $660.8 billion (31 December 2015 est.) |
| Stock of domestic credit: | $750.6 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $300.1 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $229.9 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $269.3 billion (31 December 2013 est.) |
| Current account balance: | $2.359 billion (2015 est.) |
| Current account balance: | -$1.147 billion (2014 est.) |
| Exports: | $259.9 billion (2015 est.) |
| Exports: | $320.2 billion (2014 est.) |
| Exports - commodities: | chemicals, machinery and equipment, finished diamonds, metals and metal products, foodstuffs |
| Exports - partners: | Germany 16.9%, France 15.5%, Netherlands 11.4%, UK 8.8%, US 6%, Italy 5% (2015) |
| Imports: | $259.6 billion (2015 est.) |
| Imports: | $325.2 billion (2014 est.) |
| Imports - commodities: | raw materials, machinery and equipment, chemicals, raw diamonds, pharmaceuticals, foodstuffs, transportation equipment, oil products |
| Imports - partners: | Netherlands 16.7%, Germany 12.7%, France 9.6%, US 8.7%, UK 5.1%, Ireland 4.7%, China 4.3% (2015) |
| Reserves of foreign exchange and gold: | $24.1 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $25.4 billion (31 December 2014 est.) |
| Debt - external: | $1.312 trillion (31 December 2014 est.) |
| Debt - external: | $1.285 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $1.034 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $1.055 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $1.01 trillion (31 December 2015 est.) |
