| Economy | Peru |
| --- | --- |
| Economy - overview: | Peru's economy reflects its varied geography - an arid lowland coastal region, the central high sierra of the Andes, the dense forest of the Amazon, with tropical lands bordering Colombia and Brazil. A wide range of important mineral resources are found in the mountainous and coastal areas, and Peru's coastal waters provide excellent fishing grounds. The Peruvian economy has been growing by an average of 6.4% per year since 2002 with a stable/slightly appreciating exchange rate and low inflation, which in 2013 is expected to be below the upper limit of the Central Bank target range of 1 to 3%. Growth has been in the 6-9% range for the last three years, due partly to a leap in private investment, especially in the extractive sector, which accounts for more than 60% of Peru's total exports. Despite Peru's strong macroeconomic performance, dependence on minerals and metals exports and imported foodstuffs subjects the economy to fluctuations in world prices. Poor infrastructure hinders the spread of growth to Peru's non-coastal areas. Peru's rapid expansion coupled with cash transfers and other programs have helped to reduce the national poverty rate by 23 percentage points since 2002, but inequality persists and continues to pose a challenge for the new Ollanta HUMALA administration, which has championed a policy of social inclusion and a more equitable distribution of income. Peru's free trade policy has continued under the HUMALA administration; since 2006, Peru has signed trade deals with the US, Canada, Singapore, China, Korea, Mexico, Japan, the European Free Trade Association, Chile, and four other countries; concluded negotiations with Venezuela, Costa Rica, and Guatemala; and begun trade talks with two other Central American countries and the Trans-Pacific Partnership. Peru also has signed a trade pact with Chile, Colombia, and Mexico called the Pacific Alliance that rivals Mercosur in combined population, GDP, and trade. The US-Peru Trade Promotion Agreement entered into force 1 February 2009, opening the way to greater trade and investment between the two economies. Although Peru has continued to attract foreign investment, political activism and protests are hampering development of some projects related to natural resource extraction. |
| GDP (purchasing power parity): | $322.9 billion (2012 est.) |
| GDP (purchasing power parity): | $303.8 billion (2011 est.) |
| GDP (purchasing power parity): | $284.3 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $196.2 billion (2012 est.) |
| GDP - real growth rate: | 6.3% (2012 est.) |
| GDP - real growth rate: | 6.9% (2011 est.) |
| GDP - real growth rate: | 8.8% (2010 est.) |
| GDP - per capita (PPP): | $10,600 (2012 est.) |
| GDP - per capita (PPP): | $10,100 (2011 est.) |
| GDP - per capita (PPP): | $9,600 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 23.3% of GDP (2012 est.) |
| Gross national saving: | 23.4% of GDP (2011 est.) |
| Gross national saving: | 22.7% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 61.9% |
| GDP - composition, by end use: | government consumption: 10.3% |
| GDP - composition, by end use: | investment in fixed capital: 26.6% |
| GDP - composition, by end use: | investment in inventories: 0.3% |
| GDP - composition, by end use: | exports of goods and services: 25.5% |
| GDP - composition, by end use: | imports of goods and services: -24.5% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.3% |
| GDP - composition, by sector of origin: | industry: 37.6% |
| GDP - composition, by sector of origin: | services: 56.1% (2012 est.) |
| Agriculture - products: | asparagus, coffee, cocoa, cotton, sugarcane, rice, potatoes, corn, plantains, grapes, oranges, pineapples, guavas, bananas, apples, lemons, pears, coca, tomatoes, mangoes, barley, medicinal plants, palm oil, marigold, onion, wheat, dry beans; poultry, beef, pork, dairy products; guinea pigs; fish |
