| Economy | Peru |
| --- | --- |
| Economy - overview: | Peru's economy reflects its varied topography - an arid lowland coastal region, the central high sierra of the Andes, and the dense forest of the Amazon. A wide range of important mineral resources are found in the mountainous and coastal areas, and Peru's coastal waters provide excellent fishing grounds. Peru is the world's second largest producer of silver and copper. |
| Economy - overview: | The Peruvian economy grew by an average of 5.6% per year from 2009-13 with a stable exchange rate and low inflation. This growth was due partly to high international prices for Peru's metals and minerals exports, which account for 55% of the country's total exports. Growth slipped from 2014 to 2017, due to weaker world prices for these resources. Despite Peru's strong macroeconomic performance, dependence on minerals and metals exports and imported foodstuffs makes the economy vulnerable to fluctuations in world prices. |
| Economy - overview: | Peru's rapid expansion coupled with cash transfers and other programs have helped to reduce the national poverty rate by over 35 percentage points since 2004, but inequality persists and continued to pose a challenge for the Ollanta HUMALA administration, which championed a policy of social inclusion and a more equitable distribution of income. Poor infrastructure hinders the spread of growth to Peru's non-coastal areas. The HUMALA administration passed several economic stimulus packages in 2014 to bolster growth, including reforms to environmental regulations in order to spur investment in Peruâ€™s lucrative mining sector, a move that was opposed by some environmental groups. However, in 2015, mining investment fell as global commodity prices remained low and social conflicts plagued the sector. |
| Economy - overview: | Peru's free trade policy continued under the HUMALA administration; since 2006, Peru has signed trade deals with the US, Canada, Singapore, China, Korea, Mexico, Japan, the EU, the European Free Trade Association, Chile, Thailand, Costa Rica, Panama, Venezuela, Honduras, concluded negotiations with Guatemala and the Trans-Pacific Partnership, and begun trade talks with El Salvador, India, and Turkey. Peru also has signed a trade pact with Chile, Colombia, and Mexico, called the Pacific Alliance, that seeks integration of services, capital, investment and movement of people. Since the US-Peru Trade Promotion Agreement entered into force in February 2009, total trade between Peru and the US has doubled. President Pedro Pablo KUCZYNSKI succeeded HUMALA in July 2016 and is focusing on economic reforms and free market policies aimed at boosting investment in Peru. Mining output increased significantly in 2016-17, which helped Peru attain one of the highest GDP growth rates in Latin America, and Peru should maintain strong growth in 2018. However, economic performance was depressed by delays in infrastructure mega-projects and the start of a corruption scandal associated with a Brazilian firm. Massive flooding in early 2017 also was a drag on growth, offset somewhat by additional public spending aimed at recovery efforts. |
| GDP (purchasing power parity): | $430.3 billion (2017 est.) |
| GDP (purchasing power parity): | $420 billion (2016 est.) |
| GDP (purchasing power parity): | $403.7 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $214.2 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 2.5% (2017 est.) |
| GDP - real growth rate: | 4% (2016 est.) |
| GDP - real growth rate: | 3.3% (2015 est.) |
| GDP - per capita (PPP): | $13,500 (2017 est.) |
| GDP - per capita (PPP): | $13,300 (2016 est.) |
| GDP - per capita (PPP): | $13,000 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 19.8% of GDP (2017 est.) |
| Gross national saving: | 19.5% of GDP (2016 est.) |
| Gross national saving: | 19% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 64.9% (2017 est.) |
| GDP - composition, by end use: | government consumption: 11.7% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 21.7% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 24% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -22% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 7.6% (2017 est.) |
