| Economy | PERU |
| --- | --- |
| Economy - overview: | Peru's economy reflects its varied topography - an arid lowland coastal region, the central high sierra of the Andes, the dense forest of the Amazon, with tropical lands bordering Colombia and Brazil. A wide range of important mineral resources are found in the mountainous and coastal areas, and Peru's coastal waters provide excellent fishing grounds. Peru is the world's second largest producer of silver and third largest producer of copper. The Peruvian economy grew by an average of 5.6% from 2009-13 with a stable exchange rate and low inflation, which in 2013 was just below the upper limit of the Central Bank target range of 1 to 3%. This growth was due partly to high international prices for Peru's metals and minerals exports, which account for almost 60% of the country's total exports. Growth slipped in 2014, due to weaker world prices for these resources. Despite Peru's strong macroeconomic performance, dependence on minerals and metals exports and imported foodstuffs makes the economy vulnerable to fluctuations in world prices. Peru's rapid expansion coupled with cash transfers and other programs have helped to reduce the national poverty rate by 28 percentage points since 2002, but inequality persists and continues to pose a challenge for the Ollanta HUMALA administration, which has championed a policy of social inclusion and a more equitable distribution of income. Poor infrastructure hinders the spread of growth to Peru's non-coastal areas. The HUMALA administration passed several economic stimulus packages in 2014 to bolster growth, including reforms to environmental regulations in order to spur investment in Peru&rsquo;s lucrative mining sector, a move that was opposed by some environmental groups. Peru's free trade policy has continued under the HUMALA administration; since 2006, Peru has signed trade deals with the US, Canada, Singapore, China, Korea, Mexico, Japan, the EU, the European Free Trade Association, Chile, Thailand, Costa Rica, Panama, Venezuela, concluded negotiations with Guatemala, and begun trade talks with Honduras, El Salvador, India, Indonesia, Turkey and the Trans-Pacific Partnership. Peru also has signed a trade pact with Chile, Colombia, and Mexico, called the Pacific Alliance, that seeks integration of services, capital, investment and movement of people.  Since the US-Peru Trade Promotion Agreement entered into force in February 2009, total trade between Peru and the United States has doubled. |
| GDP (purchasing power parity): | $371.3 billion (2014 est.) |
| GDP (purchasing power parity): | $362.8 billion (2013 est.) |
| GDP (purchasing power parity): | $343 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $202.9 billion (2014 est.) |
| GDP - real growth rate: | 2.4% (2014 est.) |
| GDP - real growth rate: | 5.8% (2013 est.) |
| GDP - real growth rate: | 6% (2012 est.) |
| GDP - per capita (PPP): | $11,800 (2014 est.) |
| GDP - per capita (PPP): | $11,500 (2013 est.) |
| GDP - per capita (PPP): | $10,900 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 22.7% of GDP (2014 est.) |
| Gross national saving: | 23.8% of GDP (2013 est.) |
| Gross national saving: | 23.5% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 64% |
| GDP - composition, by end use: | government consumption: 11.2% |
| GDP - composition, by end use: | investment in fixed capital: 26.2% |
| GDP - composition, by end use: | investment in inventories: 0.2% |
| GDP - composition, by end use: | exports of goods and services: 21.8% |
| GDP - composition, by end use: | imports of goods and services: -23.5% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 7.1% |
| GDP - composition, by sector of origin: | industry: 36.7% |
| GDP - composition, by sector of origin: | services: 56.2% (2014 est.) |
| Agriculture - products: | artichokes, asparagus, avocados, blueberries, coffee, cocoa, cotton, sugarcane, rice, potatoes, corn, plantains, grapes, oranges, pineapples, guavas, bananas, apples, lemons, pears, coca, tomatoes, mangoes, barley, medicinal plants, quinoa, palm oil, marigold, onion, wheat, dry beans; poultry, beef, pork, dairy products; guinea pigs; fish |
| Industries: | mining and refining of minerals; steel, metal fabrication; petroleum extraction and refining, natural gas and natural gas liquefaction; fishing and fish processing, cement, glass, textiles, clothing, food processing, beer, soft drinks, rubber, machinery, electrical machinery, chemicals, furniture |
| Industrial production growth rate: | 4.2% (2014 est.) |
| Labor force: | 16.55 million |
| Labor force: | note: individuals older than 14 years of age (2014 est.) |
| Labor force - by occupation: | agriculture: 25.8% |
| Labor force - by occupation: | industry: 17.4% |
| Labor force - by occupation: | services: 56.8% (2011) |
| Unemployment rate: | 6% (2014 est.) |
| Unemployment rate: | 6.5% (2013 est.) |
| Unemployment rate: | note: data are for metropolitan Lima; widespread underemployment |
| Population below poverty line: | 25.8% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.4% |
| Household income or consumption by percentage share: | highest 10%: 36.1% (2010 est.) |
| Distribution of family income - Gini index: | 45.3 (2012) |
| Distribution of family income - Gini index: | 51 (2005) |
| Budget: | revenues: $64.25 billion |
| Budget: | expenditures: $64.49 billion (2014 est.) |
| Taxes and other revenues: | 30.9% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -0.1% of GDP (2014 est.) |
| Public debt: | 15.9% of GDP (2014 est.) |
| Public debt: | 16.3% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.2% (2014 est.) |
| Inflation rate (consumer prices): | 2.8% (2013 est.) |
| Inflation rate (consumer prices): | note: data are for metropolitan Lima, annual average |
| Central bank discount rate: | 5.05% (31 December 2012) |
| Central bank discount rate: | 5.05% (31 December 2011) |
| Commercial bank prime lending rate: | 15.7% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 18.16% (31 December 2013 est.) |
| Commercial bank prime lending rate: | note: domestic currency lending rate, 90 day maturity |
| Stock of narrow money: | $33.71 billion (31 December 2014 est.) |
| Stock of narrow money: | $32.59 billion (31 December 2013 est.) |
| Stock of broad money: | $91.26 billion (31 December 2014 est.) |
| Stock of broad money: | $84.1 billion (31 December 2013 est.) |
| Stock of domestic credit: | $47.4 billion (31 December 2014 est.) |
| Stock of domestic credit: | $43.06 billion (31 December 2013 est.) |
