| Economy | CHINA |
| --- | --- |
| Economy - overview: | Since the late 1970s China has moved from a closed, centrally planned system to a more market-oriented one that plays a major global role - in 2010 China became the world's largest exporter. Reforms began with the phasing out of collectivized agriculture, and expanded to include the gradual liberalization of prices, fiscal decentralization, increased autonomy for state enterprises, growth of the private sector, development of stock markets and a modern banking system, and opening to foreign trade and investment. China has implemented reforms in a gradualist fashion. In recent years, China has renewed its support for state-owned enterprises in sectors considered important to "economic security," explicitly looking to foster globally competitive industries. The restructuring of the economy and resulting efficiency gains have contributed to a more than tenfold increase in GDP since 1978. Measured on a purchasing power parity (PPP) basis that adjusts for price differences, China in 2014 stood as the largest economy in the world, surpassing the US for the first time in modern history. Still, China's per capita income is below the world average. |
| Economy - overview: | After keeping its currency tightly linked to the US dollar for years, in July 2005 China moved to an exchange rate system that references a basket of currencies. From mid 2005 to late 2008 cumulative appreciation of the renminbi against the US dollar was more than 20%, but the exchange rate remained virtually pegged to the dollar from the onset of the global financial crisis until June 2010, when Beijing allowed resumption of a gradual appreciation. In 2014 the People&rsquo;s Bank of China (PBOC) doubled the daily trading band within which the RMB is permitted to fluctuate. |
| Economy - overview: | The Chinese government faces numerous economic challenges, including: (a) reducing its high domestic savings rate and correspondingly low domestic consumption; (b) facilitating higher-wage job opportunities for the aspiring middle class, including rural migrants and increasing numbers of college graduates; (c) reducing corruption and other economic crimes; and (d) containing environmental damage and social strife related to the economy's rapid transformation. Economic development has progressed further in coastal provinces than in the interior, and by 2014 more than 274 million migrant workers and their dependents had relocated to urban areas to find work. One consequence of population control policy is that China is now one of the most rapidly aging countries in the world. Deterioration in the environment - notably air pollution, soil erosion, and the steady fall of the water table, especially in the North - is another long-term problem. China continues to lose arable land because of erosion and economic development. The Chinese government is seeking to add energy production capacity from sources other than coal and oil, focusing on nuclear and alternative energy development. |
| Economy - overview: | Several factors are converging to slow China's growth, including debt overhang from its credit-fueled stimulus program, industrial overcapacity, inefficient allocation of capital by state-owned banks, and the slow recovery of China's trading partners. The government's 12th Five-Year Plan, adopted in March 2011 and reiterated at the Communist Party's "Third Plenum" meeting in November 2013, emphasizes continued economic reforms and the need to increase domestic consumption in order to make the economy less dependent in the future on fixed investments, exports, and heavy industry. However, China has made only marginal progress toward these rebalancing goals. The new government of President XI Jinping has signaled a greater willingness to undertake reforms that focus on China's long-term economic health, including giving the market a more decisive role in allocating resources. In 2014 China agreed to begin limiting carbon dioxide emissions by 2030. China also implemented several economic reforms in 2014, including passing legislation to allow local governments to issue bonds, opening several state-owned enterprises to further private investment, loosening the one-child policy, passing harsher pollution fines, and cutting administrative red tape. |
| GDP (purchasing power parity): | $17.62 trillion (2014 est.) |
| GDP (purchasing power parity): | $16.41 trillion (2013 est.) |
| GDP (purchasing power parity): | $15.23 trillion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $10.38 trillion |
| GDP (official exchange rate): | note: because China's exchange rate is determined by fiat, rather than by market forces, the official exchange rate measure of GDP is not an accurate measure of China's output; GDP at the official exchange rate substantially understates the actual level of China's output vis-a-vis the rest of the world; in China's situation, GDP at purchasing power parity provides the best measure for comparing output across countries (2014 est.) |
| GDP - real growth rate: | 7.4% (2014 est.) |
| GDP - real growth rate: | 7.8% (2013 est.) |
| GDP - real growth rate: | 7.8% (2012 est.) |
| GDP - per capita (PPP): | $12,900 (2014 est.) |
| GDP - per capita (PPP): | $12,000 (2013 est.) |
| GDP - per capita (PPP): | $11,100 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 48.9% of GDP (2014 est.) |
| Gross national saving: | 49.7% of GDP (2013 est.) |
| Gross national saving: | 50.3% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 36.8% |
| GDP - composition, by end use: | government consumption: 14% |
| GDP - composition, by end use: | investment in fixed capital: 46% |
| GDP - composition, by end use: | investment in inventories: 1.1% |
| GDP - composition, by end use: | exports of goods and services: 23.9% |
| GDP - composition, by end use: | imports of goods and services: -21.7% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.2% |
