| Economy | CHINA |
| --- | --- |
| Economy - overview: | Since the late 1970s, China has moved from a closed, centrally planned system to a more market-oriented one that plays a major global role. China has implemented reforms in a gradualist fashion, resulting in efficiency gains that have contributed to a more than tenfold increase in GDP since 1978. Reforms began with the phaseout of collectivized agriculture, and expanded to include the gradual liberalization of prices, fiscal decentralization, increased autonomy for state enterprises, growth of the private sector, development of stock markets and a modern banking system, and opening to foreign trade and investment. China continues to pursue an industrial policy, state-support of key sectors, and a restrictive investment regime. Measured on a purchasing power parity (PPP) basis that adjusts for price differences, China in 2016 stood as the largest economy in the world, surpassing the US in 2014 for the first time in modern history. China became the world's largest exporter in 2010, and the largest trading nation in 2013. Still, China's per capita income is below the world average. |
| Economy - overview: | After keeping its currency tightly linked to the US dollar for years, China in July 2005 moved to an exchange rate system that references a basket of currencies. From mid-2005 to late 2008, the renminbi appreciated more than 20% against the US dollar, but the exchange rate remained virtually pegged to the dollar from the onset of the global financial crisis until June 2010, when Beijing allowed resumption of a gradual liberalization. In 2015, the People’s Bank of China announced it would continue to carefully push for full convertibility of the renminbi (RMB) after the currency was accepted as part of the IMF’s special drawing rights basket. After engaging in one-way, large-scale intervention to resist appreciation of the RMB for a decade, China’s 2016 intervention in foreign exchange markets has sought to prevent a rapid RMB depreciation that would have negative consequences for the United States, China, and the global economy. |
| Economy - overview: | China’s economic growth has slowed since 2011. The Chinese Government faces numerous economic challenges including: (a) reducing its high domestic savings rate and correspondingly low domestic household consumption; (b) servicing its high corporate debt burdens to maintain financial stability; (c) facilitating higher-wage job opportunities for the aspiring middle class, including rural migrants and college graduates, while maintaining competitiveness; (d) dampening speculative investment in the real estate sector; (e) reducing industrial overcapacity; and (f) raising productivity growth rates through the more efficient allocation of capital. Economic development has progressed further in coastal provinces than in the interior, and by 2016 more than 169.3 million migrant workers and their dependents had relocated to urban areas to find work. One consequence of China’s population control policy known as the “one-child policy” - which was relaxed in 2016 to permit all families to have two children - is that China is now one of the most rapidly aging countries in the world. Deterioration in the environment - notably air pollution, soil erosion, and the steady fall of the water table, especially in the North - is another long-term problem. China continues to lose arable land because of erosion and urbanization. The Chinese government is seeking to add energy production capacity from sources other than coal and oil, focusing on natural gas, nuclear, and clean energy development. In 2016, China ratified the Paris Agreement, a multilateral agreement to combat climate change, and committed to peak its carbon dioxide emissions between 2025 and 2030. |
| Economy - overview: | The government's 13th Five-Year Plan, unveiled in March 2016, emphasizes the need to increase innovation and boost domestic consumption to make the economy less dependent on government investment, exports, and heavy industry. However, China has made only marginal progress toward these rebalancing goals. Under President XI Jinping, Beijing has signaled its understanding that China's long-term economic health depends on giving the market a more decisive role in allocating resources, but has moved slowly on market-oriented reforms because of potential negative consequences for stability and short-term economic growth. He has also increased state-control over key sectors and Party control over state-owned enterprises. Chinese leaders in 2010 pledged to double China’s GDP by 2020, and the 13th Five Year Plan includes annual economic growth targets of at least 6.5% through 2020 to achieve that goal. In recent years, China has renewed its support for state-owned enterprises in sectors considered important to "economic security," explicitly looking to foster globally competitive industries. Chinese leaders also have undermined some market-oriented reforms by reaffirming the “dominant” role of the state in the economy, a stance that threatens to discourage private initiative and make the economy less efficient over time. |
| GDP (purchasing power parity): | $21.29 trillion (2016 est.) |
| GDP (purchasing power parity): | $19.7 trillion (2015 est.) |
| GDP (purchasing power parity): | $18.23 trillion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $11.23 trillion (2016 est.) |
