| Economy | Taiwan |
| --- | --- |
| Economic overview: | Taiwan has a dynamic capitalist economy that is driven largely by industrial manufacturing, and especially exports of electronics, machinery, and petrochemicals. This heavy dependence on exports exposes the economy to fluctuations in global demand. Taiwan's diplomatic isolation, low birth rate, rapidly aging population, and increasing competition from China and other Asia Pacific markets are other major long-term challenges. |
| Economic overview: | Following the landmark Economic Cooperation Framework Agreement (ECFA) signed with China in June 2010, Taiwan in July 2013 signed a free trade deal with New Zealand - Taipeiâ€™s first-ever with a country with which it does not maintain diplomatic relations - and, in November of that year, inked a trade pact with Singapore. However, follow-on components of the ECFA, including a signed agreement on trade in services and negotiations on trade in goods and dispute resolution, have stalled. In early 2014, the government bowed to public demand and proposed a new law governing the oversight of cross-Strait agreements, before any additional deals with China are implemented; the legislature has yet to vote on such legislation, leaving the future of ECFA uncertain. President TSAI since taking office in May 2016 has promoted greater economic integration with South and Southeast Asia through the New Southbound Policy initiative and has also expressed interest in Taiwan joining the Trans-Pacific Partnership as well as bilateral trade deals with partners such as the US. These overtures have likely played a role in increasing Taiwanâ€™s total exports, which rose 11% during the first half of 2017, buoyed by strong demand for semiconductors. |
| Economic overview: | Taiwan's total fertility rate of just over one child per woman is among the lowest in the world, raising the prospect of future labor shortages, falling domestic demand, and declining tax revenues. Taiwan's population is aging quickly, with the number of people over 65 expected to account for nearly 20% of the island's total population by 2025. |
| Economic overview: | The island runs a trade surplus with many economies, including China and the US, and its foreign reserves are the world's fifth largest, behind those of China, Japan, Saudi Arabia, and Switzerland. In 2006, China overtook the US to become Taiwan's second-largest source of imports after Japan. China is also the island's number one destination for foreign direct investment. Taiwan since 2009 has gradually loosened rules governing Chinese investment and has also secured greater market access for its investors on the mainland. In August 2012, the Taiwan Central Bank signed a memorandum of understanding (MOU) on cross-Strait currency settlement with its Chinese counterpart. The MOU allows for the direct settlement of Chinese renminbi (RMB) and the New Taiwan dollar across the Strait, which has helped Taiwan develop into a local RMB hub. |
| Economic overview: | Closer economic links with the mainland bring opportunities for Taiwanâ€™s economy but also pose challenges as political differences remain unresolved and Chinaâ€™s economic growth is slowing. President TSAIâ€™s administration has made little progress on the domestic economic issues that loomed large when she was elected, including concerns about stagnant wages, high housing prices, youth unemployment, job security, and financial security in retirement. TSAI has made more progress on boosting trade with South and Southeast Asia, which may help insulate Taiwanâ€™s economy from a fall in mainland demand should Chinaâ€™s growth slow in 2018. |
| GDP real growth rate: | 2.71% (2019 est.) |
| GDP real growth rate: | 2.75% (2018 est.) |
| GDP real growth rate: | 3.31% (2017 est.) |
| Inflation rate (consumer prices): | 0.5% (2019 est.) |
| Inflation rate (consumer prices): | 1.3% (2018 est.) |
| Inflation rate (consumer prices): | 0.6% (2017 est.) |
| Credit ratings: | Fitch rating: AA- (2016) |
| Credit ratings: | Moody's rating: Aa3 (1994) |
| Credit ratings: | Standard & Poors rating: AA- (2002) |
| GDP (purchasing power parity) - real: | $1,143,277,000,000 (2019 est.) |
| GDP (purchasing power parity) - real: | $1,113,126,000,000 (2018 est.) |
| GDP (purchasing power parity) - real: | $1,083,384,000,000 (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $611.391 billion (2019 est.) |
| GDP - per capita (PPP): | $24,502 (2018 est.) |
| GDP - per capita (PPP): | $50,500 (2017 est.) |
| GDP - per capita (PPP): | $23,865 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 34.9% of GDP (2017 est.) |
| Gross national saving: | 35.5% of GDP (2016 est.) |
| Gross national saving: | 36.3% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.8% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 36% (2017 est.) |
