| Economy | Ireland |
| --- | --- |
| Economic overview: | Ireland is a small, modern, trade-dependent economy. It was among the initial group of 12 EU nations that began circulating the euro on 1 January 2002. GDP growth averaged 6% in 1995-2007, but economic activity dropped sharply during the world financial crisis and the subsequent collapse of its domestic property market and construction industry during 2008-11. Faced with sharply reduced revenues and a burgeoning budget deficit from efforts to stabilize its fragile banking sector, the Irish Government introduced the first in a series of draconian budgets in 2009. These measures were not sufficient to stabilize Irelandâ€™s public finances. In 2010, the budget deficit reached 32.4% of GDP - the world's largest deficit, as a percentage of GDP. In late 2010, the former COWEN government agreed to a $92 billion loan package from the EU and IMF to help Dublin recapitalize Irelandâ€™s banking sector and avoid defaulting on its sovereign debt. In March 2011, the KENNY government intensified austerity measures to meet the deficit targets under Ireland's EU-IMF bailout program. |
| Economic overview: | In late 2013, Ireland formally exited its EU-IMF bailout program, benefiting from its strict adherence to deficit-reduction targets and success in refinancing a large amount of banking-related debt. In 2014, the economy rapidly picked up. In late 2014, the government introduced a fiscally neutral budget, marking the end of the austerity program. Continued growth of tax receipts has allowed the government to lower some taxes and increase public spending while keeping to its deficit-reduction targets. In 2015, GDP growth exceeded 26%. The magnitude of the increase reflected one-off statistical revisions, multinational corporate restructurings in intellectual property, and the aircraft leasing sector, rather than real gains in the domestic economy, which was still growing. Growth moderated to around 4.1% in 2017, but the recovering economy assisted lowering the deficit to 0.6% of GDP. |
| Economic overview: | In the wake of the collapse of the construction sector and the downturn in consumer spending and business investment during the 2008-11 economic crisis, the export sector, dominated by foreign multinationals, has become an even more important component of Ireland's economy. Irelandâ€™s low corporation tax of 12.5% and a talented pool of high-tech laborers have been some of the key factors in encouraging business investment. Loose tax residency requirements made Ireland a common destination for international firms seeking to pay less tax or, in the case of U.S. multinationals, defer taxation owed to the United States. In 2014, amid growing international pressure, the Irish government announced it would phase in more stringent tax laws, effectively closing a commonly used loophole. The Irish economy continued to grow in 2017 and is forecast to do so through 2019, supported by a strong export sector, robust job growth, and low inflation, to the point that the Government must now address concerns about overheating and potential loss of competitiveness. The greatest risks to the economy are the UKâ€™s scheduled departure from the European Union ("Brexit") in March 2019, possible changes to international taxation policies that could affect Irelandâ€™s revenues, and global trade pressures. |
| GDP real growth rate: | 5.86% (2019 est.) |
| GDP real growth rate: | 9.42% (2018 est.) |
| GDP real growth rate: | 9.49% (2017 est.) |
| Inflation rate (consumer prices): | 0.9% (2019 est.) |
| Inflation rate (consumer prices): | 0.4% (2018 est.) |
| Inflation rate (consumer prices): | 0.3% (2017 est.) |
| Credit ratings: | Fitch rating: A+ (2017) |
| Credit ratings: | Moody's rating: A2 (2017) |
| Credit ratings: | Standard & Poors rating: AA- (2019) |
| GDP (purchasing power parity) - real: | $352.569 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $332.993 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $304.691 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $398.476 billion (2019 est.) |
| GDP - per capita (PPP): | $81,340 (2019 est.) |
| GDP - per capita (PPP): | $77,841 (2018 est.) |
| GDP - per capita (PPP): | $72,205 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 33.1% of GDP (2017 est.) |
| Gross national saving: | 33.7% of GDP (2016 est.) |
| Gross national saving: | 29% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.2% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 38.6% (2017 est.) |
| GDP - composition, by sector of origin: | services: 60.2% (2017 est.) |
| GDP - composition, by end use: | household consumption: 34% (2017 est.) |
| GDP - composition, by end use: | government consumption: 10.1% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 23.4% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 119.9% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -89.7% (2017 est.) |
| Ease of Doing Business Index scores: | 94.4 (2020) |
| Agriculture - products: | barley, potatoes, wheat; beef, dairy products |
| Industries: | pharmaceuticals, chemicals, computer hardware and software, food products, beverages and brewing; medical devices |
| Industrial production growth rate: | 7.8% (2017 est.) |
| Labor force: | 2.289 million (2020 est.) |
| Labor force - by occupation: | agriculture: 5% |
| Labor force - by occupation: | industry: 11% |
| Labor force - by occupation: | services: 84% (2015 est.) |
| Unemployment rate: | 4.98% (2019 est.) |
| Unemployment rate: | 5.78% (2018 est.) |
| Population below poverty line: | 8.2% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.9% |
| Household income or consumption by percentage share: | highest 10%: 27.2% (2000) |
| Budget: | revenues: 86.04 billion (2017 est.) |
| Budget: | expenditures: 87.19 billion (2017 est.) |
| Taxes and other revenues: | 26% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -0.3% (of GDP) (2017 est.) |
| Public debt: | 68.6% of GDP (2017 est.) |
| Public debt: | 73.6% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Current account balance: | -$44.954 billion (2019 est.) |
| Current account balance: | $24.154 billion (2018 est.) |
| Exports: | $541.789 billion (2019 est.) |
| Exports: | $489.89 billion (2018 est.) |
| Exports: | $440.693 billion (2017 est.) |
| Exports - partners: | US 27.1%, UK 13.4%, Belgium 11%, Germany 8.1%, Switzerland 5.1%, Netherlands 4.9%, France 4.3% (2017) |
| Exports - commodities: | machinery and equipment, computers, chemicals, medical devices, pharmaceuticals; foodstuffs, animal products |
| Imports: | $489.957 billion (2019 est.) |
| Imports: | $371.221 billion (2018 est.) |
| Imports: | $359.725 billion (2017 est.) |
