| Economy | Ireland |
| --- | --- |
| Economy - overview: | Ireland is a small, modern, trade-dependent economy. Ireland was among the initial group of 12 EU nations that began circulating the euro on 1 January 2002. GDP growth averaged 6% in 1995-2007, but economic activity has dropped sharply since the onset of the world financial crisis, with GDP falling by over 3% in 2008, nearly 7% in 2009, and less than 1% in 2010. Ireland entered into a recession in 2008 for the first time in more than a decade, with the subsequent collapse of its domestic property and construction markets. Property prices rose more rapidly in Ireland in the decade up to 2007 than in any other developed economy. Since their 2007 peak, average house prices have fallen 47%. In the wake of the collapse of the construction sector and the downturn in consumer spending and business investment, the export sector, dominated by foreign multinationals, has become a key component of Ireland's economy. Agriculture, once the most important sector, is now dwarfed by industry and services. In 2008 the former COWEN government moved to guarantee all bank deposits, recapitalize the banking system, and establish partly-public venture capital funds in response to the country's economic downturn. In 2009, in continued efforts to stabilize the banking sector, the Irish Government established the National Asset Management Agency (NAMA) to acquire problem commercial property and development loans from Irish banks. Faced with sharply reduced revenues and a burgeoning budget deficit, the Irish Government introduced the first in a series of draconian budgets in 2009. In addition to across-the-board cuts in spending, the 2009 budget included wage reductions for all public servants. These measures were not sufficient. In 2010, the budget deficit reached 32.4% of GDP - the world's largest deficit, as a percentage of GDP - because of additional government support for the banking sector. In late 2010, the former COWEN government agreed to a $112 billion loan package from the EU and IMF to help Dublin further increase the capitalization of its banking sector and avoid defaulting on its sovereign debt. Since entering office in March 2011, the new KENNY government has intensified austerity measures to try to meet the deficit targets under Ireland's EU-IMF program. Ireland achieved moderate growth of 1.4% in 2011 and cut the budget deficit to 9.1% of GDP. Although the recovery slowed in 2012 because of weaker EU demand for Irish exports, Dublin managed to trim the deficit to about 8.5% of GDP. |
| GDP (purchasing power parity): | $186.7 billion (2012 est.) |
| GDP (purchasing power parity): | $186.4 billion (2011 est.) |
| GDP (purchasing power parity): | $182.5 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $208 billion (2012 est.) |
| GDP - real growth rate: | 0.2% (2012 est.) |
| GDP - real growth rate: | 2.2% (2011 est.) |
| GDP - real growth rate: | -1.1% (2010 est.) |
| GDP - per capita (PPP): | $40,700 (2012 est.) |
| GDP - per capita (PPP): | $40,700 (2011 est.) |
| GDP - per capita (PPP): | $40,100 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 15.3% of GDP (2012 est.) |
| Gross national saving: | 12.5% of GDP (2011 est.) |
| Gross national saving: | 13% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 50.4% |
| GDP - composition, by end use: | government consumption: 15.3% |
| GDP - composition, by end use: | investment in fixed capital: 10.6% |
| GDP - composition, by end use: | investment in inventories: 0.3% |
| GDP - composition, by end use: | exports of goods and services: 107.8% |
| GDP - composition, by end use: | imports of goods and services: -84.6% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.6% |
| GDP - composition, by sector of origin: | industry: 27.9% |
| GDP - composition, by sector of origin: | services: 70.5% (2012 est.) |
| Agriculture - products: | barley, potatoes, wheat; beef, dairy products |
| Industries: | pharmaceuticals, chemicals, computer hardware and software, food products, beverages and brewing; medical devices |
| Industrial production growth rate: | -1.2% (2012 est.) |
| Labor force: | 2.154 million (2012 est.) |
| Labor force - by occupation: | agriculture: 5% |
| Labor force - by occupation: | industry: 19% |
| Labor force - by occupation: | services: 76% (2011 est.) |
| Unemployment rate: | 14.7% (2012 est.) |
| Unemployment rate: | 14.6% (2011 est.) |
| Population below poverty line: | 5.5% (2009) |
| Household income or consumption by percentage share: | lowest 10%: 2.9% |
| Household income or consumption by percentage share: | highest 10%: 27.2% (2000) |
| Distribution of family income - Gini index: | 33.9 (2010) |
| Distribution of family income - Gini index: | 35.9 (1987) |
| Budget: | revenues: $73 billion |
| Budget: | expenditures: $88.79 billion (2012 est.) |
| Taxes and other revenues: | 35.1% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -7.6% of GDP (2012 est.) |
| Public debt: | 117.6% of GDP (2012 est.) |
| Public debt: | 106.4% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
