| Economy | IRELAND |
| --- | --- |
| Economy - overview: | Ireland is a small, modern, trade-dependent economy. Ireland was among the initial group of 12 EU nations that began circulating the euro on 1 January 2002. GDP growth averaged 6% in 1995-2007, but economic activity dropped sharply during the world financial crisis and the subsequent collapse of its domestic property market and construction industry. Faced with sharply reduced revenues and a burgeoning budget deficit from efforts to stabilize its fragile banking sector, the Irish Government introduced the first in a series of draconian budgets in 2009. These measures were not sufficient to stabilize Ireland&rsquo;s public finances. In 2010, the budget deficit reached 32.4% of GDP - the world's largest deficit, as a percentage of GDP. In late 2010, the former COWEN government agreed to a $92 billion loan package from the EU and IMF to help Dublin recapitalize Ireland&rsquo;s banking sector and avoid defaulting on its sovereign debt. In March 2011, the KENNY government intensified austerity measures to meet the deficit targets under Ireland's EU-IMF bailout program. In late 2013, Ireland formally exited its EU-IMF bailout program, benefiting from its strict adherence to deficit-reduction targets and success in refinancing a large amount of banking-related debt. In 2014, the economy rapidly picked up and GDP  grew by 3.6%. The recovering economy assisted lowering the deficit to 4.2% of GDP. In late 2014, the government introduced a fiscally neutral budget, marking the end of the austerity program. In the wake of the collapse of the construction sector and the downturn in consumer spending and business investment, the export sector, dominated by foreign multinationals, has become an even more important component of Ireland's economy. Ireland&rsquo;s low corporation tax of 12.5% has been central to encouraging business investment. Loose tax residency requirements made Ireland a common destination for international firms seeking to avoid taxation. Amid growing international pressure the government announced it would phase in more stringent tax laws, effectively closing a loophole. |
| GDP (purchasing power parity): | $236.4 billion (2014 est.) |
| GDP (purchasing power parity): | $224.7 billion (2013 est.) |
| GDP (purchasing power parity): | $221.5 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $250.8 billion (2014 est.) |
| GDP - real growth rate: | 5.2% (2014 est.) |
| GDP - real growth rate: | 1.4% (2013 est.) |
| GDP - real growth rate: | 0.2% (2012 est.) |
| GDP - per capita (PPP): | $51,300 (2014 est.) |
| GDP - per capita (PPP): | $48,700 (2013 est.) |
| GDP - per capita (PPP): | $48,100 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 23.1% of GDP (2014 est.) |
| Gross national saving: | 19.5% of GDP (2013 est.) |
| Gross national saving: | 17.1% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 47% |
| GDP - composition, by end use: | government consumption: 14.4% |
| GDP - composition, by end use: | investment in fixed capital: 19.3% |
| GDP - composition, by end use: | investment in inventories: 1% |
| GDP - composition, by end use: | exports of goods and services: 113.7% |
| GDP - composition, by end use: | imports of goods and services: -95.4% (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.6% |
| GDP - composition, by sector of origin: | industry: 25.6% |
| GDP - composition, by sector of origin: | services: 72.8% (2014 est.) |
| Agriculture - products: | barley, potatoes, wheat; beef, dairy products |
| Industries: | pharmaceuticals, chemicals, computer hardware and software, food products, beverages and brewing; medical devices |
| Industrial production growth rate: | 6.8% (2014 est.) |
| Labor force: | 2.157 million (2014 est.) |
| Labor force - by occupation: | agriculture: 5% |
| Labor force - by occupation: | industry: 19% |
| Labor force - by occupation: | services: 76% (2011 est.) |
| Unemployment rate: | 11.3% (2014 est.) |
| Unemployment rate: | 13.1% (2013 est.) |
| Population below poverty line: | 5.5% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.9% |
| Household income or consumption by percentage share: | highest 10%: 27.2% (2000) |
| Distribution of family income - Gini index: | 33.9 (2010) |
| Distribution of family income - Gini index: | 35.9 (1987) |
| Budget: | revenues: $85.97 billion |
| Budget: | expenditures: $96.11 billion (2014 est.) |
| Taxes and other revenues: | 34.3% of GDP (2014 est.) |
