| Economy | COSTA RICA |
| --- | --- |
| Economy - overview: | Since 2010, Costa Rica has enjoyed strong and stable economic growth - 4.3% in 2016. Exports of bananas, coffee, sugar, and beef are the backbone of its commodity exports. Various industrial and processed agricultural products have broadened exports in recent years, as have high value-added goods, including medical devices. Costa Rica's impressive biodiversity also makes it a key destination for ecotourism. |
| Economy - overview: | Foreign investors remain attracted by the country's political stability and relatively high education levels, as well as the incentives offered in the free-trade zones; Costa Rica has attracted one of the highest levels of foreign direct investment per capita in Latin America. The US-Central American-Dominican Republic Free Trade Agreement (CAFTA-DR), which became effective for Costa Rica in 2009, helped increase foreign direct investment in key sectors of the economy, including insurance and telecommunication. However, poor infrastructure, high energy costs, a complex bureaucracy, weak investor protection, and uncertainty of contract enforcement impede greater investment. |
| Economy - overview: | Costa Rica’s economy also faces challenges due to a rising fiscal deficit, rising public debt, and relatively low levels of domestic revenue. Poverty has remained around 20-25% for nearly 20 years, and the government’s strong social safety net has eroded due to increased constraints on its expenditures. Costa Rica’s credit rating was downgraded from stable to negative in 2015, upping pressure on lending rates - which could hurt small business, on the budget deficit - which could hurt infrastructure development, and on the rate of return on investment - which could soften foreign direct investment (FDI). Unlike the rest of Central America, Costa Rica is not highly dependent on remittances - which represented just 0.7% of GDP in 2015, but instead relies on FDI - which accounted for 4% of GDP. |
| GDP (purchasing power parity): | $80.68 billion (2016 est.) |
| GDP (purchasing power parity): | $76.36 billion (2015 est.) |
| GDP (purchasing power parity): | $72.13 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $58.11 billion (2016 est.) |
| GDP - real growth rate: | 4.3% (2016 est.) |
| GDP - real growth rate: | 4.7% (2015 est.) |
| GDP - real growth rate: | 3.7% (2014 est.) |
| GDP - per capita (PPP): | $16,400 (2016 est.) |
| GDP - per capita (PPP): | $15,900 (2015 est.) |
| GDP - per capita (PPP): | $15,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 16.5% of GDP (2016 est.) |
| Gross national saving: | 15.9% of GDP (2015 est.) |
| Gross national saving: | 13.9% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 63.2% |
| GDP - composition, by end use: | government consumption: 17.3% |
| GDP - composition, by end use: | investment in fixed capital: 18.4% |
| GDP - composition, by end use: | investment in inventories: 1.3% |
| GDP - composition, by end use: | exports of goods and services: 31.6% |
| GDP - composition, by end use: | imports of goods and services: -31.9% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.5% |
| GDP - composition, by sector of origin: | industry: 21.5% |
| GDP - composition, by sector of origin: | services: 73% (2016 est.) |
| Agriculture - products: | bananas, pineapples, coffee, melons, ornamental plants, sugar, corn, rice, beans, potatoes; beef, poultry, dairy; timber |
| Industries: | medical equipment, food processing, textiles and clothing, construction materials, fertilizer, plastic products |
| Industrial production growth rate: | 2.4% (2016 est.) |
| Labor force: | 2.206 million |
| Labor force: | note: official estimate; excludes Nicaraguans living in Costa Rica (2016 est.) |
| Labor force - by occupation: | agriculture: 14% |
| Labor force - by occupation: | industry: 22% |
| Labor force - by occupation: | services: 64% (2006 est.) |
| Unemployment rate: | 9.3% (2016 est.) |
| Unemployment rate: | 9.6% (2015 est.) |
| Population below poverty line: | 21.7% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.5% |
| Household income or consumption by percentage share: | highest 10%: 36.9% (2014 est.) |
| Distribution of family income - Gini index: | 48.5 (2014) |
| Distribution of family income - Gini index: | 49.2 (2013) |
| Budget: | revenues: $8.38 billion |
| Budget: | expenditures: $11.37 billion (2016 est.) |
| Taxes and other revenues: | 14.4% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -5.2% of GDP (2016 est.) |
| Public debt: | 62.7% of GDP (2016 est.) |
| Public debt: | 57.8% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0% (2016 est.) |
| Inflation rate (consumer prices): | 0.8% (2015 est.) |
| Central bank discount rate: | 3.5% (31 December 2016 est.) |
| Central bank discount rate: | 21.5% (31 December 2010) |
| Commercial bank prime lending rate: | 11.64% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 14.24% (31 December 2015 est.) |
| Stock of narrow money: | $5.536 billion (31 December 2016 est.) |
| Stock of narrow money: | $5.273 billion (31 December 2015 est.) |
| Stock of broad money: | $21.85 billion (31 December 2016 est.) |
| Stock of broad money: | $20.7 billion (31 December 2015 est.) |
| Stock of domestic credit: | $33.43 billion (31 December 2016 est.) |
| Stock of domestic credit: | $30.53 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $2.015 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.443 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.445 billion (31 December 2010 est.) |
| Current account balance: | $-1.88 billion (2016 est.) |
| Current account balance: | $-2.384 billion (2015 est.) |
| Exports: | $10.15 billion (2016 est.) |
| Exports: | $9.445 billion (2015 est.) |
| Exports - commodities: | bananas, pineapples, coffee, melons, ornamental plants, sugar; beef; seafood; electronic components, medical equipment |
| Exports - partners: | US 41%, Netherlands 5.8%, Panama 5.7%, Belgium 5.4%, Nicaragua 5.2%, Guatemala 5.2% (2016) |
| Imports: | $14.66 billion (2016 est.) |
| Imports: | $14.42 billion (2015 est.) |
| Imports - commodities: | raw materials, consumer goods, capital equipment, petroleum, construction materials |
| Imports - partners: | US 37.1%, China 13.5%, Mexico 6.9% (2016) |
| Reserves of foreign exchange and gold: | $7.574 billion (31 December 2016 est.) |
