| Economy | Colombia |
| --- | --- |
| Economy - overview: | Colombia's consistently sound economic policies and aggressive promotion of free trade agreements in recent years have bolstered its ability to weather external shocks. Real GDP has grown more than 4% per year for the past three years, continuing almost a decade of strong economic performance. All three major ratings agencies have upgraded Colombia's government debt to investment grade. Nevertheless, Colombia depends heavily on energy and mining exports, making it vulnerable to a drop in commodity prices. Colombia is the world's fourth largest coal exporter and Latin Americaâ€™s fourth largest oil producer. Economic development is stymied by inadequate infrastructure and an uncertain security situation. Moreover, the unemployment rate of 9.7% in 2013 is still one of Latin America's highest. The SANTOS Administration's foreign policy has focused on bolstering Colombia's commercial ties and boosting investment at home. Colombia has signed or is negotiating Free Trade Agreements (FTA) with more than a dozen countries; the US-Colombia FTA went into force on May 2012. Colombia is also a founding member of the Pacific Alliance - a regional grouping formed in 2012 by Chile, Colombia, Mexico, and Peru to promote regional trade and economic integration. In 2013, Colombia began its ascension process to the OECD. The annual level of foreign direct investment - notably in the oil and gas sectors - reached a record high of $16.8 billion in 2013, an increase of 7% over 2012. Inequality, poverty, and narcotrafficking remain significant challenges, and Colombia's infrastructure requires major improvements to sustain economic expansion. |
| GDP (purchasing power parity): | $526.5 billion (2013 est.) |
| GDP (purchasing power parity): | $505.2 billion (2012 est.) |
| GDP (purchasing power parity): | $484.9 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $369.2 billion (2013 est.) |
| GDP - real growth rate: | 4.2% (2013 est.) |
| GDP - real growth rate: | 4.2% (2012 est.) |
| GDP - real growth rate: | 6.6% (2011 est.) |
| GDP - per capita (PPP): | $11,100 (2013 est.) |
| GDP - per capita (PPP): | $10,800 (2012 est.) |
| GDP - per capita (PPP): | $10,500 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 21.9% of GDP (2013 est.) |
| Gross national saving: | 22.8% of GDP (2012 est.) |
| Gross national saving: | 20.3% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 61.7% |
| GDP - composition, by end use: | government consumption: 16.7% |
| GDP - composition, by end use: | investment in fixed capital: 23.8% |
| GDP - composition, by end use: | investment in inventories: -0.3% |
| GDP - composition, by end use: | exports of goods and services: 17.3% |
| GDP - composition, by end use: | imports of goods and services: -19.3% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.6% |
| GDP - composition, by sector of origin: | industry: 37.8% |
| GDP - composition, by sector of origin: | services: 55.6% (2013 est.) |
| Agriculture - products: | coffee, cut flowers, bananas, rice, tobacco, corn, sugarcane, cocoa beans, oilseed, vegetables; shrimp; forest products |
| Industries: | textiles, food processing, oil, clothing and footwear, beverages, chemicals, cement; gold, coal, emeralds |
| Industrial production growth rate: | 2.5% (2013 est.) |
| Labor force: | 23.75 million (2013 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 21% |
| Labor force - by occupation: | services: 62% (2011 est.) |
| Unemployment rate: | 9.7% (2013 est.) |
| Unemployment rate: | 10.4% (2012 est.) |
| Population below poverty line: | 32.7% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 0.9% |
| Household income or consumption by percentage share: | highest 10%: 44.4% (2010 est.) |
| Distribution of family income - Gini index: | 55.9 (2010) |
| Distribution of family income - Gini index: | 56.9 (1996) |
| Budget: | revenues: $107.4 billion |
| Budget: | expenditures: $106 billion (2013 est.) |
| Taxes and other revenues: | 29.1% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | 0.4% of GDP (2012 est.) |
| Public debt: | 39.6% of GDP (2013 est.) |
| Public debt: | 40.5% of GDP (2012 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.2% (2013 est.) |
| Inflation rate (consumer prices): | 3.4% (2011 est.) |
| Central bank discount rate: | 4.75% (31 December 2011) |
| Central bank discount rate: | 5% (31 December 2010) |
| Commercial bank prime lending rate: | 11% (31 December 2013 est.) |
| Commercial bank prime lending rate: | $NA (31 December 2012 est.) |
| Stock of narrow money: | $42.28 billion (31 December 2013 est.) |
| Stock of narrow money: | $41.7 billion (31 December 2012 est.) |
| Stock of broad money: | $163.2 billion (31 December 2013 est.) |
| Stock of broad money: | $153.1 billion (31 December 2012 est.) |
| Stock of domestic credit: | $192.6 billion (31 December 2013 est.) |
| Stock of domestic credit: | $180.7 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $262.1 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $NA (31 December 2011) |
| Market value of publicly traded shares: | $208.5 billion (31 December 2010 est.) |
| Current account balance: | -$11.02 billion (2013 est.) |
| Current account balance: | -$12.17 billion (2012 est.) |
| Exports: | $58.7 billion (2013 est.) |
| Exports: | $59.85 billion (2012 est.) |
| Exports - commodities: | petroleum, coal, emeralds, coffee, nickel, cut flowers, bananas, apparel |
| Exports - partners: | US 36.6%, China 5.5%, Spain 4.8%, Panama 4.7%, Venezuela 4.4%, Netherlands 4.1% (2012) |
| Imports: | $53.5 billion (2013 est.) |
| Imports: | $54.64 billion (2012 est.) |
| Imports - commodities: | industrial equipment, transportation equipment, consumer goods, chemicals, paper products, fuels, electricity |
| Imports - partners: | US 24.2%, China 16.3%, Mexico 10.9%, Brazil 4.8% (2012) |
| Reserves of foreign exchange and gold: | $43.74 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $37 billion (31 December 2012 est.) |
| Debt - external: | $85.83 billion (31 December 2013 est.) |
| Debt - external: | $80.72 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $128.1 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $111.7 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $33.7 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $31.65 billion (31 December 2012 est.) |
| Exchange rates: | Colombian pesos (COP) per US dollar - |
| Exchange rates: | 1,865.8 (2013 est.) |
| Exchange rates: | 1,798 (2012 est.) |
