| Economy | COLOMBIA |
| --- | --- |
| Economy - overview: | Colombia’s economy benefits from free trade and sound fiscal policies but it has slowed in 2016 because of falling global oil prices, a strong dollar, and moderate inflation. Colombia heavily depends on energy and mining exports, making it vulnerable to a drop in commodity prices. Colombia is the world's fourth largest coal exporter, the world’s second largest coffee and cut flowers exporter, and Latin America’s fourth largest oil producer. Economic development is hampered by inadequate infrastructure, poverty, narcotrafficking, and an uncertain security situation. |
| Economy - overview: | Although real GDP growth averaged 4.7% for the past decade, growth fell to 2.0% in 2016. The El Nino weather pattern in early 2016 and a 40-day truckers strike caused food and energy prices to rise, with inflation spiking to a high of nearly 9% in July 2016. Declining oil prices have reduced government revenues. Colombia received about $1 billion in oil revenue in 2016, compared with $6 billion in 2014; oil accounts for 20% of government revenues. President Juan Manuel SANTOS signed into law a tax reform bill in December 2016 aimed at offsetting lost revenue from the drop in oil prices by decreasing corporate taxes to incentivize investment and by increasing the value added tax. The enactment of the tax reform bill was key to maintaining Colombia’s BBB investment-grade credit rating. Foreign investment has been hampered by Colombia’s struggle to address its fiscal problems. As of September 2016, FDI in Colombia had risen to $10.2 billion, up from $9.3 billion over the same period in 2015. |
| Economy - overview: | Colombia has signed or is negotiating Free Trade Agreements (FTA) with more than a dozen countries; the US-Colombia FTA went into force in May 2012. The US and Colombia have benefitted from the FTA, but Colombia’s ability to take full advantage of its enhanced access to American markets continues to be constrained by lack of export diversification. Non-tariff measures remain a point of contention for bilateral trade relations. The Colombian government acted in 2016 to address several bilateral trade irritants with the US, including truck scrappage, distilled spirits, pharmaceuticals, ethanol imports, and labor rights. US and industry stakeholders are still evaluating the implementation of recent reforms. Colombia is a founding member of the Pacific Alliance - a regional trade block formed in 2012 by Chile, Colombia, Mexico, and Peru to promote regional trade and economic integration. In 2013, Colombia began its accession process to the Organization for Economic Cooperation and Development. |
| GDP (purchasing power parity): | $688.6 billion (2016 est.) |
| GDP (purchasing power parity): | $666.9 billion (2015 est.) |
| GDP (purchasing power parity): | $640.2 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $282.4 billion (2016 est.) |
| GDP - real growth rate: | 2% (2016 est.) |
| GDP - real growth rate: | 3.1% (2015 est.) |
| GDP - real growth rate: | 4.4% (2014 est.) |
| GDP - per capita (PPP): | $14,100 (2016 est.) |
| GDP - per capita (PPP): | $14,000 (2015 est.) |
| GDP - per capita (PPP): | $13,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 21% of GDP (2016 est.) |
| Gross national saving: | 20.3% of GDP (2015 est.) |
| Gross national saving: | 21.1% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 62.8% |
