| Economy | BHUTAN |
| --- | --- |
| Economy - overview: | Bhutan's economy, small and less developed, is based largely on hydropower, agriculture, and forestry, which provide the main livelihood for more than half of the population. Because rugged mountains dominate the terrain and make the building of roads and other infrastructure difficult and expensive, industrial production is primarily of the cottage industry type. The economy is closely aligned with India's through strong trade and monetary links and is dependent on India for financial assistance and migrant laborers for development projects, especially for road construction. Bhutan inked a pact in December 2014 to expand duty-free trade with Bangladesh, the only trade partner with which Bhutan enjoys a surplus. |
| Economy - overview: | Multilateral development organizations administer most educational, social, and environment programs, and take into account the government's desire to protect the country's environment and cultural traditions. For example, the government, in its cautious expansion of the tourist sector, encourages visits by upscale, environmentally conscientious tourists. Complicated controls and uncertain policies in areas such as industrial licensing, trade, labor, and finance continue to hamper foreign investment. |
| Economy - overview: | Bhutan’s largest export - hydropower to India - could spur sustainable growth in the coming years if Bhutan resolves chronic delays in construction. Bhutan currently taps only 5% of its 30,000-megawatt hydropower potential and is behind schedule in building 12 new hydropower dams with a combined capacity of 10,000 megawatts by 2020 in accordance with a deal signed in 2008 with India. The high volume of imported materials to build hydropower plants has expanded Bhutan's trade and current account deficits. However, Bhutan and India in April 2014 agreed to begin four additional hydropower projects, which would generate 2,120 megawatts in total. Bhutan also is exploring energy exports to Bangladesh. |
| GDP (purchasing power parity): | $6.385 billion (2015 est.) |
| GDP (purchasing power parity): | $5.93 billion (2014 est.) |
| GDP (purchasing power parity): | $5.573 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $2.214 billion (2015 est.) |
| GDP - real growth rate: | 7.7% (2015 est.) |
| GDP - real growth rate: | 6.4% (2014 est.) |
| GDP - real growth rate: | 4.9% (2013 est.) |
| GDP - per capita (PPP): | $8,200 (2015 est.) |
| GDP - per capita (PPP): | $7,700 (2014 est.) |
| GDP - per capita (PPP): | $7,400 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 26.9% of GDP (2015 est.) |
| Gross national saving: | 33.1% of GDP (2014 est.) |
| Gross national saving: | 19.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 47% |
| GDP - composition, by end use: | government consumption: 17.7% |
| GDP - composition, by end use: | investment in fixed capital: 56.8% |
| GDP - composition, by end use: | investment in inventories: 5.5% |
| GDP - composition, by end use: | exports of goods and services: 44.5% |
| GDP - composition, by end use: | imports of goods and services: -71.5% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 17.1% |
| GDP - composition, by sector of origin: | industry: 42.1% |
| GDP - composition, by sector of origin: | services: 40.9% (2015 est.) |
| Agriculture - products: | rice, corn, root crops, citrus; dairy products, eggs |
