| Economy | BHUTAN |
| Industries: | cement, wood products, processed fruits, alcoholic beverages, calcium carbide, tourism |
| Industrial production growth rate: | 4.6% (2015 est.) |
| Labor force: | 348,800 |
| Labor force: | note: major shortage of skilled labor (2015 est.) |
| Labor force - by occupation: | agriculture: 57% |
| Labor force - by occupation: | industry: 21% |
| Labor force - by occupation: | services: 22% (2014 est.) |
| Unemployment rate: | 2.6% (2014 est.) |
| Unemployment rate: | 2.9% (2013 est.) |
| Population below poverty line: | 12% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 30.6% (2012) |
| Distribution of family income - Gini index: | 38.7 (2012) |
| Distribution of family income - Gini index: | 38.1 (2007) |
| Budget: | revenues: $608 million |
| Budget: | expenditures: $692.7 million |
| Budget: | note: the government of India finances nearly one-quarter of Bhutan's budget expenditures (2015 est.) |
| Taxes and other revenues: | 27.5% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.8% of GDP (2015 est.) |
| Public debt: | 27.3% of GDP (2015 est.) |
| Public debt: | 30.4% of GDP (2014 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 4.5% (2015 est.) |
| Inflation rate (consumer prices): | 8.2% (2014 est.) |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 13.75% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 14.15% (31 December 2014 est.) |
| Stock of narrow money: | $669.9 million (31 December 2015 est.) |
| Stock of narrow money: | $683.6 million (31 December 2014 est.) |
| Stock of broad money: | $1.305 billion (31 December 2015 est.) |
| Stock of broad money: | $1.184 billion (31 December 2014 est.) |
| Stock of domestic credit: | $1.031 billion (31 December 2015 est.) |
| Stock of domestic credit: | $893.7 million (31 December 2014 est.) |
| Market value of publicly traded shares: | $320 million (31 December 2013) |
| Market value of publicly traded shares: | $283.4 million (31 December 2012) |
| Current account balance: | -$591 million (2015 est.) |
| Current account balance: | -$459 million (2014 est.) |
| Exports: | $580.3 million (2015 est.) |
| Exports: | $534.7 million (2014 est.) |
| Exports - commodities: | electricity (to India), ferrosilicon, cement, calcium carbide, copper wire, manganese, vegetable oil |
| Exports - partners: | India 83.8%, Hong Kong 10.8% (2013 est.) |
| Imports: | $997 million (2015 est.) |
| Imports: | $928.8 million (2014 est.) |
| Imports - commodities: | fuel and lubricants, passenger cars, machinery and parts, fabrics, rice |
| Imports - partners: | India 72.3%, South Korea 6% (2013 est.) |
| Debt - external: | $1.911 billion (31 December 2015 est.) |
| Debt - external: | $1.841 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $238 million (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $204.4 million (31 December 2014 est.) |
| Exchange rates: | ngultrum (BTN) per US dollar - |
| Exchange rates: | 64.152 (2015 est.) |
| Exchange rates: | 61.03 (2014 est.) |
| Exchange rates: | 61.03 (2013 est.) |
| Exchange rates: | 53.44 (2012 est.) |
| Exchange rates: | 46.67 (2011 est.) |
