| Economy | BHUTAN |
| --- | --- |
| Economy - overview: | Bhutan's economy, small and less developed, is based largely on hydropower, agriculture, and forestry, which provide the main livelihood for more than half of the population. Because rugged mountains dominate the terrain and make the building of roads and other infrastructure difficult and expensive, industrial production is primarily of the cottage industry type. The economy is closely aligned with India's through strong trade and monetary links and is dependent on India for financial assistance and migrant laborers for development projects, especially for road construction. Multilateral development organizations administer most educational, social, and environment programs, and take into account the government's desire to protect the country's environment and cultural traditions. For example, the government, in its cautious expansion of the tourist sector, encourages visits by upscale, environmentally conscientious tourists. Complicated controls and uncertain policies in areas such as industrial licensing, trade, labor, and finance continue to hamper foreign investment. Bhutan&rsquo;s largest export - hydropower to India - could spur sustainable growth in the coming years if Bhutan resolves chronic delays in construction. Bhutan currently taps only 5% of its 30,000-megawatt hydropower potential and is behind schedule in building 12 new hydropower dams with a combined capacity of 10,000 megawatts by 2020 in accordance with a deal signed in 2008 with India.  The high volume of imported materials to build hydropower plants has expanded Bhutan's trade and current account deficits. However, Bhutan and India in April 2014 agreed to begin four additional hydropower projects, which would generate 2,120 megawatts in total. A declining GDP growth rate in each of the past three years in the absence of new hydropower facilities has constrained Bhutan&rsquo;s ability to institute economic reforms. Bhutan inked a pact in December 2014 to expand duty-free trade with Bangladesh, the only trade partner with which Bhutan enjoys a surplus. |
| GDP (purchasing power parity): | $5.855 billion (2014 est.) |
| GDP (purchasing power parity): | $5.505 billion (2013 est.) |
| GDP (purchasing power parity): | $5.245 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $2.092 billion (2014 est.) |
| GDP - real growth rate: | 6.4% (2014 est.) |
| GDP - real growth rate: | 5% (2013 est.) |
| GDP - real growth rate: | 6.5% (2012 est.) |
| GDP - per capita (PPP): | $7,600 (2014 est.) |
| GDP - per capita (PPP): | $7,200 (2013 est.) |
| GDP - per capita (PPP): | $6,800 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 22.1% of GDP (2014 est.) |
| Gross national saving: | 28.5% of GDP (2013 est.) |
| Gross national saving: | 26.7% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 39% |
| GDP - composition, by end use: | government consumption: 20.6% |
| GDP - composition, by end use: | investment in fixed capital: 71.4% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 36.4% |
| GDP - composition, by end use: | imports of goods and services: -67.5% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 14.4% |
| GDP - composition, by sector of origin: | industry: 41.6% |
| GDP - composition, by sector of origin: | services: 44% (2014 est.) |
| Agriculture - products: | rice, corn, root crops, citrus; dairy products, eggs |
| Industries: | cement, wood products, processed fruits, alcoholic beverages, calcium carbide, tourism |
| Industrial production growth rate: | 8% (2014 est.) |
| Labor force: | 345,800 |
| Labor force: | note: major shortage of skilled labor (2013 est.) |
| Labor force - by occupation: | agriculture: 56% |
| Labor force - by occupation: | industry: 22% |
| Labor force - by occupation: | services: 22% (2013 est.) |
| Unemployment rate: | 3.2% (2014 est.) |
| Unemployment rate: | 2.1% (2012 est.) |
| Population below poverty line: | 12% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 37.6% (2003) |
| Distribution of family income - Gini index: | 38.7 (2012) |
| Distribution of family income - Gini index: | 38.1 (2007) |
| Budget: | revenues: $407.1 million |
| Budget: | expenditures: $614 million |
| Budget: | note: the government of India finances nearly one-quarter of Bhutan's budget expenditures (2014 est.) |
| Taxes and other revenues: | 19.5% of GDP (2014 est.) |
