| Economy | Croatia |
| --- | --- |
| Economy - overview: | Though still one of the wealthiest of the former Yugoslav republics, Croatiaâ€™s economy suffered badly during the 1991-95 war. The country's output during that time collapsed, and Croatia missed the early waves of investment in Central and Eastern Europe that followed the fall of the Berlin Wall. Between 2000 and 2007, however, Croatia's economic fortunes began to improve with moderate but steady GDP growth between 4% and 6%, led by a rebound in tourism and credit-driven consumer spending. Inflation over the same period remained tame and the currency, the kuna, stable. |
| Economy - overview: | Croatia experienced an abrupt slowdown in the economy in 2008; economic growth was stagnant or negative in each year between 2009 and 2014, but has picked up since the third quarter of 2014, ending 2017 with an average of 2.8% growth. Challenges remain including uneven regional development, a difficult investment climate, an inefficient judiciary, and loss of educated young professionals seeking higher salaries elsewhere in the EU. In 2016, Croatia revised its tax code to stimulate growth from domestic consumption and foreign investment. Income tax reduction began in 2017, and in 2018 various business costs were removed from income tax calculations. At the start of 2018, the government announced its economic reform plan, slated for implementation in 2019. |
| Economy - overview: | Tourism is one of the main pillars of the Croatian economy, comprising 19.6% of Croatiaâ€™s GDP. Croatia is working to become a regional energy hub, and is undertaking plans to open a floating liquefied natural gas (LNG) regasification terminal by the end of 2019 or early in 2020 to import LNG for re-distribution in southeast Europe. |
| Economy - overview: | Croatia joined the EU on July 1, 2013, following a decade-long accession process. Croatia has developed a plan for Eurozone accession, and the government projects Croatia will adopt the Euro by 2024. In 2017, the Croatian government decreased public debt to 78% of GDP, from an all-time high of 84% in 2014, and realized a 0.8% budget surplus - the first surplus since independence in 1991. The government has also sought to accelerate privatization of non-strategic assets with mixed success. Croatiaâ€™s economic recovery is still somewhat fragile; Croatiaâ€™s largest private company narrowly avoided collapse in 2017, thanks to a capital infusion from an American investor. Restructuring is ongoing, and projected to finish by mid-July 2018. |
| GDP (purchasing power parity): | $102.1 billion (2017 est.) |
| GDP (purchasing power parity): | $99.37 billion (2016 est.) |
| GDP (purchasing power parity): | $95.97 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $54.76 billion (2017 est.) |
| GDP - real growth rate: | 2.8% (2017 est.) |
| GDP - real growth rate: | 3.5% (2016 est.) |
| GDP - real growth rate: | 2.4% (2015 est.) |
| GDP - per capita (PPP): | $24,700 (2017 est.) |
| GDP - per capita (PPP): | $23,800 (2016 est.) |
| GDP - per capita (PPP): | $22,800 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 24.7% of GDP (2017 est.) |
| Gross national saving: | 23.4% of GDP (2016 est.) |
| Gross national saving: | 24.5% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 57.3% (2017 est.) |
| GDP - composition, by end use: | government consumption: 19.5% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 20% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 51.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -48.8% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 26.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 70.1% (2017 est.) |
