| Economy | Croatia |
| --- | --- |
| Economic overview: | Though still one of the wealthiest of the former Yugoslav republics, Croatiaâ€™s economy suffered badly during the 1991-95 war. The country's output during that time collapsed, and Croatia missed the early waves of investment in Central and Eastern Europe that followed the fall of the Berlin Wall. Between 2000 and 2007, however, Croatia's economic fortunes began to improve with moderate but steady GDP growth between 4% and 6%, led by a rebound in tourism and credit-driven consumer spending. Inflation over the same period remained tame and the currency, the kuna, stable. |
| Economic overview: | Croatia experienced an abrupt slowdown in the economy in 2008; economic growth was stagnant or negative in each year between 2009 and 2014, but has picked up since the third quarter of 2014, ending 2017 with an average of 2.8% growth. Challenges remain including uneven regional development, a difficult investment climate, an inefficient judiciary, and loss of educated young professionals seeking higher salaries elsewhere in the EU. In 2016, Croatia revised its tax code to stimulate growth from domestic consumption and foreign investment. Income tax reduction began in 2017, and in 2018 various business costs were removed from income tax calculations. At the start of 2018, the government announced its economic reform plan, slated for implementation in 2019. |
| Economic overview: | Tourism is one of the main pillars of the Croatian economy, comprising 19.6% of Croatiaâ€™s GDP. Croatia is working to become a regional energy hub, and is undertaking plans to open a floating liquefied natural gas (LNG) regasification terminal by the end of 2019 or early in 2020 to import LNG for re-distribution in southeast Europe. |
| Economic overview: | Croatia joined the EU on July 1, 2013, following a decade-long accession process. Croatia has developed a plan for Eurozone accession, and the government projects Croatia will adopt the Euro by 2024. In 2017, the Croatian government decreased public debt to 78% of GDP, from an all-time high of 84% in 2014, and realized a 0.8% budget surplus - the first surplus since independence in 1991. The government has also sought to accelerate privatization of non-strategic assets with mixed success. Croatiaâ€™s economic recovery is still somewhat fragile; Croatiaâ€™s largest private company narrowly avoided collapse in 2017, thanks to a capital infusion from an American investor. Restructuring is ongoing, and projected to finish by mid-July 2018. |
| GDP real growth rate: | 2.94% (2019 est.) |
| GDP real growth rate: | 2.7% (2018 est.) |
| GDP real growth rate: | 3.14% (2017 est.) |
| Inflation rate (consumer prices): | 0.7% (2019 est.) |
| Inflation rate (consumer prices): | 1.4% (2018 est.) |
| Inflation rate (consumer prices): | 1.1% (2017 est.) |
| Credit ratings: | Fitch rating: BBB- (2019) |
| Credit ratings: | Moody's rating: Ba1 (2020) |
| Credit ratings: | Standard & Poors rating: BBB- (2019) |
| GDP (purchasing power parity) - real: | $99.339 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $96.578 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $93.664 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $60.687 billion (2019 est.) |
| GDP - per capita (PPP): | $16,923 (2019 est.) |
| GDP - per capita (PPP): | $16,349 (2018 est.) |
| GDP - per capita (PPP): | $15,756 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 24.7% of GDP (2017 est.) |
| Gross national saving: | 23.4% of GDP (2016 est.) |
| Gross national saving: | 24.5% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 26.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 70.1% (2017 est.) |
| GDP - composition, by end use: | household consumption: 57.3% (2017 est.) |
| GDP - composition, by end use: | government consumption: 19.5% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 20% (2017 est.) |
