| Economy | Croatia |
| --- | --- |
| Economy - overview: | Though still one of the wealthiest of the former Yugoslav republics, Croatia's economy suffered badly during the 1991-95 war. The country's output during that time collapsed and Croatia missed the early waves of investment in Central and Eastern Europe that followed the fall of the Berlin Wall. Between 2000 and 2007, however, Croatia's economic fortunes began to improve slowly with moderate but steady GDP growth between 4% and 6% led by a rebound in tourism and credit-driven consumer spending. Inflation over the same period remained tame and the currency, the kuna, stable. Croatia experienced an abrupt slowdown in the economy in 2008 and has yet to recover. Difficult problems still remain, including a stubbornly high unemployment rate, uneven regional development, and a challenging investment climate. The new government has announced a more flexible approach to privatization, including the sale in the coming years of state-owned businesses that are not of strategic importance. While macroeconomic stabilization has largely been achieved, structural reforms lag. Croatia will face significant pressure as a result of the global financial crisis, due to reduced exports and capital inflows. Croatia reentered a recession in 2012, and Zagreb cut spending. The government also raised additional revenues through more stringent tax collection and by raising the Value Added Tax in February 2012. On 1 July 2013 Croatia joined the EU, following a decade long application process. Croatia will be a member of the European Exchange Rate Mechanism until it meets the criteria for joining the Economic and Monetary Union and adopts the euro as its currency. Croatia's high foreign debt, strained state budget, and over-reliance on tourism revenue could hinder economic progress over the medium-term. |
| GDP (purchasing power parity): | $77.56 billion (2012 est.) |
| GDP (purchasing power parity): | $79.12 billion (2011 est.) |
| GDP (purchasing power parity): | $79.16 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $55.71 billion (2012 est.) |
| GDP - real growth rate: | -2% (2012 est.) |
| GDP - real growth rate: | 0% (2011 est.) |
| GDP - real growth rate: | -2.3% (2010 est.) |
| GDP - per capita (PPP): | $17,600 (2012 est.) |
| GDP - per capita (PPP): | $18,000 (2011 est.) |
| GDP - per capita (PPP): | $17,900 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 19.3% of GDP (2012 est.) |
| Gross national saving: | 19.5% of GDP (2011 est.) |
| Gross national saving: | 19.8% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 59.2% |
| GDP - composition, by end use: | government consumption: 19.8% |
| GDP - composition, by end use: | investment in fixed capital: 18.4% |
| GDP - composition, by end use: | investment in inventories: 2% |
| GDP - composition, by end use: | exports of goods and services: 43.4% |
| GDP - composition, by end use: | imports of goods and services: -42.7% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 5% |
| GDP - composition, by sector of origin: | industry: 25.8% |
| GDP - composition, by sector of origin: | services: 69.2% (2012 est.) |
| Agriculture - products: | arable crops (wheat, corn, barley, sugar beet, sunflower, rapeseed, alfalfa, clover); vegetables (potatoes, cabbage, onion, tomato, pepper); fruits (apples, plum, mandarins, olives), grapes for wine; livestock (cattle, cows, pigs); dairy products |
| Industries: | chemicals and plastics, machine tools, fabricated metal, electronics, pig iron and rolled steel products, aluminum, paper, wood products, construction materials, textiles, shipbuilding, petroleum and petroleum refining, food and beverages, tourism |
| Industrial production growth rate: | -6.5% (2012 est.) |
| Labor force: | 1.702 million (2012 est.) |
| Labor force - by occupation: | agriculture: 2.1% |
| Labor force - by occupation: | industry: 29% |
| Labor force - by occupation: | services: 69% (2012) |
