| Economy | Uzbekistan |
| --- | --- |
| Economy - overview: | Uzbekistan is a doubly landlocked country in which 51% of the population lives in urban settlements; the agriculture-rich Fergana Valley, in which Uzbekistanâ€™s eastern borders are situated, has been counted among the most densely populated parts of Central Asia. Since its independence in September 1991, the government has largely maintained its Soviet-style command economy with subsidies and tight controls on production, prices, and access to foreign currency. Despite ongoing efforts to diversify crops, Uzbek agriculture remains largely centered on cotton; Uzbekistan is the world's fifth-largest cotton exporter and seventh-largest producer. Uzbekistan's growth has been driven primarily by state-led investments, and export of natural gas, gold, and cotton provides a significant share of foreign exchange earnings. |
| Economy - overview: | Recently, lower global commodity prices and economic slowdowns in neighboring Russia and China have hurt Uzbekistan's trade and investment and worsened its foreign currency shortage. Aware of the need to improve the investment climate, the government is taking incremental steps to reform the business sector and address impediments to foreign investment in the country. Since the death of first President Islam KARIMOV and election of President Shavkat MIRZIYOYEV, emphasis on such initiatives and government efforts to improve the private sector have increased. In the past, Uzbek authorities accused US and other foreign companies operating in Uzbekistan of violating Uzbek laws and have frozen and seized their assets. |
| Economy - overview: | As a part of its economic reform efforts, the Uzbek Government is looking to expand opportunities for small and medium enterprises and prioritizes increasing foreign direct investment. In September 2017, the government devalued the official currency rate by almost 50% and announced the loosening of currency restrictions to eliminate the currency black market, increase access to hard currency, and boost investment. |
| GDP (purchasing power parity): | $223 billion (2017 est.) |
| GDP (purchasing power parity): | $211.8 billion (2016 est.) |
| GDP (purchasing power parity): | $196.5 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $48.83 billion (2017 est.) |
| GDP - real growth rate: | 5.3% (2017 est.) |
| GDP - real growth rate: | 7.8% (2016 est.) |
| GDP - real growth rate: | 7.9% (2015 est.) |
| GDP - per capita (PPP): | $6,900 (2017 est.) |
| GDP - per capita (PPP): | $6,700 (2016 est.) |
| GDP - per capita (PPP): | $6,300 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 32.7% of GDP (2017 est.) |
| Gross national saving: | 25.4% of GDP (2016 est.) |
| Gross national saving: | 27.6% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 59.5% (2017 est.) |
| GDP - composition, by end use: | government consumption: 16.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 25.3% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 3% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 19% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -20% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 17.9% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 33.7% (2017 est.) |
| GDP - composition, by sector of origin: | services: 48.5% (2017 est.) |
| Agriculture - products: | cotton, vegetables, fruits, grain; livestock |
| Industries: | textiles, food processing, machine building, metallurgy, mining, hydrocarbon extraction, chemicals |
| Industrial production growth rate: | 4.5% (2017 est.) |
| Labor force: | 18.12 million (2017 est.) |
| Labor force - by occupation: | agriculture: 25.9% |
| Labor force - by occupation: | industry: 13.2% |
| Labor force - by occupation: | services: 60.9% (2012 est.) |
| Unemployment rate: | 5% (2017 est.) |
| Unemployment rate: | 5.1% (2016 est.) |
| Unemployment rate: | note: official data; another 20% are underemployed |
| Population below poverty line: | 14% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 29.6% (2003) |
| Distribution of family income - Gini index: | 36.8 (2003) |
| Distribution of family income - Gini index: | 44.7 (1998) |
| Budget: | revenues: 15.22 billion (2017 est.) |
| Budget: | expenditures: 15.08 billion (2017 est.) |
| Taxes and other revenues: | 31.2% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 0.3% (of GDP) (2017 est.) |
| Public debt: | 24.3% of GDP (2017 est.) |
| Public debt: | 10.5% of GDP (2016 est.) |
