| Economy | UNITED ARAB EMIRATES |
| --- | --- |
| Economy - overview: | The UAE has an open economy with a high per capita income and a sizable annual trade surplus. Successful efforts at economic diversification have reduced the portion of GDP from the oil and gas sector to 30%. |
| Economy - overview: | Since the discovery of oil in the UAE nearly 60 years ago, the country has undergone a profound transformation from an impoverished region of small desert principalities to a modern state with a high standard of living. The government has increased spending on job creation and infrastructure expansion and is opening up utilities to greater private sector involvement. The country's free trade zones - offering 100% foreign ownership and zero taxes - are helping to attract foreign investors. |
| Economy - overview: | The global financial crisis of 2008-09, tight international credit, and deflated asset prices constricted the economy in 2009. UAE authorities tried to blunt the crisis by increasing spending and boosting liquidity in the banking sector. The crisis hit Dubai hardest, as it was heavily exposed to depressed real estate prices. Dubai lacked sufficient cash to meet its debt obligations, prompting global concern about its solvency and ultimately a $20 billion bailout from the UAE Central Bank and Abu Dhabi Government that was refinanced in March 2014. |
| Economy - overview: | The UAE’s dependence on oil is a significant long-term challenge. Low oil prices have prompted the UAE to cut expenditures, including on some social programs, but the UAE has sufficient assets in its sovereign investment funds to cover its deficits. The government reduced fuel subsidies in August 2015, and has announced plans to introduce excise and value-added taxes by January 1, 2018. The UAE's strategic plan for the next few years focuses on economic diversification, promoting the UAE as a global trade and tourism hub, developing industry, and creating more job opportunities for nationals through improved education and increased private sector employment. |
| GDP (purchasing power parity): | $671.1 billion (2016 est.) |
| GDP (purchasing power parity): | $643.1 billion (2015 est.) |
| GDP (purchasing power parity): | $612.8 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $348.7 billion (2016 est.) |
| GDP - real growth rate: | 3% (2016 est.) |
| GDP - real growth rate: | 3.8% (2015 est.) |
| GDP - real growth rate: | 3.3% (2014 est.) |
| GDP - per capita (PPP): | $68,100 (2016 est.) |
| GDP - per capita (PPP): | $68,000 (2015 est.) |
| GDP - per capita (PPP): | $67,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 27.5% of GDP (2016 est.) |
| Gross national saving: | 29.7% of GDP (2015 est.) |
| Gross national saving: | 34.4% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 58.5% |
| GDP - composition, by end use: | government consumption: 14% |
| GDP - composition, by end use: | investment in fixed capital: 23.6% |
| GDP - composition, by end use: | investment in inventories: -13% |
| GDP - composition, by end use: | exports of goods and services: 103.8% |
| GDP - composition, by end use: | imports of goods and services: -87% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.8% |
| GDP - composition, by sector of origin: | industry: 39.5% |
| GDP - composition, by sector of origin: | services: 40.1% (2016 est.) |
| Agriculture - products: | dates, vegetables, watermelons; poultry, eggs, dairy products; fish |
| Industries: | petroleum and petrochemicals; fishing, aluminum, cement, fertilizer, commercial ship repair, construction materials, handicrafts, textiles |
| Industrial production growth rate: | 1.9% (2016 est.) |
| Labor force: | 5.242 million |
| Labor force: | note: expatriates account for about 85% of the workforce (2016 est.) |
| Labor force - by occupation: | agriculture: 7% |
| Labor force - by occupation: | industry: 15% |
| Labor force - by occupation: | services: 78% (2000 est.) |
| Unemployment rate: | 3.6% (2014 est.) |
| Unemployment rate: | 2.4% (2001 est.) |
| Population below poverty line: | 19.5% (2003 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $78.46 billion |
| Budget: | expenditures: $105.5 billion |
| Budget: | note: the UAE federal budget does not account for emirate-level spending in Abu Dhabi and Dubai (2016 est.) |
| Taxes and other revenues: | 21.1% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -7.3% of GDP (2016 est.) |
| Public debt: | 62.7% of GDP (2016 est.) |
| Public debt: | 53.1% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.8% (2016 est.) |
| Inflation rate (consumer prices): | 4.1% (2015 est.) |
| Central bank discount rate: | NA% |
| Stock of narrow money: | $129 billion (31 December 2016 est.) |
| Stock of narrow money: | $124.4 billion (31 December 2015 est.) |
| Stock of broad money: | $333.6 billion (31 December 2016 est.) |
| Stock of broad money: | $323.1 billion (31 December 2015 est.) |
| Stock of domestic credit: | $389.9 billion (31 December 2016 est.) |
| Stock of domestic credit: | $370.7 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $195.9 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $201.6 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $180.3 billion (31 December 2013 est.) |
| Current account balance: | $8.412 billion (2016 est.) |
| Current account balance: | $17.25 billion (2015 est.) |
| Exports: | $298.6 billion (2016 est.) |
| Exports: | $300.4 billion (2015 est.) |
| Exports - commodities: | crude oil 45%, natural gas, reexports, dried fish, dates (2012 est.) |
| Exports - partners: | India 9.9%, Iran 8.9%, Japan 8.8%, Switzerland 8.5%, Oman 5.4%, China 5.1% (2016) |
| Imports: | $230.3 billion (2016 est.) |
| Imports: | $223.9 billion (2015 est.) |
| Imports - commodities: | machinery and transport equipment, chemicals, food |
| Imports - partners: | China 7.4%, US 6.9%, India 6.8%, Germany 4.4% (2016) |
| Reserves of foreign exchange and gold: | $85.39 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $93.93 billion (31 December 2015 est.) |
| Debt - external: | $218.7 billion (31 December 2016 est.) |
| Debt - external: | $202.1 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $134.8 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $125.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $114.6 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $101 billion (31 December 2015 est.) |
| Exchange rates: | Emirati dirhams (AED) per US dollar - |
| Exchange rates: | 3.673 (2016 est.) |
| Exchange rates: | 3.673 (2015 est.) |
| Exchange rates: | 3.673 (2014 est.) |
| Exchange rates: | 3.673 (2013 est.) |
| Exchange rates: | 3.67 (2012 est.) |
