| Economy | UNITED ARAB EMIRATES |
| --- | --- |
| Economy - overview: | The UAE has an open economy with a high per capita income and a sizable annual trade surplus. Successful efforts at economic diversification have reduced the portion of GDP based on oil and gas output to 25%. |
| Economy - overview: | Since the discovery of oil in the UAE more than 30 years ago, the country has undergone a profound transformation from an impoverished region of small desert principalities to a modern state with a high standard of living. The government has increased spending on job creation and infrastructure expansion and is opening up utilities to greater private sector involvement. The country's free trade zones - offering 100% foreign ownership and zero taxes - are helping to attract foreign investors. |
| Economy - overview: | The global financial crisis of 2008-09, tight international credit, and deflated asset prices constricted the economy in 2009. UAE authorities tried to blunt the crisis by increasing spending and boosting liquidity in the banking sector. The crisis hit Dubai hardest, as it was heavily exposed to depressed real estate prices. Dubai lacked sufficient cash to meet its debt obligations, prompting global concern about its solvency and ultimately a $20 billion bailout from the UAE Central Bank and Abu Dhabi Government that was refinanced in March 2014. |
| Economy - overview: | Dependence on oil, a large expatriate workforce, and growing inflation pressures are significant long-term challenges. Low oil prices have prompted the UAE to take steps to reduce its social spending, including eliminating fuel subsidies in August 2015, but the UAE has sufficient assets to cover its deficits with money from its sovereign investment funds. The UAE's strategic plan for the next few years focuses on economic diversification and creating more job opportunities for nationals through improved education and increased private sector employment. |
| GDP (purchasing power parity): | $647.8 billion (2015 est.) |
| GDP (purchasing power parity): | $623.3 billion (2014 est.) |
| GDP (purchasing power parity): | $596.1 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $345.5 billion (2015 est.) |
| GDP - real growth rate: | 3.9% (2015 est.) |
| GDP - real growth rate: | 4.6% (2014 est.) |
| GDP - real growth rate: | 4.3% (2013 est.) |
| GDP - per capita (PPP): | $67,600 (2015 est.) |
| GDP - per capita (PPP): | $67,000 (2014 est.) |
| GDP - per capita (PPP): | $66,000 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 33.9% of GDP (2015 est.) |
| Gross national saving: | 39% of GDP (2014 est.) |
| Gross national saving: | 42.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 56% |
| GDP - composition, by end use: | government consumption: 8.7% |
| GDP - composition, by end use: | investment in fixed capital: 27.4% |
| GDP - composition, by end use: | investment in inventories: -3.1% |
| GDP - composition, by end use: | exports of goods and services: 90% |
| GDP - composition, by end use: | imports of goods and services: -79% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.8% |
| GDP - composition, by sector of origin: | industry: 46.9% |
| GDP - composition, by sector of origin: | services: 52.3% (2015 est.) |
| Agriculture - products: | dates, vegetables, watermelons; poultry, eggs, dairy products; fish |
| Industries: | petroleum and petrochemicals; fishing, aluminum, cement, fertilizers, commercial ship repair, construction materials, handicrafts, textiles |
| Industrial production growth rate: | 2.4% (2015 est.) |
| Labor force: | 5.087 million |
| Labor force: | note: expatriates account for about 85% of the workforce (2015 est.) |
| Labor force - by occupation: | agriculture: 7% |
| Labor force - by occupation: | industry: 15% |
| Labor force - by occupation: | services: 78% (2000 est.) |
| Unemployment rate: | 2.4% (2001 est.) |
| Population below poverty line: | 19.5% (2003 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $102.8 billion |
| Budget: | expenditures: $116.5 billion |
| Budget: | note: the UAE federal budget does not account for emirate-level spending in Abu Dhabi and Dubai (2015 est.) |
| Taxes and other revenues: | 29.8% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -4% of GDP (2015 est.) |
| Public debt: | 51.3% of GDP (2015 est.) |
| Public debt: | 43.5% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.1% (2015 est.) |
| Inflation rate (consumer prices): | 2.3% (2014 est.) |
| Central bank discount rate: | NA% |
| Stock of narrow money: | $124.4 billion (31 December 2015 est.) |
| Stock of narrow money: | $118.7 billion (31 December 2014 est.) |
| Stock of broad money: | $343.6 billion (31 December 2014 est.) |
| Stock of broad money: | $287.7 billion (31 December 2013 est.) |
| Stock of domestic credit: | $370.7 billion (31 December 2015 est.) |
| Stock of domestic credit: | $331.7 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $67.95 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $71.33 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $77.08 billion (31 December 2013 est.) |
| Current account balance: | $13.55 billion (2015 est.) |
| Current account balance: | $54.63 billion (2014 est.) |
| Exports: | $333.3 billion (2015 est.) |
| Exports: | $367.5 billion (2014 est.) |
| Exports - commodities: | crude oil 45%, natural gas, reexports, dried fish, dates (2012 est.) |
| Exports - partners: | Iran 14.5%, Japan 9.8%, India 9.2%, China 4.7%, Oman 4.3% (2015) |
| Imports: | $243.9 billion (2015 est.) |
| Imports: | $239.8 billion (2014 est.) |
| Imports - commodities: | machinery and transport equipment, chemicals, food |
| Imports - partners: | China 15.7%, India 12.8%, US 9.7%, Germany 6.8%, UK 4.4% (2015) |
| Reserves of foreign exchange and gold: | $93.93 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $78.42 billion (31 December 2014 est.) |
| Debt - external: | $204.3 billion (31 December 2015 est.) |
| Debt - external: | $192.5 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $126.7 billion (31 December 2015 est.) |
