| Economy | Czech Republic |
| --- | --- |
| Economy - overview: | The Czech Republic is a stable and prosperous market economy closely integrated with the EU, especially since the country's EU accession in 2004. The auto industry is the largest single industry, and, together with its upstream suppliers, accounts for nearly 24% of Czech manufacturing. The Czech Republic produced more than a million cars for the first time in 2010, over 80% of which were exported. While the conservative, inward-looking Czech financial system has remained relatively healthy, the small, open, export-driven Czech economy remains sensitive to changes in the economic performance of its main export markets, especially Germany. When Western Europe and Germany fell into recession in late 2008, demand for Czech goods plunged, leading to double digit drops in industrial production and exports. As a result, real GDP fell sharply in 2009. The economy slowly recovered in the second half of 2009 and registered weak growth in the next two years. In 2012, however, the economy fell into a recession again, due both to a slump in external demand and to the government’s austerity measures. The country pulled out of recession in the second half of 2013, and most analysts expect modest, but steady, growth through 2014. Foreign and domestic businesses alike voice concerns about corruption, especially in public procurement. Other long term challenges include dealing with a rapidly aging population, funding an unsustainable pension and health care system, and diversifying away from manufacturing and toward a more high-tech, services-based, knowledge economy. |
| GDP (purchasing power parity): | $285.6 billion (2013 est.) |
| GDP (purchasing power parity): | $288.2 billion (2012 est.) |
| GDP (purchasing power parity): | $291.1 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $194.8 billion (2013 est.) |
| GDP - real growth rate: | -0.9% (2013 est.) |
| GDP - real growth rate: | -1% (2012 est.) |
| GDP - real growth rate: | 1.8% (2011 est.) |
| GDP - per capita (PPP): | $26,300 (2013 est.) |
| GDP - per capita (PPP): | $26,500 (2012 est.) |
| GDP - per capita (PPP): | $28,300 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 21.1% of GDP (2013 est.) |
| Gross national saving: | 20.7% of GDP (2012 est.) |
| Gross national saving: | 21.2% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 45.1% |
| GDP - composition, by end use: | government consumption: 18.3% |
| GDP - composition, by end use: | investment in fixed capital: 27% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 81.1% |
| GDP - composition, by end use: | imports of goods and services: -71.5% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.4% |
| GDP - composition, by sector of origin: | industry: 37.3% |
| GDP - composition, by sector of origin: | services: 60.3% (2012 est.) |
| Agriculture - products: | wheat, potatoes, sugar beets, hops, fruit; pigs, poultry |
| Industries: | motor vehicles, metallurgy, machinery and equipment, glass, armaments |
| Industrial production growth rate: | 0.5% (2013 est.) |
| Labor force: | 5.304 million (2013 est.) |
| Labor force - by occupation: | agriculture: 2.6% |
| Labor force - by occupation: | industry: 37.4% |
| Labor force - by occupation: | services: 60% (2012) |
| Unemployment rate: | 7.1% (2013 est.) |
| Unemployment rate: | 7% (2012 est.) |
| Population below poverty line: | 9.8% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.5% |
| Household income or consumption by percentage share: | highest 10%: 29.1% NA% (2012 est.) |
| Distribution of family income - Gini index: | 24.9 (2012) |
| Distribution of family income - Gini index: | 25.4 (1996) |
| Budget: | revenues: $55.81 billion |
| Budget: | expenditures: $59.96 billion (2013 est.) |
| Taxes and other revenues: | 28.6% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -2.1% of GDP (2013 est.) |
| Public debt: | 48.8% of GDP (2013 est.) |
| Public debt: | 46.2% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.4% (2013 est.) |
| Inflation rate (consumer prices): | 3.3% (2012 est.) |
| Central bank discount rate: | 0.05% (31 December 2013 est.) |
| Central bank discount rate: | 0.05% (31 December 2012) |
| Central bank discount rate: | note: this is the two-week repo, the main rate CNB uses |
| Commercial bank prime lending rate: | 5.1% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 5.41% (31 December 2012 est.) |
| Stock of narrow money: | $124.1 billion (30 September 2013 est.) |
| Stock of narrow money: | $114.2 billion (30 September 2012 est.) |
| Stock of broad money: | $154 billion (30 September 2013 est.) |
| Stock of broad money: | $146.5 billion (30 September 2012 est.) |
| Stock of domestic credit: | NA% (30 September 2012 est.) |
| Stock of domestic credit: | $130.2 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $54.92 billion (30 December 3013 est.) |
| Market value of publicly traded shares: | $59.88 billion (28 December 2012) |
| Market value of publicly traded shares: | $53.2 billion (30 December 2011 est.) |
| Current account balance: | -$3.27 billion (2013 est.) |
| Current account balance: | -$4.798 billion (2012 est.) |
| Exports: | $161.4 billion (2013 est.) |
| Exports: | $157 billion (2012 est.) |
