| Economy | CZECHIA |
| --- | --- |
| Economy - overview: | Czechia is a stable and prosperous market economy that is closely integrated with the EU, especially since the country's EU accession in 2004. The auto industry is the largest single industry, and, together with its upstream suppliers, accounts for nearly 24% of Czech manufacturing. Czechia produced more than a million cars for the first time in 2010, over 80% of which were exported. |
| Economy - overview: | While the conservative, inward-looking Czech financial system has remained relatively healthy, the small, open, export-driven Czech economy remains sensitive to changes in the economic performance of its main export markets, especially Germany. When Western Europe and Germany fell into recession in late 2008, demand for Czech goods plunged, leading to double digit drops in industrial production and exports. As a result, real GDP fell sharply in 2009. The economy slowly recovered in the second half of 2009 and registered weak growth in the next two years. In 2012 and 2013, however, the economy fell into a recession again, due both to a slump in external demand in the EU and to the government’s austerity measures, returning to weak growth in 2014, and stronger growth in 2015. |
| Economy - overview: | Foreign and domestic businesses alike voice concerns about corruption, especially in public procurement. Other long term challenges include dealing with a rapidly aging population, funding an unsustainable pension and health care system, and diversifying away from manufacturing and toward a more high-tech, services-based, knowledge economy. |
| GDP (purchasing power parity): | $332.5 billion (2015 est.) |
| GDP (purchasing power parity): | $319 billion (2014 est.) |
| GDP (purchasing power parity): | $312.8 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $181.9 billion (2015 est.) |
| GDP - real growth rate: | 4.2% (2015 est.) |
| GDP - real growth rate: | 2% (2014 est.) |
| GDP - real growth rate: | -0.5% (2013 est.) |
| GDP - per capita (PPP): | $31,600 (2015 est.) |
| GDP - per capita (PPP): | $30,300 (2014 est.) |
| GDP - per capita (PPP): | $29,700 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 28.2% of GDP (2015 est.) |
| Gross national saving: | 25.9% of GDP (2014 est.) |
| Gross national saving: | 24% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 47% |
| GDP - composition, by end use: | government consumption: 19.5% |
| GDP - composition, by end use: | investment in fixed capital: 26.3% |
| GDP - composition, by end use: | investment in inventories: 1% |
| GDP - composition, by end use: | exports of goods and services: 83% |
| GDP - composition, by end use: | imports of goods and services: -76.9% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.5% |
| GDP - composition, by sector of origin: | industry: 37.3% |
| GDP - composition, by sector of origin: | services: 60.2% (2015 est.) |
| Agriculture - products: | wheat, potatoes, sugar beets, hops, fruit; pigs, poultry |
| Industries: | motor vehicles, metallurgy, machinery and equipment, glass, armaments |
| Industrial production growth rate: | 4.5% (2015 est.) |
| Labor force: | 5.517 million (2015 est.) |
| Labor force - by occupation: | agriculture: 2.6% |
| Labor force - by occupation: | industry: 37.4% |
| Labor force - by occupation: | services: 60% (2012) |
| Unemployment rate: | 6.5% (2015 est.) |
| Unemployment rate: | 7.7% (2014 est.) |
| Population below poverty line: | 8.6% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.5% |
| Household income or consumption by percentage share: | highest 10%: 29.1% (2012 est.) |
| Distribution of family income - Gini index: | 24.9 (2012) |
| Distribution of family income - Gini index: | 25.4 (1996) |
| Budget: | revenues: $76.68 billion |
| Budget: | expenditures: $77.44 billion (2015 est.) |
| Taxes and other revenues: | 42.2% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -0.4% of GDP (2015 est.) |
| Public debt: | 41.1% of GDP (2015 est.) |
| Public debt: | 42.7% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.3% (2015 est.) |
| Inflation rate (consumer prices): | 0.4% (2014 est.) |
| Central bank discount rate: | 0.05% (31 December 2013) |
| Central bank discount rate: | 0.05% (31 December 2012) |
| Central bank discount rate: | note: this is the two-week repo, the main rate CNB uses |
| Commercial bank prime lending rate: | 4.28% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 4.64% (31 December 2014 est.) |
| Stock of narrow money: | $124.9 billion (31 December 2015 est.) |
| Stock of narrow money: | $122.8 billion (31 December 2014 est.) |
| Stock of broad money: | $152.9 billion (31 December 2014 est.) |
| Stock of broad money: | $155.7 billion (31 December 2013 est.) |
| Stock of domestic credit: | $127.5 billion (31 December 2015 est.) |
| Stock of domestic credit: | $137.1 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $54.92 billion (30 December 3013 est.) |
| Market value of publicly traded shares: | $59.88 billion (28 December 2012 est.) |
| Market value of publicly traded shares: | $53.2 billion (30 December 2011 est.) |
| Current account balance: | $1.648 billion (2015 est.) |
| Current account balance: | $366 million (2014 est.) |
| Exports: | $131 billion (2015 est.) |
| Exports: | $146.6 billion (2014 est.) |
| Exports - commodities: | machinery and transport equipment, raw materials, fuel, chemicals |
| Exports - partners: | Germany 32.4%, Slovakia 9%, Poland 5.8%, UK 5.3%, France 5.1%, Austria 4.1% (2015) |
| Imports: | $122.5 billion (2015 est.) |
| Imports: | $135.9 billion (2014 est.) |
| Imports - commodities: | machinery and transport equipment, raw materials and fuels, chemicals |
| Imports - partners: | Germany 30%, Poland 9%, China 8.3%, Slovakia 6.6%, Netherlands 5%, Austria 4.1% (2015) |
| Reserves of foreign exchange and gold: | $64.49 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $54.49 billion (31 December 2014 est.) |
| Debt - external: | $126.2 billion (31 December 2015 est.) |
| Debt - external: | $129.1 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $136.1 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $146 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $41.48 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $42.98 billion (31 December 2014 est.) |
| Exchange rates: | koruny (CZK) per US dollar - |
| Exchange rates: | 24.599 (2015 est.) |
| Exchange rates: | 20.758 (2014 est.) |
| Exchange rates: | 20.758 (2013 est.) |
| Exchange rates: | 19.59 (2012 est.) |
| Exchange rates: | 17.696 (2011 est.) |
