| Economy | CZECHIA |
| --- | --- |
| Economy - overview: | Czechia is a prosperous market economy that boasts one of the highest GDP growth rates and lowest unemployment levels in the EU, but its dependence on exports makes economic growth vulnerable to contractions in external demand. Czechia’s exports comprise some 80% of GDP and largely consist of automobiles, the country’s single largest industry. Czechia acceded to the EU in 2004 but has yet to join the euro-zone. While the flexible koruna helps Czechia weather external shocks, its central bank (Czech National Bank - CNB) has since November 2013 intervened in the foreign exchange markets to cap the value of the koruna at 27/Euro, with a 2% inflation target. This intervention has also helped to keep exports competitively priced. After inflation exceeded the bank's 2% target in early 2017, the CNB indicated it expects to end its intervention in the first half of 2017, though it will continue to intervene as necessary to maintain stability of the currency. |
| Economy - overview: | After slowly recovering from a steep recession in 2009, the Czech economy again fell into recession in 2012 and 2013 because of a slump in demand within the EU and government austerity measures. Inflows of EU development funds underpinned a rebound in 2014-15. Real GDP growth reached 4.5% in 2015, in part due to last-minute spending of EU funds, and fell to 2.5% in 2016, still one of the highest rates in the EU. The Czech unemployment rate was 5.2% in 2016, one of the lowest rates in the EU. |
| Economy - overview: | Since coming to power in 2014, the new government has undertaken some reforms to try to reduce corruption, attract investment, and improve social welfare programs, which could help increase the government’s revenues and improve living conditions for Czechs. The government introduced in December 2016 an online tax reporting system intended to reduce tax evasion and increase revenues. The government also plans to remove labor market rigidities to improve the business climate, bring procurement procedures in line with EU best practices, and boost wages. The country's low unemployment rate has led to steady increases in salaries – 4-5% in each of the past two years, and the government is facing pressure from businesses to allow greater migration of qualified workers, at least from Ukraine and neighboring Central European countries. |
| Economy - overview: | Long-term challenges include dealing with a rapidly aging population, a shortage of skilled workers, a lagging education system, funding an unsustainable pension and health care system, and diversifying away from manufacturing and toward a more high-tech, services-based, knowledge economy. |
| GDP (purchasing power parity): | $353.9 billion (2016 est.) |
| GDP (purchasing power parity): | $340.6 billion (2015 est.) |
| GDP (purchasing power parity): | $319.9 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $195.3 billion (2016 est.) |
