| Economy | MOZAMBIQUE |
| --- | --- |
| Economy - overview: | At independence in 1975, Mozambique was one of the world's poorest countries. Socialist mismanagement and a brutal civil war from 1977-92 exacerbated the situation. In 1987, the government embarked on a series of macroeconomic reforms designed to stabilize the economy. These steps, combined with donor assistance and with political stability since the multi-party elections in 1994, propelled the country&rsquo;s GDP from $4 billion in 1993, following the war, to about $30.9 billion in 2014. Fiscal reforms, including the introduction of a value-added tax and reform of the customs service, have improved the government's revenue collection abilities. In spite of these gains, more than half the population remains below the poverty line. Subsistence agriculture continues to employ the vast majority of the country's work force. A substantial trade imbalance persists although aluminum production from the Mozal smelter has significantly boosted export earnings in recent years. In 2012, The Mozambican government took over Portugal's last remaining share in the Cahora Bassa Hydroelectricity Company (HCB), a significant contributor to the Southern African Power Pool. The government has plans to expand the Cahora Bassa Dam and build additional dams to increase its electricity exports and fulfill the needs of its burgeoning domestic industries. Mozambique's once substantial foreign debt has been reduced through forgiveness and rescheduling under the IMF's Heavily Indebted Poor Countries (HIPC) and Enhanced HIPC initiatives, and is now at a manageable level. In July 2007, the US government's Millennium Challenge Corporation (MCC) signed a $506.9 million Compact with Mozambique that ended in 2013. The Compact focused on improving sanitation, roads, agriculture, and the business regulation environment in an effort to spur economic growth in the four northern provinces of the country. Citizens rioted in September 2010 after fuel, water, electricity, and bread price increases were announced. In an attempt to lessen the negative impact on the population, the government implemented subsidies, decreased taxes and tariffs, and instituted other fiscal measures. Mozambique grew at an average annual rate of 6%-8% in the decade up to 2014, one of Africa's strongest performances. Mozambique's ability to attract large investment projects in natural resources is expected to extend high growth rates in coming years. Revenues from these vast resources, including natural gas, coal, titanium and hydroelectric capacity, could overtake donor assistance within five years. |
| GDP (purchasing power parity): | $31.1 billion (2014 est.) |
| GDP (purchasing power parity): | $28.96 billion (2013 est.) |
| GDP (purchasing power parity): | $26.96 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $16.68 billion (2014 est.) |
| GDP - real growth rate: | 7.4% (2014 est.) |
| GDP - real growth rate: | 7.4% (2013 est.) |
| GDP - real growth rate: | 7.1% (2012 est.) |
| GDP - per capita (PPP): | $1,200 (2014 est.) |
| GDP - per capita (PPP): | $1,100 (2013 est.) |
| GDP - per capita (PPP): | $1,000 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 12.4% of GDP (2014 est.) |
| Gross national saving: | 15.6% of GDP (2013 est.) |
| Gross national saving: | 14.2% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 74.2% |
| GDP - composition, by end use: | government consumption: 17.9% |
| GDP - composition, by end use: | investment in fixed capital: 50.3% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 31.8% |
| GDP - composition, by end use: | imports of goods and services: -74.3% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 28.9% |
| GDP - composition, by sector of origin: | industry: 24% |
| GDP - composition, by sector of origin: | services: 47.1% (2014 est.) |
| Agriculture - products: | cotton, cashew nuts, sugarcane, tea, cassava (manioc, tapioca), corn, coconuts, sisal, citrus and tropical fruits, potatoes, sunflowers; beef, poultry |
| Industries: | aluminum, petroleum products, chemicals (fertilizer, soap, paints), textiles, cement, glass, asbestos, tobacco, food, beverages |
| Industrial production growth rate: | 9% (2014 est.) |
| Labor force: | 12.25 million (2014 est.) |
| Labor force - by occupation: | agriculture: 81% |
| Labor force - by occupation: | industry: 6% |
| Labor force - by occupation: | services: 13% (1997 est.) |
| Unemployment rate: | 17% (2007 est.) |
| Unemployment rate: | 21% (1997 est.) |
| Population below poverty line: | 52% (2009 est.) |
