| Economy | UNITED KINGDOM |
| --- | --- |
| Economy - overview: | The UK, a leading trading power and financial center, is the third largest economy in Europe after Germany and France. Agriculture is intensive, highly mechanized, and efficient by European standards, producing about 60% of food needs with less than 2% of the labor force. The UK has large coal, natural gas, and oil resources, but its oil and natural gas reserves are declining; the UK has been a net importer of energy since 2005. Services, particularly banking, insurance, and business services, are key drivers of British GDP growth. Manufacturing, meanwhile, has declined in importance but still accounts for about 10% of economic output. |
| Economy - overview: | In 2008, the global financial crisis hit the economy particularly hard, due to the importance of its financial sector. Falling home prices, high consumer debt, and the global economic slowdown compounded Britain's economic problems, pushing the economy into recession in the latter half of 2008 and prompting the then BROWN (Labour) government to implement a number of measures to stimulate the economy and stabilize the financial markets. Facing burgeoning public deficits and debt levels, in 2010 the CAMERON-led coalition government (between Conservatives and Liberal Democrats) initiated an austerity program, which has continued under the new Conservative majority government. However, the deficit still remains one of the highest in the G7, standing at 5.1% of GDP as of mid-2015. London intends to eliminate its deficit by 2020, primarily through additional cuts to public spending and welfare benefits. It has also pledged to lower its corporation tax from 20% to 18% by 2020. |
| Economy - overview: | In 2012, weak consumer spending and subdued business investment weighed on the economy, however, GDP grew 1.7% in 2013 and 2.8% in 2014, accelerating because of greater consumer spending and a recovering housing market. As of late 2015, the Bank of England is examining when to begin raising interest rates from historically low levels while being cautious not to damage economic growth. While the UK is one of the fastest growing economies in the G7, economists are concerned about the potential negative impact if the UK votes to leave the EU. The UK has an extensive trade relationship with other EU members through its access to the single market and economic observers have warned an exit could jeopardize its position as the central location for European financial services. |
| GDP (purchasing power parity): | $2.679 trillion (2015 est.) |
| GDP (purchasing power parity): | $2.62 trillion (2014 est.) |
| GDP (purchasing power parity): | $2.548 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $2.849 trillion (2015 est.) |
| GDP - real growth rate: | 2.2% (2015 est.) |
| GDP - real growth rate: | 2.9% (2014 est.) |
| GDP - real growth rate: | 2.2% (2013 est.) |
| GDP - per capita (PPP): | $41,200 (2015 est.) |
| GDP - per capita (PPP): | $40,600 (2014 est.) |
| GDP - per capita (PPP): | $39,800 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 12.4% of GDP (2015 est.) |
| Gross national saving: | 12.4% of GDP (2014 est.) |
| Gross national saving: | 12.2% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 65% |
| GDP - composition, by end use: | government consumption: 19.3% |
| GDP - composition, by end use: | investment in fixed capital: 16.9% |
| GDP - composition, by end use: | investment in inventories: 0.8% |
| GDP - composition, by end use: | exports of goods and services: 27.3% |
| GDP - composition, by end use: | imports of goods and services: -29.4% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.7% |
| GDP - composition, by sector of origin: | industry: 19.4% |
| GDP - composition, by sector of origin: | services: 80% |
| GDP - composition, by sector of origin: | (2015 est.) |
| Agriculture - products: | cereals, oilseed, potatoes, vegetables; cattle, sheep, poultry; fish |
| Industries: | machine tools, electric power equipment, automation equipment, railroad equipment, shipbuilding, aircraft, motor vehicles and parts, electronics and communications equipment, metals, chemicals, coal, petroleum, paper and paper products, food processing, textiles, clothing, other consumer goods |
| Industrial production growth rate: | 2% (2015 est.) |
| Labor force: | 33.06 million (2015 est.) |
| Labor force - by occupation: | agriculture: 1.3% |
| Labor force - by occupation: | industry: 15.2% |
| Labor force - by occupation: | services: 83.5% (2014 est.) |
| Unemployment rate: | 5.4% (2015 est.) |
| Unemployment rate: | 6.2% (2014 est.) |
| Population below poverty line: | 15% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 31.1% (2012) |
| Distribution of family income - Gini index: | 32.4 (2012) |
| Distribution of family income - Gini index: | 33.4 (2010) |
| Budget: | revenues: $1.107 trillion |
| Budget: | expenditures: $1.232 trillion (2015 est.) |
| Taxes and other revenues: | 38.8% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -4.4% of GDP (2015 est.) |
| Public debt: | 89% of GDP (2015 est.) |
| Public debt: | 87.9% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | 6 April - 5 April |
| Inflation rate (consumer prices): | 0% (2015 est.) |
| Inflation rate (consumer prices): | 1.5% (2014 est.) |
| Central bank discount rate: | 0.5% (31 December 2014) |
| Central bank discount rate: | 0.5% (31 December 2013) |
| Commercial bank prime lending rate: | 4.51% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 4.45% (31 December 2014 est.) |
| Stock of narrow money: | $106.7 billion (31 December 2015 est.) |
| Stock of narrow money: | $106.4 billion (31 December 2014 est.) |
| Stock of broad money: | $3.567 trillion (31 December 2014 est.) |
| Stock of broad money: | $3.491 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $3.195 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $3.366 trillion (31 December 2014 est.) |
