| Economy | Mongolia |
| --- | --- |
| Economic overview: | Foreign direct investment in Mongolia's extractive industries â€“ which are based on extensive deposits of copper, gold, coal, molybdenum, fluorspar, uranium, tin, and tungsten - has transformed Mongolia's landlocked economy from its traditional dependence on herding and agriculture. Exports now account for more than 40% of GDP. Mongolia depends on China for more than 60% of its external trade - China receives some 90% of Mongolia's exports and supplies Mongolia with more than one-third of its imports. Mongolia also relies on Russia for 90% of its energy supplies, leaving it vulnerable to price increases. Remittances from Mongolians working abroad, particularly in South Korea, are significant. |
| Economic overview: | Soviet assistance, at its height one-third of GDP, disappeared almost overnight in 1990 and 1991 at the time of the dismantlement of the USSR. The following decade saw Mongolia endure both deep recession, because of political inaction, and natural disasters, as well as strong economic growth, because of market reforms and extensive privatization of the formerly state-run economy. The country opened a fledgling stock exchange in 1991. Mongolia joined the WTO in 1997 and seeks to expand its participation in regional economic and trade regimes. |
| Economic overview: | Growth averaged nearly 9% per year in 2004-08 largely because of high copper prices globally and new gold production. By late 2008, Mongolia was hit by the global financial crisis and Mongolia's real economy contracted 1.3% in 2009. In early 2009, the IMF reached a $236 million Stand-by Arrangement with Mongolia and it emerged from the crisis with a stronger banking sector and better fiscal management. In October 2009, Mongolia passed long-awaited legislation on an investment agreement to develop the Oyu Tolgoi (OT) mine, among the world's largest untapped copper-gold deposits. However, a dispute with foreign investors developing OT called into question the attractiveness of Mongolia as a destination for foreign investment. This caused a severe drop in FDI, and a slowing economy, leading to the dismissal of Prime Minister Norovyn ALTANKHUYAG in November 2014. The economy had grown more than 10% per year between 2011 and 2013 - largely on the strength of commodity exports and high government spending - before slowing to 7.8% in 2014, and falling to the 2% level in 2015. Growth rebounded from a brief 1.6% contraction in the third quarter of 2016 to 5.8% during the first three quarters of 2017, largely due to rising commodity prices. |
| Economic overview: | The May 2015 agreement with Rio Tinto to restart the OT mine and the subsequent $4.4 billion finance package signing in December 2015 stemmed the loss of investor confidence. The current government has made restoring investor trust and reviving the economy its top priority, but has failed to invigorate the economy in the face of the large drop-off in foreign direct investment, mounting external debt, and a sizeable budget deficit. Mongolia secured a $5.5 billion financial assistance package from the IMF and a host of international creditors in May 2017, which is expected to improve Mongoliaâ€™s long-term fiscal and economic stability as long as Ulaanbaatar can advance the agreementâ€™s difficult contingent reforms, such as consolidating the governmentâ€™s off-balance sheet liabilities and rehabilitating the Mongolian banking sector. |
| GDP real growth rate: | 5.1% (2017 est.) |
| GDP real growth rate: | 1.2% (2016 est.) |
| GDP real growth rate: | 2.4% (2015 est.) |
| Inflation rate (consumer prices): | 4.6% (2017 est.) |
| Inflation rate (consumer prices): | 0.5% (2016 est.) |
| Credit ratings: | Fitch rating: B (2018) |
| Credit ratings: | Moody's rating: B3 (2018) |
| Credit ratings: | Standard & Poors rating: B (2018) |
| GDP (purchasing power parity) - real: | $43.54 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $39.73 billion (2017 est.) |
| GDP (purchasing power parity) - real: | $37.81 billion (2016 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2017 dollars |
| GDP (official exchange rate): | $11.14 billion (2017 est.) |
| GDP - per capita (PPP): | $13,700 (2018) |
| GDP - per capita (PPP): | $13,000 (2017 est.) |
| GDP - per capita (PPP): | $12,500 (2016 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 26.9% of GDP (2017 est.) |
| Gross national saving: | 23.1% of GDP (2016 est.) |
| Gross national saving: | 22.4% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 12.1% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 38.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 49.7% (2017 est.) |
| GDP - composition, by end use: | household consumption: 49.2% (2017 est.) |
| GDP - composition, by end use: | government consumption: 12.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 23.8% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 12.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 59.5% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -57.1% (2017 est.) |
| Ease of Doing Business Index scores: | 86.7 (2020) |
| Agriculture - products: | wheat, barley, vegetables, forage crops; sheep, goats, cattle, camels, horses |
