| Economy | Bulgaria |
| --- | --- |
| Economic overview: | Bulgaria, a former communist country that entered the EU in 2007, has an open economy that historically has demonstrated strong growth, but its per-capita income remains the lowest among EU members and its reliance on energy imports and foreign demand for its exports makes its growth sensitive to external market conditions. |
| Economic overview: | The government undertook significant structural economic reforms in the 1990s to move the economy from a centralized, planned economy to a more liberal, market-driven economy. These reforms included privatization of state-owned enterprises, liberalization of trade, and strengthening of the tax system - changes that initially caused some economic hardships but later helped to attract investment, spur growth, and make gradual improvements to living conditions. From 2000 through 2008, Bulgaria maintained robust, average annual real GDP growth in excess of 6%, which was followed by a deep recession in 2009 as the financial crisis caused domestic demand, exports, capital inflows and industrial production to contract, prompting the government to rein in spending. Real GDP growth remained slow - less than 2% annually - until 2015, when demand from EU countries for Bulgarian exports, plus an inflow of EU development funds, boosted growth to more than 3%. In recent years, strong domestic demand combined with low international energy prices have contributed to Bulgariaâ€™s economic growth approaching 4% and have also helped to ease inflation. Bulgariaâ€™s prudent public financial management contributed to budget surpluses both in 2016 and 2017. |
| Economic overview: | Bulgaria is heavily reliant on energy imports from Russia, a potential vulnerability, and is a participant in EU-backed efforts to diversify regional natural gas supplies. In late 2016, the Bulgarian Government provided funding to Bulgariaâ€™s National Electric Company to cover the $695 million compensation owed to Russian nuclear equipment manufacturer Atomstroyexport for the cancellation of the Belene Nuclear Power Plant project, which the Bulgarian Government terminated in 2012. As of early 2018, the government was floating the possibility of resurrecting the Belene project. The natural gas market, dominated by state-owned Bulgargaz, is also almost entirely supplied by Russia. Infrastructure projects such as the Inter-Connector Greece-Bulgaria and Inter-Connector Bulgaria-Serbia, which would enable Bulgaria to have access to non-Russian gas, have either stalled or made limited progress. In 2016, the Bulgarian Government established the State eGovernment Agency. This new agency is responsible for the electronic governance, coordinating national policies with the EU, and strengthening cybersecurity. |
| Economic overview: | Despite a favorable investment regime, including low, flat corporate income taxes, significant challenges remain. Corruption in public administration, a weak judiciary, low productivity, lack of transparency in public procurements, and the presence of organized crime continue to hamper the country's investment climate and economic prospects. |
| GDP real growth rate: | 3.39% (2019 est.) |
| GDP real growth rate: | 3.2% (2018 est.) |
| GDP real growth rate: | 3.5% (2017 est.) |
| Inflation rate (consumer prices): | 3.1% (2019 est.) |
| Inflation rate (consumer prices): | 2.8% (2018 est.) |
| Inflation rate (consumer prices): | 2% (2017 est.) |
| Credit ratings: | Fitch rating: BBB (2017) |
| Credit ratings: | Moody's rating: Baa1 (2020) |
| Credit ratings: | Standard & Poors rating: BBB (2019) |
| GDP (purchasing power parity) - real: | $151.132 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $146.181 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $141.645 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $68.49 billion (2019 est.) |
| GDP - per capita (PPP): | $9,888 (2019 est.) |
| GDP - per capita (PPP): | $9,494 (2018 est.) |
| GDP - per capita (PPP): | $9,133 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 25.4% of GDP (2017 est.) |
| Gross national saving: | 21.4% of GDP (2016 est.) |
| Gross national saving: | 21.2% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.3% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 28% (2017 est.) |
| GDP - composition, by sector of origin: | services: 67.4% (2017 est.) |
| GDP - composition, by end use: | household consumption: 61.6% (2017 est.) |
| GDP - composition, by end use: | government consumption: 16% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 19.2% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.7% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 66.3% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -64.8% (2017 est.) |
| Ease of Doing Business Index scores: | 72.0 (2020) |
| Agriculture - products: | vegetables, fruits, tobacco, wine, wheat, barley, sunflowers, sugar beets; livestock |
| Industries: | electricity, gas, water; food, beverages, tobacco; machinery and equipment, automotive parts, base metals, chemical products, coke, refined petroleum, nuclear fuel; outsourcing centers |
| Industrial production growth rate: | 3.6% (2017 est.) |
| Labor force: | 3.113 million (2020 est.) |
| Labor force: | note: number of employed persons |
| Labor force - by occupation: | agriculture: 6.8% |
| Labor force - by occupation: | industry: 26.6% |
| Labor force - by occupation: | services: 66.6% (2016 est.) |
| Unemployment rate: | 5.66% (2019 est.) |
| Unemployment rate: | 6.18% (2018 est.) |
| Population below poverty line: | 23.4% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.9% |
| Household income or consumption by percentage share: | highest 10%: 31.2% (2017) |
| Budget: | revenues: 20.35 billion (2017 est.) |
| Budget: | expenditures: 19.35 billion (2017 est.) |
| Taxes and other revenues: | 35.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 1.8% (of GDP) (2017 est.) |
| Public debt: | 23.9% of GDP (2017 est.) |
| Public debt: | 27.4% of GDP (2016 est.) |
| Public debt: | note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Current account balance: | $2.06 billion (2019 est.) |
| Current account balance: | $611 million (2018 est.) |
| Exports: | $42.369 billion (2019 est.) |
