| Economy | GUATEMALA |
| --- | --- |
| Economy - overview: | Guatemala is the most populous country in Central America with a GDP per capita roughly half the average for Latin America and the Caribbean. The agricultural sector accounts for 13.6% of GDP and 31% of the labor force; key agricultural exports include sugar, coffee, bananas, and vegetables. Guatemala is the top remittance recipient in Central America as a result of Guatemala's large expatriate community in the US. These inflows are a primary source of foreign income, equivalent to over one-half of the country's exports or one-tenth of its GDP. |
| Economy - overview: | The 1996 peace accords, which ended 36 years of civil war, removed a major obstacle to foreign investment, and since then Guatemala has pursued important reforms and macroeconomic stabilization. The Dominican Republic-Central America Free Trade Agreement (CAFTA-DR) entered into force in July 2006, spurring increased investment and diversification of exports, with the largest increases in ethanol and non-traditional agricultural exports. While CAFTA-DR has helped improve the investment climate, concerns over security, the lack of skilled workers, and poor infrastructure continue to hamper foreign direct investment. |
| Economy - overview: | The distribution of income remains highly unequal with the richest 20% of the population accounting for more than 51% of Guatemala's overall consumption. More than half of the population is below the national poverty line, and 23% of the population lives in extreme poverty. Poverty among indigenous groups, which make up more than 40% of the population, averages 79%, with 39.8% of the indigenous population living in extreme poverty. Nearly one-half of Guatemala's children under age five are chronically malnourished, one of the highest malnutrition rates in the world. |
| Economy - overview: | Guatemala is facing growing fiscal pressures exacerbated by multiple corruption scandals in 2015 that led to the resignation of the president, vice president, and numerous high-level economic officials. |
| GDP (purchasing power parity): | $125.9 billion (2015 est.) |
| GDP (purchasing power parity): | $121 billion (2014 est.) |
| GDP (purchasing power parity): | $116.1 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $63.91 billion (2015 est.) |
| GDP - real growth rate: | 4.1% (2015 est.) |
| GDP - real growth rate: | 4.3% (2014 est.) |
| GDP - real growth rate: | 3.7% (2013 est.) |
| GDP - per capita (PPP): | $7,700 (2015 est.) |
| GDP - per capita (PPP): | $7,600 (2014 est.) |
| GDP - per capita (PPP): | $7,500 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 13.1% of GDP (2015 est.) |
| Gross national saving: | 11.6% of GDP (2014 est.) |
| Gross national saving: | 11.5% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 85% |
| GDP - composition, by end use: | government consumption: 10.4% |
| GDP - composition, by end use: | investment in fixed capital: 13.2% |
| GDP - composition, by end use: | investment in inventories: 0.2% |
| GDP - composition, by end use: | exports of goods and services: 21.3% |
| GDP - composition, by end use: | imports of goods and services: -30% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.2% |
| GDP - composition, by sector of origin: | industry: 23.6% |
| GDP - composition, by sector of origin: | services: 62.9% (2015 est.) |
| Agriculture - products: | sugarcane, corn, bananas, coffee, beans, cardamom; cattle, sheep, pigs, chickens |
| Industries: | sugar, textiles and clothing, furniture, chemicals, petroleum, metals, rubber, tourism |
| Industrial production growth rate: | 3.7% (2015 est.) |
| Labor force: | 4.528 million (2015 est.) |
| Labor force - by occupation: | agriculture: 31.2% |
| Labor force - by occupation: | industry: 14.4% |
| Labor force - by occupation: | services: 54.4% (2014 est.) |
| Unemployment rate: | 2.9% (2014 est.) |
| Unemployment rate: | 3% (2013 est.) |
| Population below poverty line: | 59.3% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.3% |
| Household income or consumption by percentage share: | highest 10%: 42.4% (2006) |
| Distribution of family income - Gini index: | 53 (2014 est.) |
| Distribution of family income - Gini index: | 56 (2011) |
| Budget: | revenues: $6.909 billion |
| Budget: | expenditures: $7.824 billion (2015 est.) |
| Taxes and other revenues: | 10.8% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.4% of GDP (2015 est.) |
| Public debt: | 28.8% of GDP (2015 est.) |
| Public debt: | 29.9% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.4% (2015 est.) |
| Inflation rate (consumer prices): | 3.4% (2014 est.) |
| Central bank discount rate: | 6.5% (31 December 2010) |
| Commercial bank prime lending rate: | 13.23% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 13.77% (31 December 2014 est.) |
