| Economy | GUATEMALA |
| --- | --- |
| Economy - overview: | Guatemala is the most populous country in Central America with a GDP per capita roughly one-half that of the average for Latin America and the Caribbean. The agricultural sector accounts for 13.7% of GDP and 32% of the labor force; key agricultural exports include sugar, coffee, bananas, and vegetables. The 1996 peace accords, which ended 36 years of civil war, removed a major obstacle to foreign investment, and since then Guatemala has pursued important reforms and macroeconomic stabilization. The Dominican Republic-Central America Free Trade Agreement (CAFTA-DR) entered into force in July 2006, spurring increased investment and diversification of exports, with the largest increases in ethanol and non-traditional agricultural exports. While CAFTA-DR has helped improve the investment climate, concerns over security, the lack of skilled workers, and poor infrastructure continue to hamper foreign direct investment. The distribution of income remains highly unequal with the richest 20% of the population accounting for more than 51% of Guatemala's overall consumption. More than half of the population is below the national poverty line, and 13% of the population lives in extreme poverty. Poverty among indigenous groups, which make up more than 40% of the population, averages 73%, with 22% of the indigenous population living in extreme poverty. Nearly one-half of Guatemala's children under age five are chronically malnourished, one of the highest malnutrition rates in the world. Guatemala is the top remittance recipient in Central America as a result of Guatemala's large expatriate community in the United States. These inflows are a primary source of foreign income, equivalent to one-half of the country's exports or one-tenth of its GDP.  In November 2014 along with his counterparts from El Salvador and Honduras, President PEREZ MOLINA announced the &ldquo;Plan of the Alliance for Prosperity in the Northern Triangle.&rdquo;  This plan seeks to address the challenges facing the three Northern Triangle countries, including steps the governments will take to stimulate economic growth, increase transparency and fiscal responsibility, reduce violence, modernize the justice system, improve infrastructure, and promote educational opportunities over the next several years. |
| GDP (purchasing power parity): | $119.1 billion (2014 est.) |
| GDP (purchasing power parity): | $114.5 billion (2013 est.) |
| GDP (purchasing power parity): | $110.4 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $60.42 billion (2014 est.) |
| GDP - real growth rate: | 4% (2014 est.) |
| GDP - real growth rate: | 3.7% (2013 est.) |
| GDP - real growth rate: | 3% (2012 est.) |
| GDP - per capita (PPP): | $7,500 (2014 est.) |
| GDP - per capita (PPP): | $7,200 (2013 est.) |
| GDP - per capita (PPP): | $7,000 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 11.7% of GDP (2014 est.) |
| Gross national saving: | 11.5% of GDP (2013 est.) |
| Gross national saving: | 12.4% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 85.8% |
| GDP - composition, by end use: | government consumption: 10.6% |
| GDP - composition, by end use: | investment in fixed capital: 14.3% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 23.6% |
| GDP - composition, by end use: | imports of goods and services: -34.9% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.3% |
| GDP - composition, by sector of origin: | industry: 23.5% |
| GDP - composition, by sector of origin: | services: 63.2% (2014 est.) |
| Agriculture - products: | sugarcane, corn, bananas, coffee, beans, cardamom; cattle, sheep, pigs, chickens |
| Industries: | sugar, textiles and clothing, furniture, chemicals, petroleum, metals, rubber, tourism |
| Industrial production growth rate: | 3% (2014 est.) |
| Labor force: | 4.576 million (2014 est.) |
| Labor force - by occupation: | agriculture: 38% |
| Labor force - by occupation: | industry: 14% |
| Labor force - by occupation: | services: 48% (2011 est.) |
| Unemployment rate: | 4.1% (2011 est.) |
| Unemployment rate: | 3.5% (2010 est.) |
| Population below poverty line: | 54% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.3% |
| Household income or consumption by percentage share: | highest 10%: 42.4% (2006) |
| Distribution of family income - Gini index: | 55.1 (2007) |
| Distribution of family income - Gini index: | 55.8 (1998) |
| Budget: | revenues: $6.785 billion |
| Budget: | expenditures: $8.137 billion (2014 est.) |
| Taxes and other revenues: | 11.6% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -2.3% of GDP (2014 est.) |
| Public debt: | 29.9% of GDP (2014 est.) |
| Public debt: | 30.3% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.4% (2014 est.) |
| Inflation rate (consumer prices): | 4.3% (2013 est.) |
| Central bank discount rate: | 6.5% (31 December 2010) |
| Commercial bank prime lending rate: | 13.6% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 13.6% (31 December 2013 est.) |
| Stock of narrow money: | $8.905 billion (31 December 2014 est.) |
| Stock of narrow money: | $8.311 billion (31 December 2013 est.) |
| Stock of broad money: | $23.83 billion (31 December 2013 est.) |
