| Economy | Ukraine |
| --- | --- |
| Economy - overview: | After Russia, the Ukrainian republic was the most important economic component of the former Soviet Union, producing about four times the output of the next-ranking republic. Its fertile black soil generated more than one-fourth of Soviet agricultural output, and its farms provided substantial quantities of meat, milk, grain, and vegetables to other republics. Likewise, its diversified heavy industry supplied the unique equipment (for example, large diameter pipes) and raw materials to industrial and mining sites (vertical drilling apparatus) in other regions of the former USSR. Shortly after independence in August 1991, the Ukrainian Government liberalized most prices and erected a legal framework for privatization, but widespread resistance to reform within the government and the legislature soon stalled reform efforts and led to some backtracking. Output by 1999 had fallen to less than 40% of the 1991 level. Ukraine's dependence on Russia for energy supplies and the lack of significant structural reform have made the Ukrainian economy vulnerable to external shocks. Ukraine depends on imports to meet about three-fourths of its annual oil and natural gas requirements and 100% of its nuclear fuel needs. After a two-week dispute that saw gas supplies cutoff to Europe, Ukraine agreed to 10-year gas supply and transit contracts with Russia in January 2009 that brought gas prices to "world" levels. The strict terms of the contracts have further hobbled Ukraine's cash-strapped state gas company, Naftohaz. Outside institutions - particularly the IMF - have encouraged Ukraine to quicken the pace and scope of reforms to foster economic growth. Ukrainian Government officials eliminated most tax and customs privileges in a March 2005 budget law, bringing more economic activity out of Ukraine's large shadow economy, but more improvements are needed, including fighting corruption, developing capital markets, and improving the legislative framework. Ukraine's economy was buoyant despite political turmoil between the prime minister and president until mid-2008. Real GDP growth exceeded 7% in 2006-07, fueled by high global prices for steel - Ukraine's top export - and by strong domestic consumption, spurred by rising pensions and wages. A drop in steel prices and Ukraine's exposure to the global financial crisis due to aggressive foreign borrowing lowered growth in 2008. Ukraine reached an agreement with the IMF for a $16.4 billion Stand-By Arrangement in November 2008 to deal with the economic crisis, but the program quickly stalled due to the Ukrainian Government's lack of progress in implementing reforms. The economy contracted nearly 15% in 2009, among the worst economic performances in the world. In April 2010, Ukraine negotiated a price discount on Russian gas imports in exchange for extending Russia's lease on its naval base in Crimea. In August 2010, Ukraine, under the YANUKOVYCH Administration, reached a new agreement with the IMF for a $15.1 billion Stand-By Agreement. Economic growth resumed in 2010 and 2011, buoyed by exports. After initial disbursements, the IMF program stalled in early 2011 due to the Ukrainian Government's lack of progress in implementing key gas sector reforms, namely gas tariff increases. Economic growth slowed in the second half of 2012 with Ukraine finishing the year in technical recession following two consecutive quarters of negative growth. |
| GDP (purchasing power parity): | $331.6 billion (2012 est.) |
| GDP (purchasing power parity): | $331.1 billion (2011 est.) |
| GDP (purchasing power parity): | $314.8 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $173.9 billion (2012 est.) |
| GDP - real growth rate: | 0.2% (2012 est.) |
| GDP - real growth rate: | 5.2% (2011 est.) |
| GDP - real growth rate: | 4.1% (2010 est.) |
| GDP - per capita (PPP): | $7,300 (2012 est.) |
| GDP - per capita (PPP): | $7,300 (2011 est.) |
| GDP - per capita (PPP): | $6,900 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 10.1% of GDP (2012 est.) |
| Gross national saving: | 14.5% of GDP (2011 est.) |
| Gross national saving: | 16.3% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 70.8% |
| GDP - composition, by end use: | government consumption: 19.4% |
| GDP - composition, by end use: | investment in fixed capital: 18.9% |
| GDP - composition, by end use: | investment in inventories: -0.6% |
| GDP - composition, by end use: | exports of goods and services: 50.9% |
| GDP - composition, by end use: | imports of goods and services: -59.3% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.5% |
| GDP - composition, by sector of origin: | industry: 31.4% |
| GDP - composition, by sector of origin: | services: 59.1% |
| GDP - composition, by sector of origin: | (2012 est.) |
| Agriculture - products: | grain, sugar beets, sunflower seeds, vegetables; beef, milk |
| Industries: | coal, electric power, ferrous and nonferrous metals, machinery and transport equipment, chemicals, food processing |
| Industrial production growth rate: | -2.1% (2012 est.) |
| Labor force: | 22.11 million (2012 est.) |
| Labor force - by occupation: | agriculture: 5.6% |
| Labor force - by occupation: | industry: 26% |
| Labor force - by occupation: | services: 68.4% |
| Labor force - by occupation: | (2012) |
| Unemployment rate: | 7.5% (2012 est.) |
| Unemployment rate: | 7.9% (2011 est.) |
