| Economy | UKRAINE |
| --- | --- |
| Economy - overview: | After Russia, the Ukrainian republic was the most important economic component of the former Soviet Union, producing about four times the output of the next-ranking republic. Its fertile black soil generated more than one-fourth of Soviet agricultural output, and its farms provided substantial quantities of meat, milk, grain, and vegetables to other republics. Likewise, its diversified heavy industry supplied the unique equipment (for example, large diameter pipes) and raw materials to industrial and mining sites (vertical drilling apparatus) in other regions of the former USSR. |
| Economy - overview: | Shortly after independence in August 1991, the Ukrainian Government liberalized most prices and erected a legal framework for privatization, but widespread resistance to reform within the government and the legislature soon stalled reform efforts and led to some backtracking. Output by 1999 had fallen to less than 40% of the 1991 level. Outside institutions - particularly the IMF &ndash;encouraged Ukraine to quicken the pace and scope of reforms to foster economic growth. Ukrainian Government officials eliminated most tax and customs privileges in a March 2005 budget law, bringing more economic activity out of Ukraine's large shadow economy, but more improvements are needed, including fighting corruption, developing capital markets, and improving the legislative framework. From 2000 until mid-2008, Ukraine's economy was buoyant despite political turmoil between the prime minister and president. |
| Economy - overview: | Ukraine's dependence on Russia for energy supplies and the lack of significant structural reform have made the Ukrainian economy vulnerable to external shocks. Ukraine depends on imports to meet about three-fourths of its annual oil and natural gas requirements and 100% of its nuclear fuel needs. In January 2009, after a two-week dispute that saw gas supplies cutoff to Europe, Ukraine agreed to 10-year gas supply and transit contracts with Russia that brought gas prices to "world" levels. The strict terms of the contracts further hobbled Ukraine's cash-strapped state gas company, Naftohaz. The economy contracted nearly 15% in 2009, among the worst economic performances in the world. In April 2010, Ukraine negotiated a price discount on Russian gas imports in exchange for extending Russia's lease on its naval base in Crimea. |
| Economy - overview: | Movement toward an Association Agreement with the European Union, which would commit Ukraine to economic and financial reforms in exchange for preferential access to EU markets, was curtailed by a November 2013 decision of President YANUKOVYCH. In response, on 17 December 2013 then President YANUKOVYCH and President PUTIN concluded a financial assistance package containing $15 billion in loans and lower gas prices. However, the end of the YANUKOVYCH government in February 2014 caused Russia to halt further funding. With the formation of an interim government in late February 2014, the international community began efforts to stabilize the Ukrainian economy, including a 27 March 2014 IMF assistance package of $14-18 billion. Russia&rsquo;s seizure of the Crimean Peninsula created uncertainty as to the annual rate of growth of the Ukrainian economy in 2014. |
| GDP (purchasing power parity): | $370.8 billion (2014 est.) |
| GDP (purchasing power parity): | $398 billion (2013 est.) |
| GDP (purchasing power parity): | $398.1 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $130.7 billion (2014 est.) |
| GDP - real growth rate: | -6.8% (2014 est.) |
| GDP - real growth rate: | 0% (2013 est.) |
| GDP - real growth rate: | 0.2% (2012 est.) |
| GDP - per capita (PPP): | $8,700 (2014 est.) |
| GDP - per capita (PPP): | $9,300 (2013 est.) |
| GDP - per capita (PPP): | $9,300 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 10.8% of GDP (2014 est.) |
| Gross national saving: | 10% of GDP (2013 est.) |
| Gross national saving: | 13.6% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 81.8% |
| GDP - composition, by end use: | government consumption: 21.1% |
| GDP - composition, by end use: | investment in fixed capital: 15.6% |
| GDP - composition, by end use: | investment in inventories: -0.3% |
| GDP - composition, by end use: | exports of goods and services: 51.4% |
| GDP - composition, by end use: | imports of goods and services: -69.6% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 12.1% |
| GDP - composition, by sector of origin: | industry: 29% |
| GDP - composition, by sector of origin: | services: 58.8% |
| GDP - composition, by sector of origin: | (2014 est.) |
| Agriculture - products: | grain, sugar beets, sunflower seeds, vegetables; beef, milk |
| Industries: | coal, electric power, ferrous and nonferrous metals, machinery and transport equipment, chemicals, food processing |
| Industrial production growth rate: | -9% (2014 est.) |
| Labor force: | 22.11 million (2014 est.) |
| Labor force - by occupation: | agriculture: 5.6% |
| Labor force - by occupation: | industry: 26% |
| Labor force - by occupation: | services: 68.4% |
| Labor force - by occupation: | (2012) |
| Unemployment rate: | 10.5% (2014 est.) |
| Unemployment rate: | 7.2% (2013 est.) |
| Unemployment rate: | note: officially registered; large number of unregistered or underemployed workers |
| Population below poverty line: | 24.1% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.8% |
| Household income or consumption by percentage share: | highest 10%: 22.5% (2011 est.) |
| Distribution of family income - Gini index: | 28.2 (2009) |
| Distribution of family income - Gini index: | 29 (1999) |
