| Economy | SYRIA |
| --- | --- |
| Economy - overview: | Syria's economy continues to deteriorate amid the ongoing conflict that began in 2011, declining by more than 70% from 2010 to 2016. The government has struggled to address the effects of international sanctions, widespread infrastructure damage, diminished domestic consumption and production, reduced subsidies, and high inflation, which have caused dwindling foreign exchange reserves, rising budget and trade deficits, a decreasing value of the Syrian pound, and falling household purchasing power. |
| Economy - overview: | During 2014, the ongoing conflict and continued unrest and economic decline worsened the humanitarian crisis and elicited a greater need for international assistance, as the number of people in need inside Syria increased from 9.3 million to 12.2 million, and the number of Syrian refugees increased from 2.2 million to more than 3.3 million. |
| Economy - overview: | Prior to the turmoil, Damascus had begun liberalizing economic policies, including cutting lending interest rates, opening private banks, consolidating multiple exchange rates, raising prices on some subsidized items, and establishing the Damascus Stock Exchange, but the economy remains highly regulated. Long-run economic constraints include foreign trade barriers, declining oil production, high unemployment, rising budget deficits, increasing pressure on water supplies caused by heavy use in agriculture, rapid population growth, industrial expansion, water pollution, and widespread infrastructure damage. |
| GDP (purchasing power parity): | $NA (2015 est.) |
| GDP (purchasing power parity): | $55.8 billion (2014 est.) |
| GDP (purchasing power parity): | $61.9 billion (2013 est.) |
| GDP (purchasing power parity): | notes: data are in 2015 US dollars |
| GDP (purchasing power parity): | the war-driven deterioration of the economy resulted in a disappearance of quality national level statistics in the 2012-13 period |
| GDP (official exchange rate): | $24.6 billion (2014 est.) |
| GDP - real growth rate: | NA% (2016 est.) |
| GDP - real growth rate: | -9.9% (2014 est.) |
| GDP - real growth rate: | -36.5% (2013 est.) |
| GDP - real growth rate: | note: data are in 2015 dollars |
| GDP - per capita (PPP): | $2,900 (2015 est.) |
| GDP - per capita (PPP): | $3,300 (2014 est.) |
| GDP - per capita (PPP): | $2,800 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 19.1% of GDP (2016 est.) |
| Gross national saving: | 20.1% of GDP (2015 est.) |
| Gross national saving: | 18.2% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 65.6% |
| GDP - composition, by end use: | government consumption: 23.5% |
| GDP - composition, by end use: | investment in fixed capital: 17.6% |
| GDP - composition, by end use: | investment in inventories: 11.4% |
| GDP - composition, by end use: | exports of goods and services: 10.8% |
| GDP - composition, by end use: | imports of goods and services: -29% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 19.5% |
| GDP - composition, by sector of origin: | industry: 19% |
| GDP - composition, by sector of origin: | services: 61.5% (2016 est.) |
| Agriculture - products: | wheat, barley, cotton, lentils, chickpeas, olives, sugar beets; beef, mutton, eggs, poultry, milk |
| Industries: | petroleum, textiles, food processing, beverages, tobacco, phosphate rock mining, cement, oil seeds crushing, automobile assembly |
| Industrial production growth rate: | -2.4% (2016 est.) |
| Labor force: | 3.871 million (2016 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 16% |
