| Economy | SYRIA |
| --- | --- |
| Economy - overview: | Syria's economy continues to deteriorate amid the ongoing conflict that began in 2011. The economy further contracted in 2014 because of international sanctions, widespread infrastructure damage, diminished domestic consumption and production, reduced subsidies, and high inflation. The government has struggled to address the effects of economic decline, which include dwindling foreign exchange reserves, rising budget and trade deficits, and the decreasing value of the Syrian pound and household purchasing power. During 2014, the ongoing conflict and continued unrest and economic decline worsened the humanitarian crisis and elicited a greater need for international assistance, as the number of people in need inside Syria increased from 9.3 million to 12.2 million, and the number of Syrian refugees increased from 2.2 million to more than 3.3 million. Prior to the turmoil, Damascus began liberalizing economic policies, including cutting lending interest rates, opening private banks, consolidating multiple exchange rates, raising prices on some subsidized items, and establishing the Damascus Stock Exchange, but the economy remains highly regulated. Long-run economic constraints include foreign trade barriers, declining oil production, high unemployment, rising budget deficits, increasing pressure on water supplies caused by heavy use in agriculture, rapid population growth, industrial expansion, water pollution, and widespread infrastructure damage. |
| GDP (purchasing power parity): | $107.6 billion (2011 est.) |
| GDP (purchasing power parity): | $110.1 billion (2010 est.) |
| GDP (purchasing power parity): | $97.03 billion (2009 est.) |
| GDP (purchasing power parity): | note: data are in 2011 US dollars |
| GDP (purchasing power parity): | the war driven deterioration of the economy resulted in a disappearance of quality national level statistics in 2012-13 |
| GDP (official exchange rate): | $64.7 billion (2011 est.) |
| GDP - real growth rate: | NA% (2012 est.) |
| GDP - real growth rate: | -2.3% (2011 est.) |
| GDP - real growth rate: | 3.4% (2010 est.) |
| GDP - per capita (PPP): | $5,100 (2011 est.) |
| GDP - per capita (PPP): | $5,100 (2010 est.) |
| GDP - per capita (PPP): | $5,200 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2011 US dollars |
| Gross national saving: | 13.5% of GDP (2014 est.) |
| Gross national saving: | 10.2% of GDP (2013 est.) |
| Gross national saving: | 12.8% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 67.8% |
| GDP - composition, by end use: | government consumption: 19.4% |
| GDP - composition, by end use: | investment in fixed capital: 18.2% |
| GDP - composition, by end use: | investment in inventories: 9.5% |
| GDP - composition, by end use: | exports of goods and services: 7.5% |
| GDP - composition, by end use: | imports of goods and services: -22.4% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 16.4% |
| GDP - composition, by sector of origin: | industry: 22.7% |
| GDP - composition, by sector of origin: | services: 60.9% (2014 est.) |
| Agriculture - products: | wheat, barley, cotton, lentils, chickpeas, olives, sugar beets; beef, mutton, eggs, poultry, milk |
| Industries: | petroleum, textiles, food processing, beverages, tobacco, phosphate rock mining, cement, oil seeds crushing, automobile assembly |
| Industrial production growth rate: | 1% (2014 est.) |
| Labor force: | 4.022 million (2014 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 16% |
| Labor force - by occupation: | services: 67% (2008 est.) |
| Unemployment rate: | 33% (2014 est.) |
| Unemployment rate: | 35% (2013 est.) |
| Population below poverty line: | 11.9% (2006 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $1.73 billion |
| Budget: | expenditures: $5.5 billion (2014 est.) |
| Taxes and other revenues: | 2.7% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -5.8% of GDP (2014 est.) |
| Public debt: | 57.3% of GDP (2014 est.) |
| Public debt: | 54.7% of GDP (2013 est.) |
| Fiscal year: | calendar year |
