| Economy | EUROPEAN UNION |
| --- | --- |
| Economy - overview: | Internally, the 28 EU member states have adopted the framework of a single market with free movement of goods, services and capital. Internationally, the EU aims to bolster Europe's trade position and its political and economic weight. |
| Economy - overview: | Despite great differences in per capita income among member states (from $13,000 to $82,000) and in national attitudes toward issues like inflation, debt, and foreign trade, the EU has achieved a high degree of coordination of monetary and fiscal policies. A common currency &ndash; the euro &ndash; circulates among 19 of the member states, under the auspices of the European Economic and Monetary Union (EMU). Eleven established EU states introduced the euro as their common currency on 1 January 1999 (Greece did so two years later). Since 2004, 13 states acceded to the EU that are, in general, less advanced economically than the other member states. Of the 13, Slovenia (2007), Cyprus and Malta (2008), Slovakia (2009), Estonia (2011), Latvia (2014), and Lithuania (2015) have adopted the euro; 7 other member states - not including the UK and Denmark, which have formal opt-outs - are required by EU treaties to adopt the common currency upon meeting fiscal and monetary convergence criteria. |
| Economy - overview: | Following the 2008-09 global economic crisis, the EU economy saw moderate GDP growth in 2010 and 2011 but has struggled since the sovereign debt crisis in the eurozone intensified in 2011. Despite EU/IMF rescue programs in Greece, Ireland, Portugal, Spain and Cyprus, significant drags on growth remain, including high public and private debt loads, low domestic demand that discourages investment, aging populations, onerous regulations, and high unemployment. In response, EU leaders plan to use $28 (&euro;21) billion in public money as seed capital to attract private investors to fund $421 [&euro;315] billion in infrastructure projects from 2015 to 2017, focusing on energy, broadband, transport, education, and research and innovation. The eurozone has implemented a banking union to increase financial stability and improve lending conditions, with the European Central Bank taking the lead in banking supervision in the region. The ECB has also expressed its intent to widen its asset-buying program - including government debt if necessary - to fend off deflation and improve borrowing conditions in the euro zone. In another effort to restore economic growth and create jobs, in 2013 the EU and the United States started negotiations on an ambitious and comprehensive free trade agreement with the goal of expanding already massive trade and investment flows. |
| GDP (purchasing power parity): | $18.01 trillion (2014 est.) |
| GDP (purchasing power parity): | $17.77 trillion (2013 est.) |
| GDP (purchasing power parity): | $17.75 trillion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $18.24 trillion (2014 est.) |
| GDP - real growth rate: | 1.4% (2014 est.) |
| GDP - real growth rate: | 0.1% (2013 est.) |
| GDP - real growth rate: | -0.3% (2012 est.) |
| GDP - per capita (PPP): | $39,200 (2014 est.) |
| GDP - per capita (PPP): | $38,700 (2013 est.) |
| GDP - per capita (PPP): | $38,600 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 19.2% of GDP (2013 est.) |
| Gross national saving: | 19% of GDP (2012 est.) |
| Gross national saving: | 19.5% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 56.9% |
| GDP - composition, by end use: | government consumption: 21.6% |
| GDP - composition, by end use: | investment in fixed capital: 17.9% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 44.9% |
| GDP - composition, by end use: | imports of goods and services: -42.9% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.8% |
| GDP - composition, by sector of origin: | industry: 25.2% |
| GDP - composition, by sector of origin: | services: 73% (2014 est.) |
| Agriculture - products: | wheat, barley, oilseeds, sugar beets, wine, grapes; dairy products, cattle, sheep, pigs, poultry; fish |
| Industries: | among the world's largest and most technologically advanced regions, the EU industrial base includes: ferrous and non-ferrous metal production and processing, metal products, petroleum, coal, cement, chemicals, pharmaceuticals, aerospace, rail transportation equipment, passenger and commercial vehicles, construction equipment, industrial equipment, shipbuilding, electrical power equipment, machine tools and automated manufacturing systems, electronics and telecommunications equipment, fishing, food and beverages, furniture, paper, textiles |
| Industrial production growth rate: | 0.6% (2014 est.) |
| Labor force: | 224.2 million (2014 est.) |
| Labor force - by occupation: | agriculture: 5.2% |
| Labor force - by occupation: | industry: 22.7% |
| Labor force - by occupation: | services: 72.2% (2012 est.) |
| Unemployment rate: | 9.9% (2014 est.) |
| Unemployment rate: | 10.5% (2013) |
| Population below poverty line: | note - see individual country entries of member states |
| Household income or consumption by percentage share: | lowest 10%: 2.9% |
| Household income or consumption by percentage share: | highest 10%: 23.9% (2012 est.) |
| Distribution of family income - Gini index: | 30.6 (2012 est.) |
| Distribution of family income - Gini index: | 30.8 (2011 est.) |
| Fiscal year: | NA |
| Inflation rate (consumer prices): | 1.5% (2013 est.) |
| Inflation rate (consumer prices): | 2.6% (2012 est.) |
| Central bank discount rate: | 0.75% (31 December 2013) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
