| Economy | European Union |
| --- | --- |
| Economy - overview: | Internally, the EU has abolished trade barriers, adopted a common currency, and is striving toward convergence of living standards. Internationally, the EU aims to bolster Europe's trade position and its political and economic weight. Because of the great differences in per capita income among member states (from $13,000 to $82,000) and in national attitudes toward issues like inflation, debt, and foreign trade, the EU faces difficulties in devising and enforcing common policies. Eleven established EU member states, under the auspices of the European Economic and Monetary Union (EMU), introduced the euro as their common currency on 1 January 1999 (Greece did so two years later). Between 2004 and 2007, 12 states acceded to the EU that are, in general, less advanced economically than the other 15 member states. On 1 July 2013 Croatia became the most recent member of the EU, following a decade long application process. Of the 13 most recent entrants, only Slovenia (1 January 2007), Cyprus and Malta (1 January 2008), Slovakia (1 January 2009), and Estonia (1 January 2011) have adopted the euro; 11 non-Euro member states, other than the UK and Denmark which have formal opt-outs, are required by EU treaties to adopt the common currency upon meeting fiscal and monetary convergence criteria. Following the 2008-09 global economic crisis, the EU economy saw moderate GDP growth in 2010 and 2011, but a sovereign debt crisis in the euro zone intensified in 2011 and became the bloc's top economic and political priority. Despite EU/IMF adjustment programs in Greece, Ireland, and Portugal, and consolidation measures in many other EU member states, significant risks to growth remain, including high public debt loads, aging populations, onerous regulations, and fears of debt crisis contagion. In response, euro-zone leaders in 2011 boosted funding levels for the temporary European Financial Stability Facility (EFSF) to almost $600 billion and made loan terms more favorable for crisis-hit countries, and in July 2012 brought the permanent European Stabilization Mechanism (ESM) online, a year earlier than originally planned. In addition, 26 of 28 EU member states (all except the UK and Czech Republic) have indicated their intent to enact a "fiscal compact" treaty to boost long-term budgetary discipline and coordination. In September 2012 the European Central Bank committed to a bond-buying program for troubled euro-zone member states that agree to a formal program of fiscal and structural reforms, aiming to reduce their borrowing costs and restore confidence in the euro zone. |
| GDP (purchasing power parity): | $15.54 trillion (2012 est.) |
| GDP (purchasing power parity): | $15.6 trillion (2011 est.) |
| GDP (purchasing power parity): | $15.34 trillion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $16.17 trillion (2012 est.) |
| GDP - real growth rate: | -0.3% (2012 est.) |
| GDP - real growth rate: | 1.7% (2011 est.) |
| GDP - real growth rate: | 2.1% (2010 est.) |
| GDP - per capita (PPP): | $34,100 (2012 est.) |
