| Economy | Papua New Guinea |
| --- | --- |
| Economy - overview: | Papua New Guinea (PNG) is richly endowed with natural resources, but exploitation has been hampered by rugged terrain, land tenure issues, and the high cost of developing infrastructure. The economy has a small formal sector, focused mainly on the export of those natural resources, and an informal sector, employing the majority of the population. Agriculture provides a subsistence livelihood for 85% of the people. The global financial crisis had little impact because of continued foreign demand for PNG's commodities. |
| Economy - overview: | Mineral deposits, including copper, gold, and oil, account for nearly two-thirds of export earnings. Natural gas reserves amount to an estimated 155 billion cubic meters. Following construction of a $19 billion liquefied natural gas (LNG) project, PNG LNG, a consortium led by ExxonMobil, began exporting liquefied natural gas to Asian markets in May 2014. The project was delivered on time and only slightly above budget. The success of the project has encouraged other companies to look at similar LNG projects. French supermajor Total is hopes to begin construction on the Papua LNG project by 2020. Due to lower global commodity prices, resource revenues of all types have fallen dramatically. PNGâ€™s government has recently been forced to adjust spending levels downward. |
| Economy - overview: | Numerous challenges still face the government of Peter O'NEILL, including providing physical security for foreign investors, regaining investor confidence, restoring integrity to state institutions, promoting economic efficiency by privatizing moribund state institutions, and maintaining good relations with Australia, its former colonial ruler. Other socio-cultural challenges could upend the economy including chronic law and order and land tenure issues. In August, 2017, PNG launched its first-ever national trade policy, PNG Trade Policy 2017-2032. The policy goal is to maximize trade and investment by increasing exports, to reduce imports, and to increase foreign direct investment (FDI). |
| GDP (purchasing power parity): | $30.19 billion (2017 est.) |
| GDP (purchasing power parity): | $29.44 billion (2016 est.) |
| GDP (purchasing power parity): | $28.98 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $19.82 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 2.5% (2017 est.) |
| GDP - real growth rate: | 1.6% (2016 est.) |
| GDP - real growth rate: | 5.3% (2015 est.) |
| GDP - per capita (PPP): | $3,700 (2017 est.) |
| GDP - per capita (PPP): | $3,600 (2016 est.) |
| GDP - per capita (PPP): | $3,700 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 36.8% of GDP (2017 est.) |
| Gross national saving: | 38% of GDP (2016 est.) |
| Gross national saving: | 33.7% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 43.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 19.7% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 10% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 49.3% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -22.3% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 22.1% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 42.9% (2017 est.) |
| GDP - composition, by sector of origin: | services: 35% (2017 est.) |
| Agriculture - products: | coffee, cocoa, copra, palm kernels, tea, sugar, rubber, sweet potatoes, fruit, vegetables, vanilla; poultry, pork; shellfish |
| Industries: | copra crushing, palm oil processing, plywood production, wood chip production; mining (gold, silver, copper); crude oil and petroleum products; construction, tourism, livestock (pork, poultry, cattle), dairy products, spice products (turmeric, vanilla, ginger, cardamom, chili, pepper, citronella, and nutmeg), fisheries products |
| Industrial production growth rate: | 3.3% (2017 est.) |
| Labor force: | 3.681 million (2017 est.) |
| Labor force - by occupation: | agriculture: 85% |
| Labor force - by occupation: | industry: NA |
| Labor force - by occupation: | services: NA |
| Unemployment rate: | 2.5% (2017 est.) |
| Unemployment rate: | 2.5% (2016 est.) |
| Population below poverty line: | 37% (2002 est.) |
| Household income or consumption by percentage share: | lowest 10%: 40.5% (1996) |
| Household income or consumption by percentage share: | highest 10%: 40.5% (1996 est.) |
| Distribution of family income - Gini index: | 50.9 (1996) |
| Budget: | revenues: 3.638 billion (2017 est.) |
| Budget: | expenditures: 4.591 billion (2017 est.) |
| Taxes and other revenues: | 18.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -4.8% (of GDP) (2017 est.) |
| Public debt: | 36.9% of GDP (2017 est.) |
| Public debt: | 36.9% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.4% (2017 est.) |
| Inflation rate (consumer prices): | 6.7% (2016 est.) |
| Central bank discount rate: | 14% (31 December 2010) |
| Central bank discount rate: | 6.92% (31 December 2009) |
| Commercial bank prime lending rate: | 8.4% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 8.38% (31 December 2016 est.) |
| Stock of narrow money: | $5.409 billion (31 December 2017 est.) |
| Stock of narrow money: | $5.05 billion (31 December 2016 est.) |
| Stock of broad money: | $5.409 billion (31 December 2017 est.) |
| Stock of broad money: | $5.05 billion (31 December 2016 est.) |
| Stock of domestic credit: | $7.091 billion (31 December 2017 est.) |
| Stock of domestic credit: | $7.223 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $10.71 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $8.999 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $9.742 billion (31 December 2010 est.) |
| Current account balance: | $4.859 billion (2017 est.) |
