| Economy | PAPUA NEW GUINEA |
| --- | --- |
| Economy - overview: | Papua New Guinea (PNG) is richly endowed with natural resources, but exploitation has been hampered by rugged terrain, land tenure issues, and the high cost of developing infrastructure. The economy has a small formal sector, focused mainly on the export of those natural resources, and an informal sector, employing the majority of the population. Agriculture provides a subsistence livelihood for 85% of the people. The global financial crisis had little impact because of continued foreign demand for PNG's commodities. |
| Economy - overview: | Mineral deposits, including copper, gold, and oil, account for nearly two-thirds of export earnings. Natural gas reserves amount to an estimated 155 billion cubic meters. A consortium led by a major American oil company is constructing a liquefied natural gas (LNG) production facility that began exporting in April 2014. As the largest investment project in the country's history, it has the potential to double GDP in the near-term and triple Papua New Guinea's export revenue. An American-owned firm also opened PNG's first oil refinery in 2004 and is building a second LNG production facility. The government faces the challenge of ensuring transparency and accountability for revenues flowing from this and other large LNG projects. In 2011 and 2012, the National Parliament passed legislation that created an offshore Sovereign Wealth Fund to manage government surpluses from mineral, oil, and natural gas projects. In recent years, the government has opened up markets in telecommunications and air transport, making both more affordable to the people. |
| Economy - overview: | Numerous challenges still face the government of Peter O'NEILL, including providing physical security for foreign investors, regaining investor confidence, restoring integrity to state institutions, promoting economic efficiency by privatizing moribund state institutions, and maintaining good relations with Australia, its former colonial ruler. Other socio-cultural challenges could upend the economy including chronic law and order and land tenure issues. |
| GDP (purchasing power parity): | $20.47 billion (2015 est.) |
| GDP (purchasing power parity): | $18.78 billion (2014 est.) |
| GDP (purchasing power parity): | $17.3 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $16.09 billion (2015 est.) |
| GDP - real growth rate: | 9% (2015 est.) |
| GDP - real growth rate: | 8.5% (2014 est.) |
| GDP - real growth rate: | 5.5% (2013 est.) |
| GDP - per capita (PPP): | $2,700 (2015 est.) |
| GDP - per capita (PPP): | $2,500 (2014 est.) |
| GDP - per capita (PPP): | $2,400 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 38.1% of GDP (2015 est.) |
| Gross national saving: | 24% of GDP (2014 est.) |
| Gross national saving: | -11.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 52.3% |
| GDP - composition, by end use: | government consumption: 8.4% |
| GDP - composition, by end use: | investment in fixed capital: 10.4% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 68% |
| GDP - composition, by end use: | imports of goods and services: -39.5% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 23% |
| GDP - composition, by sector of origin: | industry: 37.8% |
| GDP - composition, by sector of origin: | services: 39.2% (2015 est.) |
| Agriculture - products: | coffee, cocoa, copra, palm kernels, tea, sugar, rubber, sweet potatoes, fruit, vegetables, vanilla; poultry, pork; shellfish |
| Industries: | copra crushing, palm oil processing, plywood production, wood chip production; mining (gold, silver, copper); crude oil and petroleum products; construction, tourism |
| Industrial production growth rate: | 10.8% (2015 est.) |
| Labor force: | 4.267 million (2015 est.) |
| Labor force - by occupation: | agriculture: 85% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% (2005 est.) |
| Unemployment rate: | 1.9% (2008 est.) |
| Unemployment rate: | 1.6% (2004) |
| Population below poverty line: | 37% (2002 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 40.5% (1996) |
| Distribution of family income - Gini index: | 50.9 (1996) |
| Budget: | revenues: $3.893 billion |
| Budget: | expenditures: $4.981 billion (2015 est.) |
| Taxes and other revenues: | 24.2% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -6.8% of GDP (2015 est.) |
| Public debt: | 36.9% of GDP (2015 est.) |
| Public debt: | 36.9% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6% (2015 est.) |
| Inflation rate (consumer prices): | 5.2% (2014 est.) |
| Central bank discount rate: | 14% (31 December 2010) |
| Central bank discount rate: | 6.92% (31 December 2009) |
| Commercial bank prime lending rate: | 8.73% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 9.38% (31 December 2014 est.) |
| Stock of narrow money: | $4.936 billion (31 December 2015 est.) |
| Stock of narrow money: | $5.181 billion (31 December 2014 est.) |
| Stock of broad money: | $8.085 billion (31 December 2014 est.) |
| Stock of broad money: | $7.477 billion (31 December 2013 est.) |
| Stock of domestic credit: | $6.118 billion (31 December 2015 est.) |
| Stock of domestic credit: | $6.125 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $10.71 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $8.999 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $9.742 billion (31 December 2010 est.) |
| Current account balance: | $444 million (2015 est.) |
| Current account balance: | -$703 million (2014 est.) |
| Exports: | $8.377 billion (2015 est.) |
| Exports: | $8.758 billion (2014 est.) |
| Exports - commodities: | oil, gold, copper ore, logs, palm oil, coffee, cocoa, crayfish, prawns |
| Exports - partners: | Japan 17.4%, Australia 15.9%, China 12.1% (2015) |
