| Economy | Chile |
| --- | --- |
| Economy - overview: | Chile has a market-oriented economy characterized by a high level of foreign trade and a reputation for strong financial institutions and sound policy that have given it the strongest sovereign bond rating in South America. Exports account for approximately one-third of GDP, with commodities making up some three-quarters of total exports. Copper alone provides 19% of government revenue. From 2003 through 2012, real growth averaged almost 5% per year, despite the slight contraction in 2009 that resulted from the global financial crisis. Chile deepened its longstanding commitment to trade liberalization with the signing of a free trade agreement with the US, which took effect on 1 January 2004. Chile has 22 trade agreements covering 60 countries including agreements with the European Union, Mercosur, China, India, South Korea, and Mexico. Chile has joined the United States and nine other countries in negotiating the Trans-Pacific-Partnership trade agreement. In 2012, foreign direct investment inflows reached $28.2 billion, an increase of 63% over the previous record set in 2011. The Chilean Government has generally followed a countercyclical fiscal policy, accumulating surpluses in sovereign wealth funds during periods of high copper prices and economic growth, and generally allowing deficit spending only during periods of low copper prices and growth. As of 31 December 2012, those sovereign wealth funds - kept mostly outside the country and separate from Central Bank reserves - amounted to more than $20.9 billion. Chile used these funds to finance fiscal stimulus packages during the 2009 economic downturn. In May 2010 Chile signed the OECD Convention, becoming the first South American country to join the OECD. |
| GDP (purchasing power parity): | $316.9 billion (2012 est.) |
| GDP (purchasing power parity): | $300.1 billion (2011 est.) |
| GDP (purchasing power parity): | $283.7 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $264.5 billion (2012 est.) |
| GDP - real growth rate: | 5.6% (2012 est.) |
| GDP - real growth rate: | 5.8% (2011 est.) |
| GDP - real growth rate: | 5.7% (2010 est.) |
| GDP - per capita (PPP): | $18,200 (2012 est.) |
| GDP - per capita (PPP): | $17,400 (2011 est.) |
| GDP - per capita (PPP): | $16,600 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 21.4% of GDP (2012 est.) |
| Gross national saving: | 22.2% of GDP (2011 est.) |
| Gross national saving: | 23.9% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 62.5% |
| GDP - composition, by end use: | government consumption: 12.1% |
| GDP - composition, by end use: | investment in fixed capital: 24.1% |
| GDP - composition, by end use: | investment in inventories: 0.8% |
| GDP - composition, by end use: | exports of goods and services: 34.2% |
| GDP - composition, by end use: | imports of goods and services: -33.9% |
| GDP - composition, by end use: | (2012 est.) |
