| Economy | MALAWI |
| --- | --- |
| Economy - overview: | Landlocked Malawi ranks among the world's most densely populated and least developed countries. The country’s economic performance has historically been constrained by policy inconsistency, macroeconomic instability, limited connectivity to the region and the world, and poor health and education outcomes that limit labor productivity. The economy is predominately agricultural with about 80% of the population living in rural areas. Agriculture accounts for about one-third of GDP and 90% of export revenues. The performance of the tobacco sector is key to short-term growth as tobacco accounts for more than half of exports. |
| Economy - overview: | The economy depends on substantial inflows of economic assistance from the IMF, the World Bank, and individual donor nations. In 2006, Malawi was approved for relief under the Heavily Indebted Poor Countries program. Between 2005 and 2009 Malawi’s government exhibited improved financial discipline under the guidance of Finance Minister Goodall GONDWE and signed a three-year IMF Poverty Reduction and Growth Facility worth $56 million. The government announced infrastructure projects that could yield improvements, such as a new oil pipeline for better fuel access, and the potential for a waterway link through Mozambican rivers to the ocean for better transportation options. |
| Economy - overview: | Since 2009, however, Malawi has experienced some setbacks, including a general shortage of foreign exchange, which has damaged its ability to pay for imports, and fuel shortages that hinder transportation and productivity. In October 2013, the African Development Bank, the IMF, several European countries, and the US indefinitely froze $150 million in direct budgetary support in response to a high level corruption scandal, called “Cashgate,” citing a lack of trust in the government’s financial management system and civil service. Most of the frozen donor funds — which accounted for 40% of the budget — have been channeled through non-governmental organizations in the country. The government has failed to address barriers to investment such as unreliable power, water shortages, poor telecommunications infrastructure, and the high costs of services. Investment had fallen continuously for several years, but rose 4 percentage points in 2014 to 17% of GDP. |
| Economy - overview: | The government faces many challenges, including developing a market economy, improving educational facilities, addressing environmental problems, dealing with HIV/AIDS, and satisfying foreign donors on anti-corruption efforts. |
| GDP (purchasing power parity): | $20.36 billion (2015 est.) |
| GDP (purchasing power parity): | $19.78 billion (2014 est.) |
| GDP (purchasing power parity): | $18.71 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $6.416 billion (2015 est.) |
| GDP - real growth rate: | 3% (2015 est.) |
| GDP - real growth rate: | 5.7% (2014 est.) |
| GDP - real growth rate: | 5.2% (2013 est.) |
| GDP - per capita (PPP): | $1,100 (2015 est.) |
| GDP - per capita (PPP): | $1,100 (2014 est.) |
| GDP - per capita (PPP): | $1,100 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | -12.7% of GDP (2015 est.) |
| Gross national saving: | -9.9% of GDP (2014 est.) |
| Gross national saving: | -16.6% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 75.6% |
| GDP - composition, by end use: | government consumption: 17.3% |
| GDP - composition, by end use: | investment in fixed capital: 12% |
| GDP - composition, by end use: | investment in inventories: 2.8% |
| GDP - composition, by end use: | exports of goods and services: 43.5% |
| GDP - composition, by end use: | imports of goods and services: -51.2% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 32.7% |
| GDP - composition, by sector of origin: | industry: 17.2% |
| GDP - composition, by sector of origin: | services: 50.1% (2015 est.) |
| Agriculture - products: | tobacco, sugarcane, cotton, tea, corn, potatoes, cassava (manioc, tapioca), sorghum, pulses, groundnuts, Macadamia nuts; cattle, goats |
| Industries: | tobacco, tea, sugar, sawmill products, cement, consumer goods |
| Industrial production growth rate: | 4.1% (2015 est.) |
| Labor force: | 5.747 million (2007 est.) |
| Labor force - by occupation: | agriculture: 90% |
| Labor force - by occupation: | industry and services: 10% (2003 est.) |
| Unemployment rate: | NA% |
