| Economy | MALAWI |
| --- | --- |
| Economy - overview: | Landlocked Malawi ranks among the world's most densely populated and least developed countries. The country’s economic performance has historically been constrained by policy inconsistency, macroeconomic instability, limited connectivity to the region and the world, poor infrastructure, rampant corruption, high population growth, and poor health and education outcomes that limit labor productivity. The economy is predominately agricultural with about 80% of the population living in rural areas. Agriculture accounts for about one-third of GDP and 80% of export revenues. The performance of the tobacco sector is key to short-term growth as tobacco accounts for more than half of exports. |
| Economy - overview: | The economy depends on substantial inflows of economic assistance from the IMF, the World Bank, and individual donor nations. In 2006, Malawi was approved for relief under the Heavily Indebted Poor Countries (HIPC) program but recent increases in domestic borrowing mean that debt servicing in 2016 exceeded the levels prior to HIPC debt relief. President MUTHARIKA launched the Public Financial Management and Public Sector reform programs upon taking office in 2014 to increase accountability following the 2013 “Cashgate” scandal. |
| Economy - overview: | Heavily dependent on rain-fed agriculture, with corn being the staple crop, Malawi’s economy was hit hard by the El Nino-driven drought in 2015 and 2016. The drought also slowed economic activity, led to two consecutive years of declining economic growth, and contributed to high inflation rates. Following a successful humanitarian response in 2016 and 2017 providing food assistance to 6.7 million people - 40% of the population - and increased transparency by agricultural parastatals, the economy has stabilized and inflation is dropping. |
| GDP (purchasing power parity): | $21.13 billion (2016 est.) |
| GDP (purchasing power parity): | $20.4 billion (2015 est.) |
| GDP (purchasing power parity): | $19.61 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $5.489 billion (2016 est.) |
| GDP - real growth rate: | 2.3% (2016 est.) |
| GDP - real growth rate: | 3% (2015 est.) |
| GDP - real growth rate: | 5.7% (2014 est.) |
| GDP - per capita (PPP): | $1,100 (2016 est.) |
| GDP - per capita (PPP): | $1,100 (2015 est.) |
| GDP - per capita (PPP): | $1,100 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | -3.3% of GDP (2016 est.) |
| Gross national saving: | 2.7% of GDP (2015 est.) |
| Gross national saving: | 3.6% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 81% |
| GDP - composition, by end use: | government consumption: 16.2% |
| GDP - composition, by end use: | investment in fixed capital: 11.9% |
| GDP - composition, by end use: | investment in inventories: 2.9% |
| GDP - composition, by end use: | exports of goods and services: 33.3% |
| GDP - composition, by end use: | imports of goods and services: -45.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 28.3% |
| GDP - composition, by sector of origin: | industry: 16% |
| GDP - composition, by sector of origin: | services: 55.8% (2016 est.) |
| Agriculture - products: | tobacco, sugarcane, tea, corn, potatoes, sweet potatoes, cassava (manioc, tapioca), sorghum, pulses, cotton, groundnuts, macadamia nuts, coffee; cattle, goats |
| Industries: | tobacco, tea, sugar, sawmill products, cement, consumer goods |
| Industrial production growth rate: | 2.4% (2016 est.) |
| Labor force: | 7 million (2013 est.) |
| Labor force - by occupation: | agriculture: 64.1% |
| Labor force - by occupation: | industry: 6.7% |
| Labor force - by occupation: | services: 29.2% (2013 est.) |
| Unemployment rate: | 20.4% (2013 est.) |
| Population below poverty line: | 50.7% (2010 est.) |
