| Economy | SWITZERLAND |
| --- | --- |
| Economy - overview: | Switzerland is a peaceful, prosperous, and modern market economy with low unemployment, a highly skilled labor force, and a per capita GDP among the highest in the world. Switzerland's economy benefits from a highly developed service sector, led by financial services, and a manufacturing industry that specializes in high-technology, knowledge-based production. Its economic and political stability, transparent legal system, exceptional infrastructure, efficient capital markets, and low corporate tax rates also make Switzerland one of the world's most competitive economies. |
| Economy - overview: | The Swiss have brought their economic practices largely into conformity with the EU's to enhance their international competitiveness, but some trade protectionism remains, particularly for its small agricultural sector. The fate of the Swiss economy is tightly linked to that of its neighbors in the euro zone, which purchases half of Swiss exports. The global financial crisis of 2008 and resulting economic downturn in 2009 stalled demand for Swiss exports and put Switzerland into a recession. During this period, the Swiss National Bank (SNB) implemented a zero-interest rate policy to boost the economy, as well as to prevent appreciation of the franc, and Switzerland's economy began to recover in 2010. |
| Economy - overview: | The sovereign debt crises unfolding in neighboring euro-zone countries, however, coupled with ongoing economic instability in Russia and other eastern European economies continue to pose a significant risk to the Swiss economy, driving up demand for the Swiss franc by investors seeking a safe-haven currency. In January 2015, the SNB abandoned the Swiss franc&rsquo;s peg to the Euro, roiling global currency markets and making active SNB intervention a necessary hallmark of present-day Swiss monetary policy. The independent SNB has upheld its zero interest rate policy and conducted major market interventions to prevent further appreciation of the Swiss franc, but parliamentarians have urged it to do more to weaken the currency. The franc's strength has made Swiss exports less competitive and weakened the country's growth outlook; GDP growth fell below 2% per year from 2011-14. |
| Economy - overview: | In recent years, Switzerland has responded to increasing pressure from neighboring countries and trading partners to reform its banking secrecy laws, by agreeing to conform to OECD regulations on administrative assistance in tax matters, including tax evasion. The Swiss government has also renegotiated its double taxation agreements with numerous countries, including the US, to incorporate OECD standards, and is openly considering the possibility of imposing taxes on bank deposits held by foreigners. |
| GDP (purchasing power parity): | $472.8 billion (2014 est.) |
| GDP (purchasing power parity): | $463.6 billion (2013 est.) |
| GDP (purchasing power parity): | $454.8 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $712.1 billion (2014 est.) |
| GDP - real growth rate: | 2% (2014 est.) |
| GDP - real growth rate: | 1.9% (2013 est.) |
| GDP - real growth rate: | 1.1% (2012 est.) |
| GDP - per capita (PPP): | $58,100 (2014 est.) |
| GDP - per capita (PPP): | $57,000 (2013 est.) |
| GDP - per capita (PPP): | $55,900 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 32.4% of GDP (2014 est.) |
| Gross national saving: | 36.6% of GDP (2013 est.) |
| Gross national saving: | 30% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 57.2% |
| GDP - composition, by end use: | government consumption: 11.4% |
| GDP - composition, by end use: | investment in fixed capital: 21.5% |
| GDP - composition, by end use: | investment in inventories: -0.5% |
| GDP - composition, by end use: | exports of goods and services: 51.9% |
| GDP - composition, by end use: | imports of goods and services: -41.5% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.8% |
| GDP - composition, by sector of origin: | industry: 26.7% |
| GDP - composition, by sector of origin: | services: 72.5% (2014 est.) |
| Agriculture - products: | grains, fruits, vegetables; meat, eggs |
| Industries: | machinery, chemicals, watches, textiles, precision instruments, tourism, banking, insurance |
| Industrial production growth rate: | 2.2% (2014 est.) |
| Labor force: | 5.008 million (2014 est.) |
| Labor force - by occupation: | agriculture: 3.4% |
| Labor force - by occupation: | industry: 23.4% |
| Labor force - by occupation: | services: 73.2% (2010) |
| Unemployment rate: | 3.2% (2014 est.) |
| Unemployment rate: | 3.2% (2013 est.) |
| Population below poverty line: | 7.6% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 7.5% |
| Household income or consumption by percentage share: | highest 10%: 19% (2007) |
| Distribution of family income - Gini index: | 28.7 (2012 est.) |
| Distribution of family income - Gini index: | 33.1 (1992) |
| Budget: | revenues: $228.1 billion |
| Budget: | expenditures: $226 billion |
| Budget: | note: includes federal, cantonal, and municipal budgets (2014 est.) |
| Taxes and other revenues: | 33.6% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | 0.3% of GDP (2014 est.) |
| Public debt: | 34.7% of GDP (2014 est.) |
| Public debt: | 35.5% of GDP (2013 est.) |
| Public debt: | note: general government gross debt; gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future; includes debt liabilities in the form of Special Drawing Rights (SDRs), currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable; all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0% (2014 est.) |
| Inflation rate (consumer prices): | -0.2% (2013 est.) |
| Central bank discount rate: | 0.5% (31 December 2010) |
| Central bank discount rate: | 0.75% (31 December 2009) |
| Commercial bank prime lending rate: | 2.7% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 2.69% (31 December 2013 est.) |
| Stock of narrow money: | $567.7 billion (31 December 2014 est.) |
| Stock of narrow money: | $570.5 billion (31 December 2013 est.) |
| Stock of broad money: | $1.347 trillion (31 December 2014 est.) |
| Stock of broad money: | $1.301 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $1.283 trillion (31 December 2014 est.) |
| Stock of domestic credit: | $1.237 trillion (31 December 2013 est.) |
| Market value of publicly traded shares: | $1.079 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $932.2 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.229 trillion (31 December 2010 est.) |
| Current account balance: | $49.53 billion (2014 est.) |
| Current account balance: | $97.57 billion (2013 est.) |
| Exports: | $388.9 billion (2014 est.) |
| Exports: | $378.5 billion (2013 est.) |
| Exports: | note: trade data exclude trade with Switzerland |
| Exports - commodities: | machinery, chemicals, metals, watches, agricultural products |
| Exports - partners: | Germany 18.3%, US 13%, France 7.3%, Italy 6.6%, UK 5%, China 4.1% (2014) |
| Imports: | $333.8 billion (2014 est.) |
| Imports: | $321.1 billion (2013 est.) |
| Imports - commodities: | machinery, chemicals, vehicles, metals; agricultural products, textiles |
