| Economy | Switzerland |
| --- | --- |
| Economic overview: | Switzerland, a country that espouses neutrality, is a prosperous and modern market economy with low unemployment, a highly skilled labor force, and a per capita GDP among the highest in the world. Switzerland's economy benefits from a highly developed service sector, led by financial services, and a manufacturing industry that specializes in high-technology, knowledge-based production. Its economic and political stability, transparent legal system, exceptional infrastructure, efficient capital markets, and low corporate tax rates also make Switzerland one of the world's most competitive economies. |
| Economic overview: | The Swiss have brought their economic practices largely into conformity with the EU's to gain access to the Unionâ€™s Single Market and enhance the countryâ€™s international competitiveness. Some trade protectionism remains, however, particularly for its small agricultural sector. The fate of the Swiss economy is tightly linked to that of its neighbors in the euro zone, which purchases half of Swiss exports. The global financial crisis of 2008 and resulting economic downturn in 2009 stalled demand for Swiss exports and put Switzerland into a recession. During this period, the Swiss National Bank (SNB) implemented a zero-interest rate policy to boost the economy, as well as to prevent appreciation of the franc, and Switzerland's economy began to recover in 2010. |
| Economic overview: | The sovereign debt crises unfolding in neighboring euro-zone countries, however, coupled with economic instability in Russia and other Eastern European economies drove up demand for the Swiss franc by investors seeking a safehaven currency. In January 2015, the SNB abandoned the Swiss francâ€™s peg to the euro, roiling global currency markets and making active SNB intervention a necessary hallmark of present-day Swiss monetary policy. The independent SNB has upheld its zero interest rate policy and conducted major market interventions to prevent further appreciation of the Swiss franc, but parliamentarians have urged it to do more to weaken the currency. The franc's strength has made Swiss exports less competitive and weakened the country's growth outlook; GDP growth fell below 2% per year from 2011 through 2017. |
| Economic overview: | In recent years, Switzerland has responded to increasing pressure from neighboring countries and trading partners to reform its banking secrecy laws, by agreeing to conform to OECD regulations on administrative assistance in tax matters, including tax evasion. The Swiss Government has also renegotiated its double taxation agreements with numerous countries, including the US, to incorporate OECD standards. |
| GDP real growth rate: | 1.11% (2019 est.) |
| GDP real growth rate: | 3.04% (2018 est.) |
| GDP real growth rate: | 1.65% (2017 est.) |
| Inflation rate (consumer prices): | 0.3% (2019 est.) |
| Inflation rate (consumer prices): | 0.9% (2018 est.) |
| Inflation rate (consumer prices): | 0.5% (2017 est.) |
| Credit ratings: | Fitch rating: AAA (2000) |
| Credit ratings: | Moody's rating: Aaa (1982) |
| Credit ratings: | Standard & Poors rating: AAA (1988) |
| GDP (purchasing power parity) - real: | $498.207 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $492.719 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $478.198 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $731.502 billion (2019 est.) |
| GDP - per capita (PPP): | $81,475 (2019 est.) |
| GDP - per capita (PPP): | $81,199 (2018 est.) |
| GDP - per capita (PPP): | $79,457 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 33.8% of GDP (2017 est.) |
| Gross national saving: | 32.3% of GDP (2016 est.) |
| Gross national saving: | 33.9% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 25.6% (2017 est.) |
| GDP - composition, by sector of origin: | services: 73.7% (2017 est.) |
| GDP - composition, by end use: | household consumption: 53.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 12% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 24.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -1.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 65.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -54% (2017 est.) |
