| Economy | Switzerland |
| --- | --- |
| Economy - overview: | Switzerland, a country that espouses neutrality, is a prosperous and modern market economy with low unemployment, a highly skilled labor force, and a per capita GDP among the highest in the world. Switzerland's economy benefits from a highly developed service sector, led by financial services, and a manufacturing industry that specializes in high-technology, knowledge-based production. Its economic and political stability, transparent legal system, exceptional infrastructure, efficient capital markets, and low corporate tax rates also make Switzerland one of the world's most competitive economies. |
| Economy - overview: | The Swiss have brought their economic practices largely into conformity with the EU's to gain access to the Unionâ€™s Single Market and enhance the countryâ€™s international competitiveness. Some trade protectionism remains, however, particularly for its small agricultural sector. The fate of the Swiss economy is tightly linked to that of its neighbors in the euro zone, which purchases half of Swiss exports. The global financial crisis of 2008 and resulting economic downturn in 2009 stalled demand for Swiss exports and put Switzerland into a recession. During this period, the Swiss National Bank (SNB) implemented a zero-interest rate policy to boost the economy, as well as to prevent appreciation of the franc, and Switzerland's economy began to recover in 2010. |
| Economy - overview: | The sovereign debt crises unfolding in neighboring euro-zone countries, however, coupled with economic instability in Russia and other Eastern European economies drove up demand for the Swiss franc by investors seeking a safehaven currency. In January 2015, the SNB abandoned the Swiss francâ€™s peg to the euro, roiling global currency markets and making active SNB intervention a necessary hallmark of present-day Swiss monetary policy. The independent SNB has upheld its zero interest rate policy and conducted major market interventions to prevent further appreciation of the Swiss franc, but parliamentarians have urged it to do more to weaken the currency. The franc's strength has made Swiss exports less competitive and weakened the country's growth outlook; GDP growth fell below 2% per year from 2011 through 2017. |
| Economy - overview: | In recent years, Switzerland has responded to increasing pressure from neighboring countries and trading partners to reform its banking secrecy laws, by agreeing to conform to OECD regulations on administrative assistance in tax matters, including tax evasion. The Swiss Government has also renegotiated its double taxation agreements with numerous countries, including the US, to incorporate OECD standards. |
| GDP (purchasing power parity): | $523.1 billion (2017 est.) |
| GDP (purchasing power parity): | $514.5 billion (2016 est.) |
| GDP (purchasing power parity): | $506.5 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $679 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 1.7% (2017 est.) |
| GDP - real growth rate: | 1.6% (2016 est.) |
| GDP - real growth rate: | 1.3% (2015 est.) |
| GDP - per capita (PPP): | $62,100 (2017 est.) |
| GDP - per capita (PPP): | $61,800 (2016 est.) |
| GDP - per capita (PPP): | $61,500 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 33.8% of GDP (2017 est.) |
| Gross national saving: | 32.3% of GDP (2016 est.) |
| Gross national saving: | 33.9% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 53.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 12% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 24.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -1.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 65.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -54% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 25.6% (2017 est.) |
| GDP - composition, by sector of origin: | services: 73.7% (2017 est.) |
| Agriculture - products: | grains, fruits, vegetables; meat, eggs, dairy products |
| Industries: | machinery, chemicals, watches, textiles, precision instruments, tourism, banking, insurance, pharmaceuticals |
| Industrial production growth rate: | 3.4% (2017 est.) |
| Labor force: | 5.159 million (2017 est.) |
| Labor force - by occupation: | agriculture: 3.3% |
| Labor force - by occupation: | industry: 19.8% |
| Labor force - by occupation: | services: 76.9% (2015) |
| Unemployment rate: | 3.2% (2017 est.) |
| Unemployment rate: | 3.3% (2016 est.) |
| Population below poverty line: | 6.6% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 19% (2007) |
| Household income or consumption by percentage share: | highest 10%: 19% (2007) |
| Distribution of family income - Gini index: | 29.5 (2014 est.) |
| Distribution of family income - Gini index: | 33.1 (1992) |
| Budget: | revenues: 242.1 billion (2017 est.) |
| Budget: | expenditures: 234.4 billion (2017 est.) |
| Budget: | note: includes federal, cantonal, and municipal budgets |
| Taxes and other revenues: | 35.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 1.1% (of GDP) (2017 est.) |
| Public debt: | 41.8% of GDP (2017 est.) |
| Public debt: | 41.8% of GDP (2016 est.) |
